intron_index	start	end	length_bp	raw_exon_to_intron_hits	contributing_exons
1	1	2000	2000	1	2
2	2138	2305	168	0	-
3	2452	4043	1592	1	2
4	4254	6936	2683	2	1,18
5	7052	8076	1025	2	4,6
6	8254	11130	2877	3	1,3,10
7	11265	13219	1955	1	4
8	13356	14188	833	0	-
9	14307	18037	3731	5	7,8,9,10
10	18123	19810	1688	2	8,9
11	19924	21625	1702	3	11,12,13
12	21815	23910	2096	1	3
13	23974	25245	1272	2	4,9
14	25412	27414	2003	0	-
15	27434	29247	1814	3	4,9,16
16	29341	31103	1763	3	6,10,13
17	31335	31980	646	1	17
18	32184	32878	695	2	1,16
19	33134	35293	2160	1	19
20	39215	41214	2000	2	3,9
