method	exon_index	sstart	send	reason	detail
blastn	1	6153	6167	basic	len/pident 15/93.333
blastn	1	185	174	basic	len/pident 12/100.0
blastn	1	4626	4613	basic	len/pident 14/92.857
blastn	1	3795	3807	basic	len/pident 13/92.308
blastn	1	7128	7119	basic	len/pident 10/100.0
blastn	1	7749	7740	basic	len/pident 10/100.0
blastn	1	7748	7759	basic	len/pident 13/92.308
blastn	1	9291	9303	basic	len/pident 13/92.308
blastn	1	2661	2650	basic	len/pident 12/91.667
blastn	1	3631	3620	basic	len/pident 12/91.667
blastn	1	9509	9495	basic	len/pident 15/86.667
blastn	1	454	446	basic	len/pident 9/100.0
blastn	1	1337	1329	basic	len/pident 9/100.0
blastn	1	1527	1535	basic	len/pident 9/100.0
blastn	1	5120	5112	basic	len/pident 9/100.0
blastn	1	5255	5263	basic	len/pident 9/100.0
blastn	1	5648	5638	basic	len/pident 12/91.667
blastn	1	6974	6982	basic	len/pident 9/100.0
blastn	1	8140	8148	basic	len/pident 9/100.0
blastn	1	9296	9288	basic	len/pident 9/100.0
blastn	1	1307	1297	basic	len/pident 11/90.909
blastn	1	3162	3150	basic	len/pident 14/85.714
blastn	1	4421	4409	basic	len/pident 14/85.714
blastn	1	10483	10470	basic	len/pident 14/85.714
blastn	1	612	605	basic	len/pident 8/100.0
blastn	1	823	816	basic	len/pident 8/100.0
blastn	1	863	856	basic	len/pident 8/100.0
blastn	1	1060	1067	basic	len/pident 8/100.0
blastn	1	1304	1311	basic	len/pident 8/100.0
blastn	1	2568	2561	basic	len/pident 8/100.0
blastn	1	2711	2718	basic	len/pident 8/100.0
blastn	1	3227	3234	basic	len/pident 8/100.0
blastn	1	3904	3911	basic	len/pident 8/100.0
blastn	1	5607	5614	basic	len/pident 8/100.0
blastn	1	5969	5962	basic	len/pident 8/100.0
blastn	1	6054	6047	basic	len/pident 8/100.0
blastn	1	6171	6164	basic	len/pident 8/100.0
blastn	1	6199	6187	basic	len/pident 13/84.615
blastn	1	6862	6855	basic	len/pident 8/100.0
blastn	1	7423	7430	basic	len/pident 8/100.0
blastn	1	7743	7750	basic	len/pident 8/100.0
blastn	1	8121	8114	basic	len/pident 8/100.0
blastn	1	8361	8354	basic	len/pident 8/100.0
blastn	1	8478	8471	basic	len/pident 8/100.0
blastn	1	9102	9095	basic	len/pident 8/100.0
blastn	1	9776	9769	basic	len/pident 8/100.0
blastn	1	9799	9806	basic	len/pident 8/100.0
blastn	1	9801	9808	basic	len/pident 8/100.0
blastn	1	9823	9816	basic	len/pident 8/100.0
blastn	1	10612	10605	basic	len/pident 8/100.0
blastn	2	594	606	basic	len/pident 13/92.308
blastn	2	459	471	basic	len/pident 13/92.308
blastn	2	3168	3182	basic	len/pident 15/86.667
blastn	2	6115	6100	basic	len/pident 16/87.5
blastn	2	7429	7420	basic	len/pident 10/100.0
blastn	2	4579	4592	basic	len/pident 15/86.667
blastn	2	1189	1197	basic	len/pident 9/100.0
blastn	2	1369	1381	basic	len/pident 15/86.667
blastn	2	2353	2369	basic	len/pident 17/82.353
blastn	2	2693	2701	basic	len/pident 9/100.0
blastn	2	5462	5454	basic	len/pident 9/100.0
blastn	2	7161	7153	basic	len/pident 9/100.0
blastn	2	7753	7745	basic	len/pident 9/100.0
blastn	2	7866	7855	basic	len/pident 12/91.667
blastn	2	8808	8816	basic	len/pident 9/100.0
blastn	2	2628	2643	basic	len/pident 16/81.25
blastn	2	5310	5300	basic	len/pident 11/90.909
blastn	2	5465	5475	basic	len/pident 11/90.909
blastn	2	5844	5860	basic	len/pident 17/82.353
blastn	2	6597	6584	basic	len/pident 14/85.714
blastn	2	9709	9696	basic	len/pident 14/85.714
blastn	2	9820	9808	basic	len/pident 14/85.714
blastn	2	301	308	basic	len/pident 8/100.0
blastn	2	403	396	basic	len/pident 8/100.0
blastn	2	430	437	basic	len/pident 8/100.0
blastn	2	526	519	basic	len/pident 8/100.0
blastn	2	939	932	basic	len/pident 8/100.0
blastn	2	1538	1545	basic	len/pident 8/100.0
blastn	2	1993	1986	basic	len/pident 8/100.0
blastn	2	2452	2459	basic	len/pident 8/100.0
blastn	2	2550	2543	basic	len/pident 8/100.0
blastn	2	3228	3240	basic	len/pident 13/84.615
blastn	2	3644	3651	basic	len/pident 8/100.0
blastn	2	3764	3771	basic	len/pident 8/100.0
blastn	2	4507	4517	basic	len/pident 11/90.909
blastn	2	5029	5036	basic	len/pident 8/100.0
blastn	2	5031	5038	basic	len/pident 8/100.0
blastn	2	5854	5845	basic	len/pident 11/90.909
blastn	2	5867	5860	basic	len/pident 8/100.0
blastn	2	6561	6554	basic	len/pident 8/100.0
blastn	2	7134	7124	basic	len/pident 11/90.909
blastn	2	7564	7571	basic	len/pident 8/100.0
blastn	2	8020	8013	basic	len/pident 8/100.0
blastn	2	8093	8086	basic	len/pident 8/100.0
blastn	2	8122	8115	basic	len/pident 8/100.0
blastn	2	8458	8465	basic	len/pident 8/100.0
blastn	2	9545	9538	basic	len/pident 8/100.0
blastn	2	9689	9682	basic	len/pident 8/100.0
blastn	2	10401	10394	basic	len/pident 8/100.0
blastn	2	1290	1281	basic	len/pident 10/90.0
blastn	2	1429	1440	basic	len/pident 13/84.615
blastn	2	2649	2658	basic	len/pident 10/90.0
blastn	2	5203	5212	basic	len/pident 10/90.0
blastn	2	5208	5219	basic	len/pident 13/84.615
blastn	2	5985	5999	basic	len/pident 15/80.0
blastn	2	6237	6228	basic	len/pident 10/90.0
blastn	2	7074	7062	basic	len/pident 13/84.615
blastn	2	8564	8555	basic	len/pident 10/90.0
blastn	2	9947	9938	basic	len/pident 10/90.0
blastn	2	193	199	basic	len/pident 7/100.0
blastn	2	413	419	basic	len/pident 7/100.0
blastn	2	439	433	basic	len/pident 7/100.0
blastn	2	492	486	basic	len/pident 7/100.0
blastn	2	497	491	basic	len/pident 7/100.0
blastn	2	526	520	basic	len/pident 7/100.0
blastn	2	622	628	basic	len/pident 7/100.0
blastn	2	653	647	basic	len/pident 7/100.0
blastn	2	682	676	basic	len/pident 7/100.0
blastn	2	1183	1177	basic	len/pident 7/100.0
blastn	2	1189	1183	basic	len/pident 7/100.0
blastn	2	1448	1454	basic	len/pident 7/100.0
blastn	2	1619	1625	basic	len/pident 7/100.0
blastn	2	1737	1743	basic	len/pident 7/100.0
blastn	2	1772	1766	basic	len/pident 7/100.0
blastn	2	1913	1907	basic	len/pident 7/100.0
blastn	2	2011	2005	basic	len/pident 7/100.0
blastn	2	2035	2041	basic	len/pident 7/100.0
blastn	2	2110	2116	basic	len/pident 7/100.0
blastn	2	2188	2182	basic	len/pident 7/100.0
blastn	2	2386	2380	basic	len/pident 7/100.0
blastn	2	2559	2565	basic	len/pident 7/100.0
blastn	2	2605	2611	basic	len/pident 7/100.0
blastn	2	2714	2720	basic	len/pident 7/100.0
blastn	2	2911	2917	basic	len/pident 7/100.0
blastn	2	2971	2965	basic	len/pident 7/100.0
blastn	2	3061	3055	basic	len/pident 7/100.0
blastn	2	3122	3128	basic	len/pident 7/100.0
blastn	2	3261	3267	basic	len/pident 7/100.0
blastn	2	3478	3472	basic	len/pident 7/100.0
blastn	2	3479	3473	basic	len/pident 7/100.0
blastn	2	3624	3630	basic	len/pident 7/100.0
blastn	2	3633	3627	basic	len/pident 7/100.0
blastn	2	3956	3962	basic	len/pident 7/100.0
blastn	2	4437	4431	basic	len/pident 7/100.0
blastn	2	4484	4478	basic	len/pident 7/100.0
blastn	2	4479	4485	basic	len/pident 7/100.0
blastn	2	4665	4671	basic	len/pident 7/100.0
blastn	2	4692	4686	basic	len/pident 7/100.0
blastn	2	4697	4703	basic	len/pident 7/100.0
blastn	2	4754	4748	basic	len/pident 7/100.0
blastn	2	4767	4761	basic	len/pident 7/100.0
blastn	2	4847	4841	basic	len/pident 7/100.0
blastn	2	4983	4989	basic	len/pident 7/100.0
blastn	2	5047	5041	basic	len/pident 7/100.0
blastn	2	5084	5090	basic	len/pident 7/100.0
blastn	2	5146	5140	basic	len/pident 7/100.0
blastn	2	5438	5444	basic	len/pident 7/100.0
blastn	2	5439	5445	basic	len/pident 7/100.0
blastn	2	5529	5523	basic	len/pident 7/100.0
blastn	2	5571	5565	basic	len/pident 7/100.0
blastn	2	5790	5784	basic	len/pident 7/100.0
blastn	2	5790	5784	basic	len/pident 7/100.0
blastn	2	6076	6082	basic	len/pident 7/100.0
blastn	2	6137	6143	basic	len/pident 7/100.0
blastn	2	6217	6211	basic	len/pident 7/100.0
blastn	2	6326	6320	basic	len/pident 7/100.0
blastn	2	6328	6322	basic	len/pident 7/100.0
blastn	2	6608	6614	basic	len/pident 7/100.0
blastn	2	6793	6799	basic	len/pident 7/100.0
blastn	2	7085	7091	basic	len/pident 7/100.0
blastn	2	7092	7098	basic	len/pident 7/100.0
blastn	2	7493	7499	basic	len/pident 7/100.0
blastn	2	7539	7533	basic	len/pident 7/100.0
blastn	2	7652	7646	basic	len/pident 7/100.0
blastn	2	7737	7743	basic	len/pident 7/100.0
blastn	2	7896	7902	basic	len/pident 7/100.0
blastn	2	7932	7926	basic	len/pident 7/100.0
blastn	2	8011	8017	basic	len/pident 7/100.0
blastn	2	8256	8262	basic	len/pident 7/100.0
blastn	2	8332	8326	basic	len/pident 7/100.0
blastn	2	8358	8364	basic	len/pident 7/100.0
blastn	2	8459	8465	basic	len/pident 7/100.0
blastn	2	8563	8557	basic	len/pident 7/100.0
blastn	2	9013	9019	basic	len/pident 7/100.0
blastn	2	9072	9078	basic	len/pident 7/100.0
blastn	2	9180	9186	basic	len/pident 7/100.0
blastn	2	9325	9331	basic	len/pident 7/100.0
blastn	2	9613	9619	basic	len/pident 7/100.0
blastn	2	9664	9658	basic	len/pident 7/100.0
blastn	2	9681	9687	basic	len/pident 7/100.0
blastn	2	9768	9774	basic	len/pident 7/100.0
blastn	2	9793	9799	basic	len/pident 7/100.0
blastn	2	9921	9927	basic	len/pident 7/100.0
blastn	2	10387	10381	basic	len/pident 7/100.0
blastn	2	10412	10418	basic	len/pident 7/100.0
blastn	3	9567	9577	basic	len/pident 11/100.0
blastn	3	5064	5076	basic	len/pident 13/92.308
blastn	3	7016	7024	basic	len/pident 9/100.0
blastn	3	7107	7115	basic	len/pident 9/100.0
blastn	3	9679	9687	basic	len/pident 9/100.0
blastn	3	1105	1098	basic	len/pident 8/100.0
blastn	3	1800	1807	basic	len/pident 8/100.0
blastn	3	2955	2945	basic	len/pident 11/90.909
blastn	3	3420	3432	basic	len/pident 13/84.615
blastn	3	3569	3562	basic	len/pident 8/100.0
blastn	3	4847	4840	basic	len/pident 8/100.0
blastn	3	6190	6197	basic	len/pident 8/100.0
blastn	3	7368	7375	basic	len/pident 8/100.0
blastn	3	2499	2490	basic	len/pident 10/90.0
blastn	3	3265	3256	basic	len/pident 10/90.0
blastn	3	6497	6488	basic	len/pident 10/90.0
blastn	3	8564	8573	basic	len/pident 10/90.0
blastn	3	10602	10591	basic	len/pident 13/84.615
blastn	3	467	461	basic	len/pident 7/100.0
blastn	3	1354	1348	basic	len/pident 7/100.0
blastn	3	1349	1355	basic	len/pident 7/100.0
blastn	3	2173	2167	basic	len/pident 7/100.0
blastn	3	2247	2253	basic	len/pident 7/100.0
blastn	3	2590	2596	basic	len/pident 7/100.0
blastn	3	2835	2829	basic	len/pident 7/100.0
blastn	3	3008	3014	basic	len/pident 7/100.0
blastn	3	3013	3019	basic	len/pident 7/100.0
blastn	3	3027	3033	basic	len/pident 7/100.0
blastn	3	3728	3722	basic	len/pident 7/100.0
blastn	3	3857	3851	basic	len/pident 7/100.0
blastn	3	4106	4112	basic	len/pident 7/100.0
blastn	3	4254	4248	basic	len/pident 7/100.0
blastn	3	4941	4947	basic	len/pident 7/100.0
blastn	3	5433	5439	basic	len/pident 7/100.0
blastn	3	5757	5751	basic	len/pident 7/100.0
blastn	3	6171	6177	basic	len/pident 7/100.0
blastn	3	6963	6957	basic	len/pident 7/100.0
blastn	3	7052	7058	basic	len/pident 7/100.0
blastn	3	7120	7114	basic	len/pident 7/100.0
blastn	3	7415	7409	basic	len/pident 7/100.0
blastn	3	7458	7452	basic	len/pident 7/100.0
blastn	3	7522	7528	basic	len/pident 7/100.0
blastn	3	7579	7573	basic	len/pident 7/100.0
blastn	3	7630	7636	basic	len/pident 7/100.0
blastn	3	7669	7663	basic	len/pident 7/100.0
blastn	3	7900	7906	basic	len/pident 7/100.0
blastn	3	8336	8330	basic	len/pident 7/100.0
blastn	3	8800	8794	basic	len/pident 7/100.0
blastn	3	9035	9041	basic	len/pident 7/100.0
blastn	3	9688	9682	basic	len/pident 7/100.0
blastn	3	10361	10367	basic	len/pident 7/100.0
blastn	4	10069	10083	basic	len/pident 16/87.5
blastn	4	160	169	basic	len/pident 10/100.0
blastn	4	2436	2425	basic	len/pident 13/92.308
blastn	4	6635	6626	basic	len/pident 10/100.0
blastn	4	842	853	basic	len/pident 12/91.667
blastn	4	2520	2531	basic	len/pident 12/91.667
blastn	4	2953	2942	basic	len/pident 12/91.667
blastn	4	1208	1198	basic	len/pident 12/91.667
blastn	4	1911	1903	basic	len/pident 9/100.0
blastn	4	3236	3244	basic	len/pident 9/100.0
blastn	4	3435	3443	basic	len/pident 9/100.0
blastn	4	3488	3496	basic	len/pident 9/100.0
blastn	4	5701	5691	basic	len/pident 12/91.667
blastn	4	10350	10360	basic	len/pident 12/91.667
blastn	4	824	834	basic	len/pident 11/90.909
blastn	4	980	993	basic	len/pident 14/85.714
blastn	4	3355	3341	basic	len/pident 17/82.353
blastn	4	3680	3690	basic	len/pident 11/90.909
blastn	4	6435	6423	basic	len/pident 14/85.714
