intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	26	17	1,2,3,4,5,6,7,8,9,10,12,13,14
2	2497	2942	446	7	3	1,3,4,5,10,14
3	3034	3164	131	2	2	4,13
4	3319	4209	891	9	7	4,7,8,10,11
5	5643	6404	762	11	6	1,3,4,8,9,10,12,13
6	6470	7105	636	7	6	1,3,4,7,9,14
7	7249	7505	257	2	1	8,11
8	7639	8018	380	7	2	1,3,4,6,11,12
9	8062	8826	765	12	8	1,2,4,5,6,9,10,11,14
10	8932	9562	631	12	6	1,2,3,5,8,11,13,14
11	9773	12347	2575	38	25	1,2,3,4,5,6,7,8,9,10,11,12,13,14
12	12434	16500	4067	50	34	1,2,3,4,5,6,7,8,9,10,11,12,13,14
13	17173	19253	2081	20	15	1,2,4,6,7,8,10,12,13,14
14	19363	21875	2513	36	21	1,2,3,4,6,7,9,10,11,12,13,14
15	22424	24423	2000	25	15	1,2,4,5,6,7,8,9,12,13,14
