exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	2270	2001	4270	100.0	2270	exon	CDS
1	964	985	23081	23059	95.652	23	exon	intron
1	1226	1243	3243	3226	100.0	18	exon	intron
1	1219	1241	7385	7408	87.5	24	exon	intron
1	316	350	12811	12775	78.378	37	exon	intron
1	316	376	49652	49598	72.308	65	exon	intron
1	1676	1724	60576	60528	73.077	52	exon	intron
1	1975	1997	5277	5255	86.957	23	exon	intron
1	69	89	25219	25197	86.957	23	exon	intron
1	74	98	2098	2074	84.615	26	exon	intron
1	1266	1324	26156	26213	70.769	65	exon	intron
1	973	993	46309	46327	90.476	21	exon	intron
1	1461	1485	56855	56833	84.0	25	exon	intron
1	2152	2171	6827	6806	86.364	22	exon	intron
1	1537	1556	8567	8585	90.0	20	exon	intron
1	1547	1565	56586	56605	90.0	20	exon	intron
1	623	646	2646	2623	83.333	24	exon	intron
1	316	334	7074	7092	89.474	19	exon	intron
1	79	99	14396	14417	86.364	22	exon	intron
1	497	515	23747	23729	89.474	19	exon	intron
1	320	336	39067	39085	89.474	19	exon	intron
1	462	485	31490	31468	83.333	24	exon	intron
1	319	337	37974	37957	89.474	19	exon	intron
1	1008	1025	133	116	88.889	18	exon	intron
1	1885	1902	9278	9295	88.889	18	exon	intron
1	1969	1986	19047	19030	88.889	18	exon	intron
1	1675	1699	30143	30168	80.769	26	exon	intron
1	317	334	49940	49957	88.889	18	exon	intron
1	1558	1586	59928	59952	79.31	29	exon	intron
1	1310	1334	522	498	80.0	25	exon	intron
1	800	824	2824	2800	80.0	25	exon	intron
1	1286	1305	12854	12835	85.0	20	exon	intron
1	88	109	16329	16351	82.609	23	exon	intron
1	315	354	19027	19058	72.5	40	exon	intron
1	1690	1714	27755	27777	80.769	26	exon	intron
1	2242	2261	28331	28312	85.0	20	exon	intron
1	1649	1667	35302	35323	81.818	22	exon	intron
1	1687	1706	37579	37560	85.0	20	exon	intron
1	1983	2007	42819	42843	80.0	25	exon	intron
1	1237	1256	43587	43606	85.0	20	exon	intron
1	1233	1252	51220	51239	85.0	20	exon	intron
1	2047	2068	60447	60426	81.818	22	exon	intron
2	1	158	6822	6979	100.0	158	exon	CDS
2	54	86	11544	11572	79.412	34	exon	intron
2	15	43	44850	44877	77.419	31	exon	intron
