intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	13	10	2,3,7,8,9,13,15,16,18
2	2121	2250	130	1	1	15
3	2474	4074	1601	24	19	2,3,4,9,11,12,13,15,17,18,20,21
4	4788	7938	3151	40	27	1,3,4,5,6,7,9,13,14,15,17,18,19,20,21
5	8086	11668	3583	40	32	1,2,3,4,5,7,8,9,10,11,12,13,15,16,17,19,21
6	11775	13840	2066	17	12	3,4,6,9,12,13,14,17,20,21
7	14014	14974	961	16	10	2,5,6,8,12,13,15,21
8	15091	16130	1040	16	10	3,4,5,8,10,13,15,21
9	16309	17789	1481	15	15	2,3,7,8,9,10,11,16,18,20,21
10	17989	21487	3499	44	33	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21
11	21679	22505	827	9	4	3,7,9,10,21
12	22690	23575	886	9	7	5,8,9,11,14,15,16
13	23710	25827	2118	21	14	2,3,4,5,6,7,8,9,11,13,14,15,17,19,21
14	26085	27251	1167	14	8	3,4,6,8,13,14,15,18,20,21
15	27444	27726	283	5	3	5,11,17,20
16	27980	28084	105	1	1	8
17	28196	28283	88	3	2	7,8,14
18	28477	29130	654	10	7	4,6,10,13,17,19,20,21
19	29284	29636	353	2	2	5,13
20	29750	30294	545	9	7	4,5,9,10,11,13,21
21	30413	31284	872	7	7	6,9,12,13,15,18
22	31518	33517	2000	32	22	2,3,4,5,6,8,9,10,11,12,14,15,18,19,20,21
