exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	2	1975	2002	3975	100.0	658	1554.0	0.0	1	tblastx:e1e1
1	1974	1	3974	2001	100.0	658	1548.0	0.0	-3	tblastx:e1e1
1	1	1974	2001	3974	100.0	658	1521.0	0.0	3	tblastx:e1e1
1	1976	3	3976	2003	100.0	658	1517.0	0.0	-1	tblastx:e1e1
1	1975	2	3975	2002	100.0	658	1506.0	0.0	-2	tblastx:e1e1
1	3	1976	2003	3976	100.0	658	1503.0	0.0	2	tblastx:e1e1
1	1516	1436	63476	63396	48.148	27	26.7	0.44	-3	tblastx:e1e1
1	1441	1536	52218	52313	34.375	32	26.3	0.6	3	tblastx:e1e1
1	26	100	9257	9183	32.0	25	24.9	1.6	-3	tblastx:e1e1
1	148	189	26222	26181	50.0	14	24.4	2.1	-3	tblastx:e1e1
1	1482	1456	108375	108349	77.778	9	24.0	2.9	-2	tblastx:e1e1
1	1496	1440	104312	104256	36.842	19	24.0	2.9	-3	tblastx:e1e1
1	1186	1085	92190	92291	32.353	34	24.0	2.9	3	tblastx:e1e1
1	1764	1708	115220	115276	42.105	19	24.0	2.9	2	tblastx:e1e1
1	1172	1228	7305	7361	52.632	19	23.5	4.0	3	tblastx:e1e1
1	1479	1429	95439	95389	47.059	17	23.5	4.0	-2	tblastx:e1e1
1	1626	1706	98741	98821	40.741	27	23.5	4.0	2	tblastx:e1e1
1	1503	1453	112094	112144	41.176	17	23.5	4.0	2	tblastx:e1e1
1	1422	1375	86976	87023	43.75	16	23.1	5.5	3	tblastx:e1e1
1	268	230	26097	26059	46.154	13	23.1	5.5	-2	tblastx:e1e1
1	1122	1096	88777	88751	66.667	9	22.6	7.6	-1	tblastx:e1e1
1	1971	1939	29845	29877	54.545	11	22.6	7.6	1	tblastx:e1e1
1	448	398	30827	30877	47.059	17	22.6	7.6	2	tblastx:e1e1
1	744	773	70501	70472	60.0	10	22.6	7.6	-1	tblastx:e1e1
1	1503	1459	63463	63419	53.333	15	22.6	7.6	-1	tblastx:e1e1
1	1476	1456	60315	60295	71.429	7	22.6	7.6	-2	tblastx:e1e1
1	17	40	54028	54005	87.5	8	22.6	7.6	-1	tblastx:e1e1
1	1527	1459	33642	33574	30.435	23	22.6	7.6	-2	tblastx:e1e1
2	3	122	4676	4795	100.0	40	102.0	1.41e-25	2	tblastx:e1e1
2	2	124	4675	4797	100.0	41	101.0	2.67e-25	1	tblastx:e1e1
2	123	1	4796	4674	100.0	41	100.0	5.04e-25	-3	tblastx:e1e1
2	1	123	4674	4796	100.0	41	99.1	1.79e-24	3	tblastx:e1e1
2	124	2	4797	4675	100.0	41	96.8	8.78e-24	-2	tblastx:e1e1
2	122	3	4795	4676	100.0	40	95.9	1.66e-23	-1	tblastx:e1e1
2	80	33	80535	80582	50.0	16	20.8	0.69	3	tblastx:e1e1
2	16	66	38445	38395	29.412	17	19.9	1.3	-2	tblastx:e1e1
2	16	84	15297	15365	30.435	23	19.4	1.8	3	tblastx:e1e1
2	120	97	20566	20543	75.0	8	19.4	1.8	-1	tblastx:e1e1
2	94	74	76593	76613	57.143	7	18.9	2.5	3	tblastx:e1e1
2	100	120	77421	77441	85.714	7	18.9	2.5	3	tblastx:e1e1
