exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	299	3	2299	2003	100.0	99	250.0	4.39e-70	-3	tblastx:e1e1
1	1	300	2001	2300	100.0	100	248.0	2.18e-69	3	tblastx:e1e1
1	2	301	2002	2301	100.0	100	244.0	2.01e-68	1	tblastx:e1e1
1	3	299	2003	2299	100.0	99	244.0	2.01e-68	2	tblastx:e1e1
1	300	1	2300	2001	100.0	100	241.0	1.83e-67	-2	tblastx:e1e1
1	301	2	2301	2002	100.0	100	238.0	1.69e-66	-1	tblastx:e1e1
1	156	106	11595	11645	41.176	17	20.3	0.78	3	tblastx:e1e1
1	18	56	494	456	46.154	13	19.4	0.83	-2	tblastx:e1e1
1	36	62	16589	16615	66.667	9	17.6	0.83	2	tblastx:e1e1
1	185	202	16697	16714	100.0	6	17.6	0.83	2	tblastx:e1e1
1	105	206	443	342	26.471	34	15.7	0.83	-2	tblastx:e1e1
1	297	253	17841	17797	46.667	15	19.4	1.4	-1	tblastx:e1e1
1	29	121	19076	18984	25.806	31	19.4	1.5	-2	tblastx:e1e1
1	36	95	4545	4604	35.0	20	19.4	1.5	3	tblastx:e1e1
1	62	118	19885	19829	36.842	19	18.9	2.0	-3	tblastx:e1e1
1	113	145	303	335	63.636	11	18.9	2.0	3	tblastx:e1e1
1	269	240	16219	16190	50.0	10	18.5	2.7	-3	tblastx:e1e1
1	64	29	3497	3532	50.0	12	18.5	2.8	2	tblastx:e1e1
1	9	56	11493	11540	31.25	16	18.5	2.8	3	tblastx:e1e1
1	226	252	16454	16480	66.667	9	18.5	2.8	2	tblastx:e1e1
1	217	155	3554	3492	33.333	21	18.0	3.8	-2	tblastx:e1e1
1	165	142	9117	9140	62.5	8	18.0	3.8	3	tblastx:e1e1
1	278	298	9870	9850	71.429	7	18.0	3.8	-1	tblastx:e1e1
1	283	297	13204	13218	60.0	5	18.0	3.8	1	tblastx:e1e1
1	296	264	18283	18315	45.455	11	18.0	3.8	1	tblastx:e1e1
1	102	134	19312	19344	45.455	11	18.0	3.8	1	tblastx:e1e1
1	267	247	10865	10845	71.429	7	17.6	5.2	-2	tblastx:e1e1
1	301	281	5138	5158	85.714	7	17.6	5.2	2	tblastx:e1e1
1	209	183	5365	5391	66.667	9	17.6	5.2	1	tblastx:e1e1
1	12	62	9157	9107	35.294	17	17.6	5.2	-3	tblastx:e1e1
1	148	237	6324	6235	23.333	30	17.6	5.2	-1	tblastx:e1e1
1	185	132	13571	13518	38.889	18	17.1	7.1	-2	tblastx:e1e1
1	203	171	6820	6852	45.455	11	17.1	7.2	1	tblastx:e1e1
1	258	229	8049	8078	40.0	10	17.1	7.2	3	tblastx:e1e1
1	258	211	8727	8774	31.25	16	17.1	7.2	3	tblastx:e1e1
1	34	60	11066	11040	55.556	9	17.1	7.2	-2	tblastx:e1e1
