exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	1004	2001	3004	100.0	1004	exon	CDS
1	422	454	18019	18050	81.818	33	exon	exon
1	379	403	3233	3208	85.185	27	exon	intron
1	325	355	9473	9507	80.0	35	exon	intron
1	325	350	784	761	84.615	26	exon	intron
1	735	762	6067	6089	82.143	28	exon	intron
1	250	279	12933	12901	78.788	33	exon	intron
1	622	643	6895	6874	86.957	23	exon	intron
1	421	455	8118	8147	77.143	35	exon	intron
1	373	395	17087	17110	84.0	25	exon	exon
1	338	366	12275	12244	78.125	32	exon	intron
1	564	582	2145	2125	85.714	21	exon	intron
1	976	1000	2369	2391	80.769	26	exon	exon
1	125	145	2582	2564	85.714	21	exon	intron
1	369	391	2976	3000	80.769	26	exon	CDS
1	412	434	4247	4270	83.333	24	exon	intron
1	332	355	9443	9465	83.333	24	exon	intron
1	233	255	13864	13841	83.333	24	exon	intron
1	438	456	14143	14163	85.714	21	exon	intron
1	419	453	175	213	74.359	39	exon	intron
1	954	983	1539	1569	78.125	32	exon	intron
1	247	266	7632	7612	85.714	21	exon	intron
1	335	355	9449	9471	82.609	23	exon	intron
1	845	870	12153	12182	80.0	30	exon	CDS
1	803	842	17095	17057	73.171	41	exon	intron
1	6	59	20154	20101	70.0	60	exon	intron
1	685	712	230	206	78.571	28	exon	intron
1	400	424	2424	2400	80.0	25	exon	intron
1	850	877	6783	6807	78.571	28	exon	intron
1	725	744	7921	7902	85.0	20	exon	intron
1	329	349	9491	9509	85.714	21	exon	intron
1	944	965	18882	18904	82.609	23	exon	intron
1	203	222	3660	3642	85.0	20	exon	intron
1	583	606	6602	6626	80.0	25	exon	intron
1	325	352	9455	9480	78.571	28	exon	intron
1	24	45	13026	13047	81.818	22	exon	intron
1	521	550	16676	16708	73.529	34	exon	exon
1	411	429	153	171	84.211	19	exon	intron
1	724	742	743	725	84.211	19	exon	intron
1	37	55	1965	1947	84.211	19	exon	intron
1	532	552	4820	4799	81.818	22	exon	intron
1	864	884	5229	5250	81.818	22	exon	intron
1	98	121	15169	15195	77.778	27	exon	intron
1	722	742	773	753	80.952	21	exon	intron
1	711	728	4888	4870	84.211	19	exon	intron
