exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	242	2001	2242	100.0	242	362.0	2.03e-103	blastn:w7;e1e2
1	28	103	2653	2581	67.857	84	25.1	0.071	blastn:w7;e1e2
1	214	228	195	181	93.333	15	21.4	1.6	blastn:w7;e1e2
1	213	235	2370	2349	82.609	23	21.4	1.6	blastn:w7;e1e2
1	82	93	135	146	100.0	12	20.7	1.6	blastn:w7;e1e2
1	162	193	424	453	75.0	32	20.7	1.6	blastn:w7;e1e2
1	159	180	1309	1290	82.609	23	20.7	1.6	blastn:w7;e1e2
1	177	188	7312	7323	100.0	12	20.7	1.6	blastn:w7;e1e2
1	141	152	7556	7567	100.0	12	20.7	1.6	blastn:w7;e1e2
1	144	167	8785	8812	78.571	28	20.7	1.6	blastn:w7;e1e2
1	16	39	2427	2446	79.167	24	19.9	4.4	blastn:w7;e1e2
1	96	109	8998	8985	92.857	14	19.9	4.4	blastn:w7;e1e2
1	88	115	11005	11029	78.571	28	19.9	4.4	blastn:w7;e1e2
1	67	111	389	344	70.0	50	19.2	4.4	blastn:w7;e1e2
1	2	34	3794	3821	72.727	33	19.2	4.4	blastn:w7;e1e2
1	136	150	6330	6346	88.235	17	19.2	4.4	blastn:w7;e1e2
1	53	65	7667	7654	92.857	14	19.2	4.4	blastn:w7;e1e2
1	92	109	9431	9415	84.211	19	19.2	4.4	blastn:w7;e1e2
1	20	49	9949	9977	72.727	33	19.2	4.4	blastn:w7;e1e2
1	39	67	421	450	75.0	32	18.4	12.0	blastn:w7;e1e2
1	196	234	1298	1332	71.795	39	18.4	12.0	blastn:w7;e1e2
1	42	59	2422	2405	83.333	18	18.4	12.0	blastn:w7;e1e2
1	180	192	7067	7055	92.308	13	18.4	12.0	blastn:w7;e1e2
1	14	56	8085	8051	70.455	44	18.4	12.0	blastn:w7;e1e2
1	160	184	8921	8942	76.0	25	18.4	12.0	blastn:w7;e1e2
1	13	32	547	566	80.0	20	17.7	12.0	blastn:w7;e1e2
1	105	114	758	749	100.0	10	17.7	12.0	blastn:w7;e1e2
1	135	144	2144	2135	100.0	10	17.7	12.0	blastn:w7;e1e2
1	103	115	3172	3161	92.308	13	17.7	12.0	blastn:w7;e1e2
1	67	76	4485	4476	100.0	10	17.7	12.0	blastn:w7;e1e2
1	153	169	4481	4498	83.333	18	17.7	12.0	blastn:w7;e1e2
1	185	199	5074	5060	86.667	15	17.7	12.0	blastn:w7;e1e2
1	122	131	5963	5954	100.0	10	17.7	12.0	blastn:w7;e1e2
1	195	209	7427	7441	86.667	15	17.7	12.0	blastn:w7;e1e2
1	99	108	7528	7537	100.0	10	17.7	12.0	blastn:w7;e1e2
1	167	176	7651	7642	100.0	10	17.7	12.0	blastn:w7;e1e2
1	18	32	10098	10084	86.667	15	17.7	12.0	blastn:w7;e1e2
1	157	168	10399	10411	92.308	13	17.7	12.0	blastn:w7;e1e2
1	220	236	10996	10979	83.333	18	17.7	12.0	blastn:w7;e1e2
1	195	204	11220	11229	100.0	10	17.7	12.0	blastn:w7;e1e2
1	181	190	11344	11335	100.0	10	17.7	12.0	blastn:w7;e1e2
1	67	78	11379	11391	92.308	13	17.7	12.0	blastn:w7;e1e2
1	136	164	918	881	68.421	38	17.0	34.0	blastn:w7;e1e2
1	74	88	2785	2772	86.667	15	17.0	34.0	blastn:w7;e1e2
1	101	123	2916	2896	78.261	23	17.0	34.0	blastn:w7;e1e2
1	141	152	3267	3278	91.667	12	17.0	34.0	blastn:w7;e1e2
1	60	71	6397	6408	91.667	12	17.0	34.0	blastn:w7;e1e2
1	76	87	7133	7122	91.667	12	17.0	34.0	blastn:w7;e1e2
1	40	51	7960	7971	91.667	12	17.0	34.0	blastn:w7;e1e2
1	127	155	9038	9067	73.333	30	17.0	34.0	blastn:w7;e1e2
1	67	81	10080	10093	86.667	15	17.0	34.0	blastn:w7;e1e2
1	88	99	10780	10769	91.667	12	17.0	34.0	blastn:w7;e1e2
1	114	127	10860	10874	86.667	15	17.0	34.0	blastn:w7;e1e2
1	5	21	10897	10913	82.353	17	17.0	34.0	blastn:w7;e1e2
1	106	117	10944	10933	91.667	12	17.0	34.0	blastn:w7;e1e2
1	224	235	11402	11413	91.667	12	17.0	34.0	blastn:w7;e1e2
1	224	235	11426	11437	91.667	12	17.0	34.0	blastn:w7;e1e2
1	62	75	11474	11488	86.667	15	17.0	34.0	blastn:w7;e1e2
1	109	120	15	5	91.667	12	16.2	34.0	blastn:w7;e1e2
1	32	40	2362	2354	100.0	9	16.2	34.0	blastn:w7;e1e2
1	40	50	2706	2717	91.667	12	16.2	34.0	blastn:w7;e1e2
1	146	168	2786	2761	74.074	27	16.2	34.0	blastn:w7;e1e2
1	14	27	3392	3381	85.714	14	16.2	34.0	blastn:w7;e1e2
1	169	182	3947	3934	85.714	14	16.2	34.0	blastn:w7;e1e2
1	105	113	4360	4352	100.0	9	16.2	34.0	blastn:w7;e1e2
1	219	227	4530	4538	100.0	9	16.2	34.0	blastn:w7;e1e2
1	160	175	5246	5232	82.353	17	16.2	34.0	blastn:w7;e1e2
1	132	145	5653	5640	85.714	14	16.2	34.0	blastn:w7;e1e2
1	203	211	5760	5768	100.0	9	16.2	34.0	blastn:w7;e1e2
1	51	59	6206	6198	100.0	9	16.2	34.0	blastn:w7;e1e2
1	25	33	6257	6265	100.0	9	16.2	34.0	blastn:w7;e1e2
1	28	36	6263	6271	100.0	9	16.2	34.0	blastn:w7;e1e2
1	55	66	6635	6648	85.714	14	16.2	34.0	blastn:w7;e1e2
1	141	152	6673	6660	85.714	14	16.2	34.0	blastn:w7;e1e2
1	101	109	7023	7015	100.0	9	16.2	34.0	blastn:w7;e1e2
1	14	22	7925	7917	100.0	9	16.2	34.0	blastn:w7;e1e2
1	93	101	8429	8421	100.0	9	16.2	34.0	blastn:w7;e1e2
1	147	157	8891	8902	91.667	12	16.2	34.0	blastn:w7;e1e2
1	70	78	9105	9113	100.0	9	16.2	34.0	blastn:w7;e1e2
1	185	193	10863	10855	100.0	9	16.2	34.0	blastn:w7;e1e2
1	169	177	11157	11149	100.0	9	16.2	34.0	blastn:w7;e1e2
1	56	64	11706	11714	100.0	9	16.2	34.0	blastn:w7;e1e2
1	30	40	1197	1207	90.909	11	15.5	96.0	blastn:w7;e1e2
1	71	81	3104	3094	90.909	11	15.5	96.0	blastn:w7;e1e2
1	31	41	3904	3914	90.909	11	15.5	96.0	blastn:w7;e1e2
1	173	183	4011	4021	90.909	11	15.5	96.0	blastn:w7;e1e2
1	31	46	4487	4505	78.947	19	15.5	96.0	blastn:w7;e1e2
1	171	181	5654	5664	90.909	11	15.5	96.0	blastn:w7;e1e2
1	166	186	6218	6200	76.19	21	15.5	96.0	blastn:w7;e1e2
1	180	190	6297	6287	90.909	11	15.5	96.0	blastn:w7;e1e2
1	32	42	7668	7678	90.909	11	15.5	96.0	blastn:w7;e1e2
1	7	25	8146	8131	78.947	19	15.5	96.0	blastn:w7;e1e2
1	99	109	10655	10665	90.909	11	15.5	96.0	blastn:w7;e1e2
1	52	64	10735	10722	85.714	14	15.5	96.0	blastn:w7;e1e2
1	218	232	11152	11168	82.353	17	15.5	96.0	blastn:w7;e1e2
1	65	75	11558	11548	90.909	11	15.5	96.0	blastn:w7;e1e2
1	142	149	87	80	100.0	8	14.7	96.0	blastn:w7;e1e2
1	1	8	157	150	100.0	8	14.7	96.0	blastn:w7;e1e2
1	171	178	316	309	100.0	8	14.7	96.0	blastn:w7;e1e2
1	97	104	384	391	100.0	8	14.7	96.0	blastn:w7;e1e2
1	223	230	701	708	100.0	8	14.7	96.0	blastn:w7;e1e2
1	150	157	833	826	100.0	8	14.7	96.0	blastn:w7;e1e2
1	192	199	950	943	100.0	8	14.7	96.0	blastn:w7;e1e2
1	172	179	955	948	100.0	8	14.7	96.0	blastn:w7;e1e2
1	70	77	1249	1256	100.0	8	14.7	96.0	blastn:w7;e1e2
1	32	39	1321	1328	100.0	8	14.7	96.0	blastn:w7;e1e2
1	138	145	1400	1407	100.0	8	14.7	96.0	blastn:w7;e1e2
1	169	176	1553	1546	100.0	8	14.7	96.0	blastn:w7;e1e2
1	195	202	1710	1703	100.0	8	14.7	96.0	blastn:w7;e1e2
1	182	189	1883	1876	100.0	8	14.7	96.0	blastn:w7;e1e2
1	228	235	2294	2287	100.0	8	14.7	96.0	blastn:w7;e1e2
1	104	111	2297	2290	100.0	8	14.7	96.0	blastn:w7;e1e2
1	221	228	2506	2513	100.0	8	14.7	96.0	blastn:w7;e1e2
1	181	188	2547	2540	100.0	8	14.7	96.0	blastn:w7;e1e2
1	111	118	2708	2715	100.0	8	14.7	96.0	blastn:w7;e1e2
