exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	3136	3136	100.0	2270	3376.0	0.0	blastn,tblastx	3135.5
1	59949	59915	79.31	31	22.2	5.1	blastn,tblastx	59940.0
2	6900	6902	100.0	158	237.0	2.38e-65	blastn,tblastx	6900.5
2	36073	36090	72.973	37	19.9	1.7	blastn,tblastx	36081.25
2	44228	44249	80.952	21	21.2	0.49	blastn,tblastx	44238.25
3	56526	56528	100.0	106	160.0	2.59e-42	blastn,tblastx	56526.5
4	16500	16430	76.471	37	22.2	6.2	blastn,tblastx	16470.5
4	58788	58716	94.737	54	53.3	3.7e-10	blastn,tblastx	58753.5
5	42646	42629	90.476	21	25.9	0.25	blastn,tblastx	42628.5
5	62110	62283	100.0	174	261.0	1.86e-72	blastn,tblastx	62196.5
