chrom	start	end	gene_id	gene_name	mid	label	set_label
NC_085842.1	181689375	181756693	arhgap4	arhgap4	181723034	arhgap4	set1
NC_085846.1	19833004	19880179	arhgef40	arhgef40	19856591	arhgef40	set1
NW_026943825.1	6027945	6052413	atl3	atl3	6040179	atl3	set1
NC_085842.1	25618477	25623361	atp6v1g2	atp6v1g2	25620919	atp6v1g2	set1
NW_026943821.1	9167571	9198337	b3gnt8	b3gnt8	9182954	b3gnt8	set1
NW_026943821.1	1659955	1794881	bcam	bcam	1727418	bcam	set1
NC_085846.1	11736689	11749225	bcl7c	bcl7c	11742957	bcl7c	set1
NW_026943825.1	9358833	9361392	ccdc85b	ccdc85b	9360112	ccdc85b	set1
NW_026943825.1	7238746	7278468	ccdc88b	ccdc88b	7258607	ccdc88b	set1
NC_085846.1	3819703	3834657	cd68	cd68	3827180	cd68	set1
NW_026943825.1	4086115	4149575	cdc42bpg	cdc42bpg	4117845	cdc42bpg	set1
NW_026943825.1	838100	849201	chrm1	chrm1	843650	chrm1	set1
NC_085846.1	13924604	13942379	coro1a	coro1a	13933491	coro1a	set1
NC_085846.1	7698205	7731294	cpne6	cpne6	7714749	cpne6	set1
NC_085842.1	197844134	197901098	dennd1c	dennd1c	197872616	dennd1c	set1
NC_085846.1	13386535	13456019	doc2a	doc2a	13421277	doc2a	set1
NC_085842.1	192787683	192921946	dock6	dock6	192854814	dock6	set1
NC_085842.1	182873721	182900042	dusp9	dusp9	182886881	dusp9	set1
NC_085846.1	4753440	4775206	dvl2	dvl2	4764323	dvl2	set1
NC_085846.1	8111077	8136653	efs	efs	8123865	efs	set1
NW_026943821.1	10292134	10316164	egln2	egln2	10304149	egln2	set1
NW_026943825.1	4050589	4080635	ehd1	ehd1	4065612	ehd1	set1
NC_085842.1	212136016	212168141	elk1	elk1	212152078	elk1	set1
NW_026943821.1	3051203	3118043	eml2	eml2	3084623	eml2	set1
NC_085846.1	14211009	14244528	epn1	epn1	14227768	epn1	set1
NC_085846.1	16132928	16178116	eps8l1	eps8l1	16155522	eps8l1	set1
NC_085842.1	179272801	179346642	fgd1	fgd1	179309721	fgd1	set1
NW_026943825.1	9363291	9376455	fosl1	fosl1	9369873	fosl1	set1
NC_085842.1	180086922	180105523	gdi1	gdi1	180096222	gdi1	set1
NC_085846.1	3254770	3283479	gnb2	gnb2	3269124	gnb2	set1
NW_026943825.1	7070488	7082492	gpr137	gpr137	7076490	gpr137	set1
NW_026943821.1	15714658	15803238	gramd1a	gramd1a	15758948	gramd1a	set1
NW_026943821.1	17351124	17359150	hspb6	hspb6	17355137	hspb6	set1
NW_026943821.1	10413182	10447991	itpkc	itpkc	10430586	itpkc	set1
NC_085842.1	183899561	184001422	kcnd1	kcnd1	183950491	kcnd1	set1
NC_085846.1	15936743	15971294	kcnj14	kcnj14	15954018	kcnj14	set1
NW_026943825.1	7122420	7144929	kcnk4	kcnk4	7133674	kcnk4	set1
NW_026943825.1	4349762	4373400	kcnk7	kcnk7	4361581	kcnk7	set1
NC_085846.1	13581007	13593197	kctd13	kctd13	13587102	kctd13	set1
NW_026943821.1	17048464	17149185	kirrel2	kirrel2	17098824	kirrel2	set1
NW_026943825.1	8567637	8591936	klc2	klc2	8579786	klc2	set1
NC_085846.1	8528574	8545085	lrp10	lrp10	8536829	lrp10	set1
NC_085842.1	129486369	129500913	lrrc8e	lrrc8e	129493641	lrrc8e	set1
NW_026943821.1	8098249	8187367	meis3	meis3	8142808	meis3	set1
NC_085842.1	23751216	23795474	notch4	notch4	23773345	notch4	set1
NC_085846.1	7646890	7671594	nrl	nrl	7659242	nrl	set1
NC_085846.1	11864569	11882317	orai3	orai3	11873443	orai3	set1
NC_085842.1	197271398	197357150	palm3	palm3	197314274	palm3	set1
NW_026943825.1	9532656	9551180	peli3	peli3	9541918	peli3	set1
NC_085842.1	146597046	146672335	pkn1	pkn1	146634690	pkn1	set1
NW_026943821.1	4274657	4361000	plekhg2	plekhg2	4317828	plekhg2	set1
NC_085842.1	183280640	183406882	plxnb3	plxnb3	183343761	plxnb3	set1
NC_085842.1	182943764	182992340	pnck	pnck	182968052	pnck	set1
NW_026943821.1	2794693	2814603	ppm1n	ppm1n	2804648	ppm1n	set1
NC_085846.1	8182263	8190448	ppp1r3e	ppp1r3e	8186355	ppp1r3e	set1
NW_026943825.1	3871575	3897667	ppp2r5b	ppp2r5b	3884621	ppp2r5b	set1
NW_026943821.1	5498250	5540717	prkd2	prkd2	5519483	prkd2	set1
NC_085842.1	146534355	146549639	ptger1	ptger1	146541997	ptger1	set1
NC_085842.1	192998215	193041039	rab3d	rab3d	193019627	rab3d	set1
NC_085842.1	193296138	193355168	rgl3	rgl3	193325653	rgl3	set1
NC_085846.1	12894106	12899857	septin1	septin1	12896981	septin1	set1
NC_085842.1	211164921	211219053	slc38a5	slc38a5	211191987	slc38a5	set1
NC_085842.1	25205408	25267724	slc44a4	slc44a4	25236566	slc44a4	set1
NC_085846.1	16719640	16766058	syt5	syt5	16742849	syt5	set1
NC_085846.1	17540092	17565477	tead2	tead2	17552784	tead2	set1
NC_085846.1	15070544	15092603	tmc4	tmc4	15081573	tmc4	set1
NW_026943825.1	8423552	8443242	tmem151a	tmem151a	8433397	tmem151a	set1
NC_085842.1	186539832	186814465	trip10	trip10	186677148	trip10	set1
NC_085846.1	16271993	16343662	ttyh1	ttyh1	16307827	ttyh1	set1
NC_085842.1	212071811	212107070	usp11	usp11	212089440	usp11	set1
NC_085846.1	13871507	13879585	ypel3	ypel3	13875546	ypel3	set1
NC_085842.1	196482112	196535548	zswim4	zswim4	196508830	zswim4	set1
NW_026943825.1	5605513	5634954	actn3	actn3	5620233	actn3	set1
NC_085846.1	455665	505702	arrb2	arrb2	480683	arrb2	set1
NC_085842.1	182633542	182810376	atp2b3	atp2b3	182721959	atp2b3	set1
NC_085842.1	182429384	182595322	bgn	bgn	182512353	bgn	set1
NC_085842.1	168962368	169144694	col5a3	col5a3	169053531	col5a3	set1
NC_085846.1	5784455	5877894	efnb3	efnb3	5831174	efnb3	set1
NW_026943821.1	7542789	7557042	fam98c	fam98c	7549915	fam98c	set1
NC_085846.1	11828888	11860446	fbxl19	fbxl19	11844667	fbxl19	set1
NW_026943821.1	6273398	6308724	foxa3	foxa3	6291061	foxa3	set1
NC_085846.1	3732315	3787823	fxr2	fxr2	3760069	fxr2	set1
NW_026943821.1	13953279	14198291	iglon5	iglon5	14075785	iglon5	set1
NC_085842.1	181525031	181572301	irak1	irak1	181548666	irak1	set1
NW_026943821.1	6314668	6318636	irf2bp1	irf2bp1	6316652	irf2bp1	set1
NC_085846.1	7511403	7528222	irf9	irf9	7519812	irf9	set1
NC_085842.1	192643769	192768032	kank2	kank2	192705900	kank2	set1
NW_026943821.1	11295529	11314319	kcnk6	kcnk6	11304924	kcnk6	set1
NW_026943821.1	2523507	2553117	klc3	klc3	2538312	klc3	set1
NW_026943821.1	10805746	10822452	map3k10	map3k10	10814099	map3k10	set1
NW_026943825.1	4418552	4463618	map4k2	map4k2	4441085	map4k2	set1
NC_085846.1	23463	113734	mink1	mink1	68598	mink1	set1
NW_026943821.1	1796094	1912475	nectin2	nectin2	1854284	nectin2	set1
NC_085842.1	145867544	145931758	notch3	notch3	145899651	notch3	set1
NW_026943825.1	4621348	4669962	pcnx3	pcnx3	4645655	pcnx3	set1
NC_085842.1	195368564	195956602	pde4a	pde4a	195662583	pde4a	set1
NC_085846.1	6964340	6997855	per1	per1	6981097	per1	set1
NC_085842.1	179934384	180035815	plxna3	plxna3	179985099	plxna3	set1
NW_026943821.1	11373042	11385733	ppp1r14a	ppp1r14a	11379387	ppp1r14a	set1
NW_026943825.1	4770366	4835907	rasgrp2	rasgrp2	4803136	rasgrp2	set1
NW_026943821.1	7504134	7542456	rasgrp4	rasgrp4	7523295	rasgrp4	set1
NC_085846.1	8511886	8523863	rem2	rem2	8517874	rem2	set1
NC_085846.1	795078	808377	serpine1	serpine1	801727	serpine1	set1
NC_085846.1	13504475	13540935	sez6l2	sez6l2	13522705	sez6l2	set1
NC_085846.1	17619047	17643688	slc6a16	slc6a16	17631367	slc6a16	set1
NW_026943825.1	3371781	3383129	snx15	snx15	3377455	snx15	set1
NW_026943821.1	7561920	7597723	spred3	spred3	7579821	spred3	set1
NC_085842.1	146089070	146126230	stxbp2	stxbp2	146107650	stxbp2	set1
