exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	3	164	2003	2164	100.0	54	140.0	9.86e-38	2	tblastx:e1e1
1	1	162	2001	2162	100.0	54	136.0	1.72e-36	3	tblastx:e1e1
1	164	3	2164	2003	100.0	54	136.0	2.36e-36	-2	tblastx:e1e1
1	163	2	2163	2002	100.0	54	135.0	3.25e-36	-3	tblastx:e1e1
1	162	1	2162	2001	100.0	54	131.0	6.75e-35	-1	tblastx:e1e1
1	2	163	2002	2163	100.0	54	127.0	7.18e-34	1	tblastx:e1e1
1	118	32	8707	8621	31.034	29	22.1	0.052	-2	tblastx:e1e1
1	162	88	955	881	32.0	25	21.0	0.12	-2	tblastx:e1e1
1	55	84	5862	5833	80.0	10	20.3	0.19	-3	tblastx:e1e1
1	39	1	4783	4821	53.846	13	18.3	0.73	1	tblastx:e1e1
1	24	4	6953	6973	71.429	7	17.8	1.0	2	tblastx:e1e1
1	117	143	6381	6355	55.556	9	17.6	1.3	-3	tblastx:e1e1
1	100	129	2682	2653	50.0	10	17.1	1.8	-3	tblastx:e1e1
1	36	71	2791	2756	41.667	12	14.4	1.8	-2	tblastx:e1e1
1	57	25	8099	8131	54.545	11	16.9	1.9	2	tblastx:e1e1
1	105	122	1712	1729	66.667	6	16.6	2.4	2	tblastx:e1e1
1	124	107	1190	1207	66.667	6	16.2	3.2	2	tblastx:e1e1
1	155	135	10466	10486	57.143	7	16.2	3.2	2	tblastx:e1e1
1	105	128	6388	6365	62.5	8	16.2	3.3	-2	tblastx:e1e1
1	13	39	1925	1899	66.667	9	16.2	3.3	-1	tblastx:e1e1
1	116	69	8705	8658	31.25	16	15.7	4.5	-1	tblastx:e1e1
1	54	13	3338	3379	35.714	14	15.6	4.8	2	tblastx:e1e1
1	24	1	8339	8362	62.5	8	15.6	4.8	2	tblastx:e1e1
1	24	50	8489	8463	55.556	9	15.3	6.1	-1	tblastx:e1e1
1	124	98	1402	1376	44.444	9	15.3	6.1	-2	tblastx:e1e1
1	117	131	2822	2836	80.0	5	14.8	8.4	2	tblastx:e1e1
