intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	18	14	1,2,3,5,6,8,9,11,12,13,15,17,18
2	2138	2305	168	4	3	9,12,13
3	2452	4043	1592	17	13	1,2,3,4,5,6,9,10,13,17,19
4	4254	6936	2683	25	21	1,3,4,5,7,8,10,11,12,13,15,16,17,18,19
5	7052	8076	1025	8	7	1,4,6,12,16,19
6	8254	11130	2877	33	24	1,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19
7	11265	13219	1955	24	17	3,4,5,7,12,13,15,18,19
8	13356	14188	833	8	7	1,6,11,12,17,18
9	14307	18037	3731	33	26	1,3,4,5,6,7,8,11,12,15,16,17,18,19
10	18123	19810	1688	20	17	1,4,5,6,8,10,12,13,16,17,18,19
11	19924	21625	1702	23	19	1,3,9,11,12,13,16,17,18,19
12	21815	23910	2096	30	22	1,4,6,7,8,9,10,11,12,13,15,17,18,19
13	23974	25245	1272	15	11	1,4,6,9,13,16,18,19
14	25412	27414	2003	22	17	1,4,5,6,7,8,10,11,13,15,19
15	27434	29247	1814	23	20	1,3,4,6,8,10,12,15,16,18,19
16	29341	31103	1763	16	12	1,3,4,6,8,11,12,17,18,19
17	31335	31980	646	8	6	6,8,12,14,17
18	32184	32878	695	10	7	1,5,8,10,11,15,16,18,19
19	33134	35293	2160	23	14	3,4,5,7,9,10,11,12,13,17,18,19
20	39215	41214	2000	21	15	1,2,3,5,6,9,10,15,17,18,19
