method	exon_index	sstart	send	reason	detail
blastn	1	2133	2117	basic	len/pident 17/94.118
blastn	1	2014	2004	basic	len/pident 11/100.0
blastn	1	2097	2087	basic	len/pident 11/100.0
blastn	1	2421	2436	basic	len/pident 16/87.5
blastn	1	3008	3020	basic	len/pident 13/92.308
blastn	1	7942	7954	basic	len/pident 13/92.308
blastn	1	59801	59787	basic	len/pident 16/87.5
blastn	1	3033	3024	basic	len/pident 10/100.0
blastn	1	5182	5191	basic	len/pident 10/100.0
blastn	1	6871	6880	basic	len/pident 10/100.0
blastn	1	7665	7656	basic	len/pident 10/100.0
blastn	1	28451	28465	basic	len/pident 15/86.667
blastn	1	37031	37022	basic	len/pident 10/100.0
blastn	1	42034	42043	basic	len/pident 10/100.0
blastn	1	42036	42045	basic	len/pident 10/100.0
blastn	1	49335	49344	basic	len/pident 10/100.0
blastn	1	49351	49360	basic	len/pident 10/100.0
blastn	1	64382	64391	basic	len/pident 10/100.0
blastn	1	68129	68120	basic	len/pident 10/100.0
blastn	2	49976	49992	basic	len/pident 17/94.118
blastn	2	35913	35926	basic	len/pident 14/100.0
blastn	2	67737	67725	basic	len/pident 13/100.0
blastn	2	10775	10761	basic	len/pident 15/93.333
blastn	2	28319	28305	basic	len/pident 15/93.333
blastn	2	30734	30748	basic	len/pident 15/93.333
blastn	2	41673	41687	basic	len/pident 15/93.333
blastn	2	61739	61725	basic	len/pident 15/93.333
blastn	2	6725	6736	basic	len/pident 12/100.0
blastn	2	14157	14146	basic	len/pident 12/100.0
blastn	2	14499	14510	basic	len/pident 12/100.0
blastn	2	23456	23445	basic	len/pident 12/100.0
blastn	2	40198	40209	basic	len/pident 12/100.0
blastn	2	44670	44681	basic	len/pident 12/100.0
blastn	2	45993	46009	basic	len/pident 17/88.235
blastn	2	49465	49449	basic	len/pident 17/88.235
blastn	2	58412	58401	basic	len/pident 12/100.0
blastn	2	68636	68620	basic	len/pident 17/88.235
blastn	2	6282	6269	basic	len/pident 14/92.857
blastn	2	8521	8508	basic	len/pident 14/92.857
blastn	2	31344	31360	basic	len/pident 17/88.235
blastn	2	31719	31732	basic	len/pident 14/92.857
blastn	2	50732	50745	basic	len/pident 14/92.857
blastn	2	1630	1645	basic	len/pident 16/87.5
blastn	2	4190	4180	basic	len/pident 11/100.0
blastn	2	8423	8413	basic	len/pident 11/100.0
blastn	2	8934	8944	basic	len/pident 11/100.0
blastn	2	10107	10117	basic	len/pident 11/100.0
blastn	2	18252	18242	basic	len/pident 11/100.0
blastn	2	21440	21430	basic	len/pident 11/100.0
blastn	2	22899	22889	basic	len/pident 11/100.0
blastn	2	24652	24662	basic	len/pident 11/100.0
blastn	2	25811	25821	basic	len/pident 11/100.0
blastn	2	26236	26246	basic	len/pident 11/100.0
blastn	2	26889	26899	basic	len/pident 11/100.0
blastn	2	41475	41490	basic	len/pident 16/87.5
blastn	2	49058	49043	basic	len/pident 16/87.5
blastn	2	51599	51589	basic	len/pident 11/100.0
blastn	2	52762	52752	basic	len/pident 11/100.0
blastn	3	26873	26861	basic	len/pident 13/100.0
blastn	3	52875	52889	basic	len/pident 15/93.333
blastn	3	33978	33965	basic	len/pident 15/93.333
blastn	3	39253	39264	basic	len/pident 12/100.0
blastn	3	55595	55579	basic	len/pident 17/88.235
blastn	3	56150	56136	basic	len/pident 15/93.333
blastn	3	9508	9523	basic	len/pident 17/88.235
blastn	3	34003	33990	basic	len/pident 14/92.857
blastn	3	41084	41068	basic	len/pident 17/88.235
blastn	3	67216	67229	basic	len/pident 14/92.857
blastn	3	2734	2749	basic	len/pident 16/87.5
blastn	3	6600	6585	basic	len/pident 16/87.5
blastn	3	7942	7932	basic	len/pident 11/100.0
blastn	3	13445	13461	basic	len/pident 17/88.235
blastn	3	21753	21737	basic	len/pident 17/88.235
blastn	3	39223	39211	basic	len/pident 14/92.857
blastn	3	52819	52829	basic	len/pident 11/100.0
blastn	3	66584	66574	basic	len/pident 11/100.0
blastn	3	19820	19832	basic	len/pident 13/92.308
blastn	3	32119	32134	basic	len/pident 16/87.5
blastn	3	32187	32199	basic	len/pident 13/92.308
blastn	3	32508	32496	basic	len/pident 13/92.308
blastn	3	60919	60931	basic	len/pident 13/92.308
blastn	3	66693	66708	basic	len/pident 16/87.5
blastn	3	1280	1271	basic	len/pident 10/100.0
blastn	3	1530	1544	basic	len/pident 15/86.667
blastn	3	3867	3881	basic	len/pident 15/86.667
blastn	3	5070	5061	basic	len/pident 10/100.0
blastn	3	7479	7488	basic	len/pident 10/100.0
blastn	3	8582	8570	basic	len/pident 13/92.308
blastn	3	9007	8995	basic	len/pident 13/92.308
blastn	3	12014	12005	basic	len/pident 10/100.0
blastn	3	13864	13850	basic	len/pident 15/86.667
blastn	3	13899	13890	basic	len/pident 10/100.0
blastn	3	14606	14620	basic	len/pident 15/86.667
blastn	3	15868	15859	basic	len/pident 10/100.0
blastn	3	16773	16759	basic	len/pident 15/86.667
blastn	3	17386	17377	basic	len/pident 10/100.0
blastn	3	19680	19689	basic	len/pident 10/100.0
blastn	3	19907	19916	basic	len/pident 10/100.0
blastn	3	20156	20165	basic	len/pident 10/100.0
blastn	3	25341	25350	basic	len/pident 10/100.0
blastn	3	26371	26380	basic	len/pident 10/100.0
blastn	3	27701	27710	basic	len/pident 10/100.0
blastn	3	30404	30395	basic	len/pident 10/100.0
blastn	3	30660	30672	basic	len/pident 15/86.667
blastn	3	30663	30672	basic	len/pident 10/100.0
blastn	3	31124	31138	basic	len/pident 15/86.667
blastn	3	39811	39802	basic	len/pident 10/100.0
blastn	3	43601	43610	basic	len/pident 10/100.0
blastn	3	46141	46127	basic	len/pident 15/86.667
blastn	3	46146	46132	basic	len/pident 15/86.667
blastn	3	48532	48518	basic	len/pident 15/86.667
blastn	3	56298	56307	basic	len/pident 10/100.0
blastn	3	57780	57792	basic	len/pident 13/92.308
blastn	3	59645	59636	basic	len/pident 10/100.0
blastn	3	60996	60987	basic	len/pident 10/100.0
blastn	3	62288	62302	basic	len/pident 15/86.667
blastn	3	62291	62305	basic	len/pident 15/86.667
blastn	3	66356	66342	basic	len/pident 15/86.667
blastn	3	68561	68575	basic	len/pident 15/86.667
blastn	3	91	105	basic	len/pident 15/86.667
blastn	3	365	349	basic	len/pident 17/82.353
blastn	3	2670	2681	basic	len/pident 12/91.667
blastn	3	11423	11434	basic	len/pident 12/91.667
blastn	3	12651	12637	basic	len/pident 15/86.667
blastn	3	14821	14832	basic	len/pident 12/91.667
blastn	3	17253	17242	basic	len/pident 12/91.667
blastn	3	18437	18453	basic	len/pident 17/82.353
blastn	3	19641	19630	basic	len/pident 12/91.667
blastn	3	22988	22972	basic	len/pident 17/82.353
blastn	3	28182	28193	basic	len/pident 12/91.667
blastn	3	28983	28970	basic	len/pident 15/86.667
blastn	3	32630	32641	basic	len/pident 12/91.667
blastn	3	38977	38966	basic	len/pident 12/91.667
blastn	3	43165	43154	basic	len/pident 12/91.667
blastn	3	47169	47158	basic	len/pident 12/91.667
blastn	3	48330	48341	basic	len/pident 12/91.667
blastn	3	51281	51292	basic	len/pident 12/91.667
blastn	3	54970	54959	basic	len/pident 12/91.667
blastn	3	66823	66807	basic	len/pident 17/82.353
blastn	3	607	615	basic	len/pident 9/100.0
blastn	3	829	842	basic	len/pident 14/85.714
blastn	3	948	940	basic	len/pident 9/100.0
blastn	3	1527	1540	basic	len/pident 14/85.714
blastn	3	1528	1541	basic	len/pident 14/85.714
blastn	3	1529	1542	basic	len/pident 14/85.714
blastn	3	2574	2582	basic	len/pident 9/100.0
