method	exon_index	sstart	send	reason	detail
blastn	1	6414	6401	basic	len/pident 14/92.857
blastn	1	1775	1790	basic	len/pident 16/87.5
blastn	1	3750	3738	basic	len/pident 13/92.308
blastn	1	946	930	basic	len/pident 17/82.353
blastn	1	5640	5648	basic	len/pident 9/100.0
blastn	1	8112	8123	basic	len/pident 12/91.667
blastn	1	152	139	basic	len/pident 16/81.25
blastn	1	1316	1306	basic	len/pident 11/90.909
blastn	1	3585	3595	basic	len/pident 11/90.909
blastn	1	85	92	basic	len/pident 8/100.0
blastn	1	272	279	basic	len/pident 8/100.0
blastn	1	2223	2230	basic	len/pident 8/100.0
blastn	1	2233	2240	basic	len/pident 8/100.0
blastn	1	2600	2607	basic	len/pident 8/100.0
blastn	1	3056	3049	basic	len/pident 8/100.0
blastn	1	3240	3247	basic	len/pident 8/100.0
blastn	1	3402	3395	basic	len/pident 8/100.0
blastn	1	3406	3399	basic	len/pident 8/100.0
blastn	1	3814	3803	basic	len/pident 15/80.0
blastn	1	4791	4798	basic	len/pident 8/100.0
blastn	1	5321	5328	basic	len/pident 8/100.0
blastn	1	5327	5342	basic	len/pident 16/81.25
blastn	1	5638	5631	basic	len/pident 8/100.0
blastn	1	5765	5780	basic	len/pident 16/81.25
blastn	1	6036	6029	basic	len/pident 8/100.0
blastn	1	6381	6388	basic	len/pident 8/100.0
blastn	1	6693	6700	basic	len/pident 8/100.0
blastn	1	7457	7464	basic	len/pident 8/100.0
blastn	1	7977	7967	basic	len/pident 11/90.909
blastn	1	7986	7995	basic	len/pident 11/90.909
blastn	1	8169	8162	basic	len/pident 8/100.0
blastn	1	854	845	basic	len/pident 10/90.0
blastn	1	3557	3543	basic	len/pident 16/81.25
blastn	1	204	210	basic	len/pident 7/100.0
blastn	1	384	378	basic	len/pident 7/100.0
blastn	1	650	644	basic	len/pident 7/100.0
blastn	1	978	972	basic	len/pident 7/100.0
blastn	1	1287	1293	basic	len/pident 7/100.0
blastn	1	1363	1369	basic	len/pident 7/100.0
blastn	1	1363	1369	basic	len/pident 7/100.0
blastn	1	1363	1369	basic	len/pident 7/100.0
blastn	1	1490	1484	basic	len/pident 7/100.0
blastn	1	1721	1727	basic	len/pident 7/100.0
blastn	1	1784	1790	basic	len/pident 7/100.0
blastn	1	1912	1906	basic	len/pident 7/100.0
blastn	1	2111	2105	basic	len/pident 7/100.0
blastn	1	2473	2467	basic	len/pident 7/100.0
blastn	1	2735	2741	basic	len/pident 7/100.0
blastn	1	2807	2813	basic	len/pident 7/100.0
blastn	1	2976	2970	basic	len/pident 7/100.0
blastn	1	3055	3049	basic	len/pident 7/100.0
blastn	1	3290	3284	basic	len/pident 7/100.0
blastn	1	3630	3624	basic	len/pident 7/100.0
blastn	1	3747	3753	basic	len/pident 7/100.0
blastn	1	3999	3993	basic	len/pident 7/100.0
blastn	1	4342	4348	basic	len/pident 7/100.0
blastn	1	4842	4848	basic	len/pident 7/100.0
blastn	1	4936	4930	basic	len/pident 7/100.0
blastn	1	5002	4996	basic	len/pident 7/100.0
blastn	1	5030	5036	basic	len/pident 7/100.0
blastn	1	5065	5071	basic	len/pident 7/100.0
blastn	1	5120	5114	basic	len/pident 7/100.0
blastn	1	5150	5144	basic	len/pident 7/100.0
blastn	1	5164	5158	basic	len/pident 7/100.0
blastn	1	5311	5317	basic	len/pident 7/100.0
blastn	1	5407	5413	basic	len/pident 7/100.0
blastn	1	5580	5586	basic	len/pident 7/100.0
blastn	1	5617	5623	basic	len/pident 7/100.0
blastn	1	5665	5671	basic	len/pident 7/100.0
blastn	1	5931	5925	basic	len/pident 7/100.0
blastn	1	5982	5988	basic	len/pident 7/100.0
blastn	1	6198	6204	basic	len/pident 7/100.0
blastn	1	6218	6224	basic	len/pident 7/100.0
blastn	1	6253	6259	basic	len/pident 7/100.0
blastn	1	6442	6448	basic	len/pident 7/100.0
blastn	1	6997	7003	basic	len/pident 7/100.0
blastn	1	7101	7107	basic	len/pident 7/100.0
blastn	1	7139	7145	basic	len/pident 7/100.0
blastn	1	7176	7182	basic	len/pident 7/100.0
blastn	1	7363	7369	basic	len/pident 7/100.0
blastn	1	7427	7433	basic	len/pident 7/100.0
blastn	1	7544	7538	basic	len/pident 7/100.0
blastn	1	8306	8312	basic	len/pident 7/100.0
blastn	1	8385	8379	basic	len/pident 7/100.0
blastn	2	5399	5413	basic	len/pident 15/93.333
blastn	2	792	802	basic	len/pident 11/100.0
blastn	2	1121	1136	basic	len/pident 16/87.5
blastn	2	1935	1920	basic	len/pident 16/87.5
blastn	2	2480	2492	basic	len/pident 13/92.308
blastn	2	1638	1647	basic	len/pident 10/100.0
blastn	2	2184	2193	basic	len/pident 10/100.0
blastn	2	2205	2221	basic	len/pident 17/82.353
blastn	2	6510	6519	basic	len/pident 10/100.0
blastn	2	6960	6974	basic	len/pident 15/86.667
