intron_index	start	end	length_bp	raw_exon_to_intron_hits	contributing_exons
1	1	2000	2000	3	3
2	2121	2250	130	0	-
3	2474	4074	1601	2	3,11
4	4788	7938	3151	3	3,4
5	8086	11668	3583	3	3,4,15
6	11775	13840	2066	2	3
7	14014	14974	961	2	8,13
8	15091	16130	1040	1	3
9	16309	17789	1481	1	4
10	17989	21487	3499	5	1,4,21
11	21679	22505	827	1	3
12	22690	23575	886	0	-
13	23710	25827	2118	2	2,3
14	26085	27251	1167	1	10
15	27444	27726	283	1	11
16	27980	28084	105	0	-
17	28196	28283	88	0	-
18	28477	29130	654	1	2
19	29284	29636	353	0	-
20	29750	30294	545	0	-
21	30413	31284	872	1	11
22	31518	33517	2000	2	2,13
