exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	3941	2001	5941	100.0	3941	5859.0	0.0	blastn:w7;e1e2
1	1	65	1911	1977	94.118	68	87.5	2.36e-19	blastn:w7;e1e2
1	1	65	1917	1983	94.118	68	87.5	2.36e-19	blastn:w7;e1e2
1	1	65	1923	1989	94.118	68	87.5	2.36e-19	blastn:w7;e1e2
1	735	1118	12206	12598	65.45	411	77.9	3.2e-16	blastn:w7;e1e2
1	3	33	6565	6594	87.097	31	33.3	0.008	blastn:w7;e1e2
1	9	39	6565	6594	87.097	31	33.3	0.008	blastn:w7;e1e2
1	15	45	6565	6594	87.097	31	33.3	0.008	blastn:w7;e1e2
1	33	67	10083	10052	82.857	35	31.8	0.024	blastn:w7;e1e2
1	33	65	6565	6592	84.848	33	31.1	0.024	blastn:w7;e1e2
1	2742	2801	6330	6399	69.444	72	29.6	0.066	blastn:w7;e1e2
1	5	56	356	302	72.727	55	28.1	0.18	blastn:w7;e1e2
1	39	76	10083	10050	78.947	38	28.1	0.18	blastn:w7;e1e2
1	2509	2527	8341	8323	94.737	19	27.4	0.52	blastn:w7;e1e2
1	22	44	11619	11596	87.5	24	26.6	0.52	blastn:w7;e1e2
1	16	38	11619	11596	87.5	24	26.6	0.52	blastn:w7;e1e2
1	10	32	11619	11596	87.5	24	26.6	0.52	blastn:w7;e1e2
1	4	26	11619	11596	87.5	24	26.6	0.52	blastn:w7;e1e2
1	282	301	1240	1260	90.476	21	25.9	1.4	blastn:w7;e1e2
1	1629	1656	10256	10279	82.143	28	25.9	1.4	blastn:w7;e1e2
1	699	713	101	115	100.0	15	25.1	1.4	blastn:w7;e1e2
1	2495	2514	4514	4495	90.0	20	25.1	1.4	blastn:w7;e1e2
1	2496	2525	8313	8342	80.645	31	25.1	1.4	blastn:w7;e1e2
1	3756	3801	6903	6857	71.429	49	24.4	4.1	blastn:w7;e1e2
1	4	39	1183	1220	74.359	39	23.6	4.1	blastn:w7;e1e2
1	1872	1893	6619	6596	83.333	24	23.6	4.1	blastn:w7;e1e2
1	2511	2533	11243	11267	84.0	25	23.6	4.1	blastn:w7;e1e2
1	28	52	11619	11597	84.0	25	23.6	4.1	blastn:w7;e1e2
1	2053	2100	2074	2126	70.909	55	22.9	11.0	blastn:w7;e1e2
1	74	126	4053	4100	70.909	55	22.9	11.0	blastn:w7;e1e2
1	2132	2152	6346	6326	85.714	21	22.9	11.0	blastn:w7;e1e2
1	247	277	9873	9843	78.125	32	22.9	11.0	blastn:w7;e1e2
1	2936	2958	10954	10977	84.0	25	22.9	11.0	blastn:w7;e1e2
1	249	264	11144	11159	93.75	16	22.9	11.0	blastn:w7;e1e2
1	3	20	11614	11596	89.474	19	22.9	11.0	blastn:w7;e1e2
1	1799	1826	13299	13269	75.758	33	22.9	11.0	blastn:w7;e1e2
1	2358	2385	875	900	78.571	28	22.2	11.0	blastn:w7;e1e2
1	16	41	1183	1207	80.769	26	22.2	11.0	blastn:w7;e1e2
1	22	47	1183	1207	80.769	26	22.2	11.0	blastn:w7;e1e2
1	2506	2528	4528	4506	83.333	24	22.2	11.0	blastn:w7;e1e2
