exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	2002	2116	100.0	116	175.0	1.98e-47	blastn,tblastx	2058.5
1	10771	10774	69.388	49	19.4	0.22	blastn,tblastx	10772.5
2	1336	1356	83.333	18	17.7	6.6	blastn,tblastx	1346.0
2	2291	2434	100.0	145	218.0	2.77e-60	blastn,tblastx	2363.0
2	2466	2443	77.778	27	26.3	0.003	blastn,tblastx	2460.5
2	2720	2756	76.923	33	18.2	0.58	blastn,tblastx	2732.5
3	3375	3324	79.167	27	19.2	1.7	blastn,tblastx	3333.25
3	3776	3836	69.565	46	19.4	1.6	blastn,tblastx	3806.0
3	4748	4749	100.0	143	215.0	2.14e-59	blastn,tblastx	4748.0
3	7902	7876	88.889	23	20.7	0.25	blastn,tblastx	7888.5
3	10813	10864	69.565	46	18.0	0.82	blastn,tblastx	10835.5
4	5378	5380	100.0	174	261.0	3.65e-73	blastn,tblastx	5378.5
4	6990	7050	71.429	42	26.7	0.001	blastn,tblastx	7025.5
5	5816	5817	100.0	116	175.0	1.98e-47	blastn,tblastx	5816.5
6	6414	6415	100.0	161	242.0	2.17e-67	blastn,tblastx	6415.0
6	9910	9891	72.727	33	18.0	0.98	blastn,tblastx	9900.25
7	6923	7048	100.0	127	191.0	2.64e-52	blastn,tblastx	6986.0
8	4297	4294	68.627	51	19.9	1.1	blastn,tblastx	4297.0
8	7140	7217	100.0	78	118.0	1.16e-30	blastn,tblastx	7178.5
9	7763	7838	100.0	77	117.0	3.2e-30	blastn,tblastx	7801.0
10	8180	8236	100.0	58	89.0	6.6e-22	blastn,tblastx	8208.5
11	9031	9141	100.0	111	167.0	3.23e-45	blastn,tblastx	9086.0
12	9982	9983	100.0	485	723.0	0.0	blastn,tblastx	9983.0
