exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	2110	2133	76.923	39	26.6	0.11	blastn,tblastx	2109.25
1	2248	2250	100.0	496	739.0	0.0	blastn,tblastx	2248.5
1	2491	2564	72.0	50	24.4	2.6	blastn,tblastx	2533.5
1	11186	11219	84.211	28	19.9	4.6	blastn,tblastx	11202.0
1	14766	14728	94.444	20	25.1	0.29	blastn,tblastx	14746.75
1	18315	18308	74.468	47	24.4	0.072	blastn,tblastx	18314.0
2	2944	3033	100.0	91	138.0	4.3e-36	blastn,tblastx	2988.0
2	6264	6302	78.947	21	16.2	2.4	blastn,tblastx	6280.0
2	13616	13597	84.0	25	25.1	0.93	blastn,tblastx	13615.25
2	15317	15355	76.0	25	21.8	0.89	blastn,tblastx	15336.0
3	3165	3318	100.0	154	231.0	5.53e-64	blastn,tblastx	3241.5
3	8975	9000	88.0	25	27.4	0.03	blastn,tblastx	8987.25
3	11096	11074	75.0	28	17.7	2.2	blastn,tblastx	11085.0
3	15442	15404	80.952	21	19.4	0.66	blastn,tblastx	15419.0
4	774	742	85.0	28	20.7	0.21	blastn,tblastx	758.25
4	1674	1610	85.714	37	22.2	5.0	blastn,tblastx	1642.25
4	4925	4926	100.0	1433	2132.0	0.0	blastn,tblastx	4926.0
4	6826	6867	84.211	22	21.7	0.94	blastn,tblastx	6837.5
4	8101	8118	80.952	21	19.2	2.0	blastn,tblastx	8118.5
4	8641	8609	71.795	39	24.9	0.072	blastn,tblastx	8626.5
4	10635	10660	80.952	24	22.1	1.6	blastn,tblastx	10647.75
4	16782	16765	78.571	28	20.8	4.1	blastn,tblastx	16773.5
4	21216	21173	84.211	23	19.2	5.0	blastn,tblastx	21194.5
5	6437	6438	100.0	65	99.4	1.12e-24	blastn,tblastx	6437.0
6	7107	7248	100.0	143	215.0	4.2e-59	blastn,tblastx	7177.0
6	11671	11691	68.293	41	17.0	6.6	blastn,tblastx	11681.0
7	4428	4428	67.143	70	22.2	0.54	blastn,tblastx	4433.0
7	7506	7638	100.0	133	200.0	1.14e-54	blastn,tblastx	7572.0
7	7700	7720	74.286	35	23.5	0.03	blastn,tblastx	7717.0
7	15133	15084	73.81	42	22.2	1.9	blastn,tblastx	15115.5
7	18142	18192	72.0	50	20.7	1.5	blastn,tblastx	18167.25
7	22394	22342	83.333	29	18.4	2.5	blastn,tblastx	22367.5
9	8879	8879	100.0	105	158.0	2.82e-42	blastn,tblastx	8879.0
10	9564	9772	100.0	210	314.0	7.05e-89	blastn,tblastx	9667.5
11	5521	5479	76.923	26	18.4	6.8	blastn,tblastx	5500.0
11	12390	12391	100.0	86	130.0	6.83e-34	blastn,tblastx	12390.5
12	16501	17172	100.0	672	1001.0	0.0	blastn,tblastx	16836.5
12	22564	22513	76.923	26	21.7	0.75	blastn,tblastx	22538.5
13	19254	19362	100.0	109	164.0	4.83e-44	blastn,tblastx	19308.0
14	22150	22072	71.739	92	43.0	1.47e-06	blastn,tblastx	22100.5
