exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	2	241	2002	2241	100.0	80	199.0	3.07e-55	1	tblastx:e1e1
1	1	240	2001	2240	100.0	80	196.0	3.89e-54	3	tblastx:e1e1
1	241	2	2241	2002	100.0	80	195.0	5.35e-54	-1	tblastx:e1e1
1	242	3	2242	2003	100.0	80	188.0	8.61e-52	-3	tblastx:e1e1
1	3	242	2003	2242	100.0	80	188.0	1.18e-51	2	tblastx:e1e1
1	240	1	2240	2001	100.0	80	187.0	1.62e-51	-2	tblastx:e1e1
1	161	117	2118	2162	53.333	15	21.2	0.19	3	tblastx:e1e1
1	118	162	2161	2117	53.333	15	21.2	0.19	-3	tblastx:e1e1
1	161	196	3250	3215	66.667	12	19.9	0.5	-3	tblastx:e1e1
1	29	82	2652	2599	38.889	18	18.9	0.93	-1	tblastx:e1e1
1	199	167	459	427	45.455	11	18.5	1.3	-1	tblastx:e1e1
1	58	41	2406	2423	66.667	6	18.0	1.8	3	tblastx:e1e1
1	2	22	7937	7917	57.143	7	18.0	1.8	-2	tblastx:e1e1
1	2	40	9673	9711	38.462	13	16.2	2.3	1	tblastx:e1e1
1	140	223	9703	9786	28.571	28	15.7	2.3	1	tblastx:e1e1
1	158	211	3561	3614	38.889	18	17.6	2.4	3	tblastx:e1e1
1	184	201	6714	6731	83.333	6	17.6	2.4	3	tblastx:e1e1
1	115	56	7592	7651	35.0	20	17.6	2.4	2	tblastx:e1e1
1	241	209	4475	4507	72.727	11	16.6	4.6	2	tblastx:e1e1
1	160	180	37	57	71.429	7	16.2	6.3	1	tblastx:e1e1
1	54	92	4064	4102	46.154	13	16.2	6.3	2	tblastx:e1e1
1	52	20	4916	4948	27.273	11	16.2	6.3	2	tblastx:e1e1
1	14	37	10701	10678	50.0	8	15.7	8.6	-1	tblastx:e1e1
1	112	71	7115	7156	35.714	14	15.7	8.6	2	tblastx:e1e1
1	108	122	3808	3794	80.0	5	15.7	8.6	-3	tblastx:e1e1
1	73	5	10813	10881	39.13	23	15.7	8.6	1	tblastx:e1e1
2	583	2	10203	9622	100.0	194	486.0	4.02e-141	-1	tblastx:e1e1
2	2	583	9622	10203	100.0	194	484.0	1.97e-140	1	tblastx:e1e1
2	3	584	9623	10204	100.0	194	483.0	3.71e-140	2	tblastx:e1e1
2	1	582	9621	10202	100.0	194	477.0	2.3e-138	3	tblastx:e1e1
2	582	1	10202	9621	100.0	194	473.0	3.71e-137	-2	tblastx:e1e1
2	584	3	10204	9623	100.0	194	468.0	9.62e-136	-3	tblastx:e1e1
2	373	275	9983	9885	42.424	33	34.1	7.32e-05	-2	tblastx:e1e1
2	266	231	9831	9796	41.667	12	17.1	7.32e-05	-1	tblastx:e1e1
2	363	265	9993	9895	42.424	33	33.9	7.88e-05	-1	tblastx:e1e1
2	211	176	9886	9851	41.667	12	17.1	7.88e-05	-3	tblastx:e1e1
2	359	448	10041	9952	43.333	30	31.3	0.000316	-1	tblastx:e1e1
2	421	332	9979	10068	43.333	30	31.3	0.000316	1	tblastx:e1e1
2	316	360	10104	10060	40.0	15	17.6	0.000316	-1	tblastx:e1e1
2	484	440	9936	9980	40.0	15	17.6	0.000316	3	tblastx:e1e1
2	273	374	9883	9984	44.118	34	29.5	0.000754	1	tblastx:e1e1
2	263	364	9893	9994	44.118	34	29.5	0.000754	2	tblastx:e1e1
2	232	276	9839	9883	53.333	15	18.0	0.000754	2	tblastx:e1e1
2	219	263	9852	9896	53.333	15	18.0	0.000754	3	tblastx:e1e1
2	244	318	9958	9884	44.0	25	26.7	0.012	-3	tblastx:e1e1
2	338	264	9864	9938	44.0	25	26.7	0.012	3	tblastx:e1e1
2	268	324	9944	9888	52.632	19	23.5	0.029	-2	tblastx:e1e1
2	249	284	10001	9966	50.0	12	18.0	0.029	-2	tblastx:e1e1
2	324	268	9888	9944	52.632	19	23.4	0.032	3	tblastx:e1e1
2	381	346	9869	9904	50.0	12	18.0	0.032	2	tblastx:e1e1
2	116	169	5464	5411	44.444	18	21.2	0.05	-3	tblastx:e1e1
2	267	326	5406	5347	40.0	20	19.4	0.05	-1	tblastx:e1e1
2	466	395	5514	5585	45.833	24	24.4	0.06	3	tblastx:e1e1
2	260	325	9952	9887	50.0	22	23.5	0.11	-3	tblastx:e1e1
2	332	267	9880	9945	50.0	22	23.5	0.11	1	tblastx:e1e1
2	422	363	9978	10037	45.0	20	22.1	0.19	3	tblastx:e1e1
2	387	319	10138	10206	30.435	23	16.1	0.19	1	tblastx:e1e1
2	358	417	10042	9983	45.0	20	22.1	0.29	-3	tblastx:e1e1
2	270	323	9942	9889	55.556	18	21.7	0.4	-1	tblastx:e1e1
2	499	479	5616	5636	85.714	7	21.7	0.4	3	tblastx:e1e1
2	322	269	9890	9943	55.556	18	21.7	0.4	2	tblastx:e1e1
2	365	427	10031	9969	33.333	21	21.2	0.56	-2	tblastx:e1e1
2	411	349	9985	10047	33.333	21	21.2	0.58	1	tblastx:e1e1
