exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	681	1	2681	2001	100.0	227	577.0	1.79e-168	-3	tblastx:e1e1
1	682	2	2682	2002	100.0	227	560.0	3.12e-163	-2	tblastx:e1e1
1	3	683	2003	2683	100.0	227	550.0	1.79e-160	2	tblastx:e1e1
1	2	682	2002	2682	100.0	227	548.0	1.2e-159	1	tblastx:e1e1
1	683	3	2683	2003	100.0	227	546.0	3.12e-159	-1	tblastx:e1e1
1	1	681	2001	2681	100.0	227	542.0	7.48e-158	3	tblastx:e1e1
1	112	228	3204	3088	28.205	39	24.0	0.075	-2	tblastx:e1e1
1	587	492	4422	4517	31.25	32	21.7	0.079	3	tblastx:e1e1
1	388	365	4546	4569	62.5	8	18.0	0.079	1	tblastx:e1e1
1	185	135	966	1016	52.941	17	23.5	0.1	3	tblastx:e1e1
1	489	451	7243	7205	53.846	13	20.3	0.1	-1	tblastx:e1e1
1	363	340	2362	2339	87.5	8	20.3	0.1	-1	tblastx:e1e1
1	558	517	8141	8100	50.0	14	19.4	0.1	-3	tblastx:e1e1
1	195	118	859	782	38.462	26	18.9	0.1	-1	tblastx:e1e1
1	661	644	8331	8314	66.667	6	18.5	0.1	-2	tblastx:e1e1
1	452	414	4925	4887	53.846	13	18.5	0.1	-3	tblastx:e1e1
1	393	373	2496	2476	57.143	7	18.0	0.1	-2	tblastx:e1e1
1	602	510	9155	9063	35.484	31	24.9	0.14	-3	tblastx:e1e1
1	165	124	7290	7249	57.143	14	20.8	0.14	-2	tblastx:e1e1
1	434	402	8767	8735	45.455	11	19.4	0.14	-1	tblastx:e1e1
1	117	100	4365	4348	66.667	6	17.1	0.14	-2	tblastx:e1e1
1	362	339	2363	2340	87.5	8	20.3	0.17	-3	tblastx:e1e1
1	496	476	2393	2373	57.143	7	18.0	0.17	-3	tblastx:e1e1
1	515	450	3809	3744	36.364	22	22.1	0.27	-3	tblastx:e1e1
1	303	271	35	67	54.545	11	19.4	0.37	2	tblastx:e1e1
1	181	164	99	116	66.667	6	17.6	0.37	3	tblastx:e1e1
1	407	448	2902	2943	42.857	14	21.7	0.37	1	tblastx:e1e1
1	145	201	4909	4853	42.105	19	21.7	0.37	-1	tblastx:e1e1
1	134	172	771	733	46.154	13	18.0	0.6	-2	tblastx:e1e1
1	186	230	695	651	46.667	15	18.0	0.6	-3	tblastx:e1e1
1	524	592	1583	1515	39.13	23	20.8	0.7	-3	tblastx:e1e1
1	186	130	7110	7166	36.842	19	20.3	0.96	3	tblastx:e1e1
1	139	174	1012	977	58.333	12	20.3	0.96	-1	tblastx:e1e1
1	339	362	2340	2363	87.5	8	19.9	1.3	3	tblastx:e1e1
1	340	363	2339	2362	87.5	8	19.9	1.3	2	tblastx:e1e1
1	172	134	704	742	53.846	13	19.4	1.8	2	tblastx:e1e1
1	580	509	6773	6844	29.167	24	19.4	1.8	2	tblastx:e1e1
1	663	637	7942	7968	77.778	9	19.4	1.8	1	tblastx:e1e1
1	620	501	818	699	27.5	40	19.4	1.8	-3	tblastx:e1e1
1	219	184	302	337	58.333	12	18.9	2.5	2	tblastx:e1e1
1	638	664	7967	7941	77.778	9	18.9	2.5	-3	tblastx:e1e1
1	550	515	6739	6774	58.333	12	18.9	2.5	1	tblastx:e1e1
1	363	440	9082	9159	38.462	26	18.9	2.5	1	tblastx:e1e1
1	213	251	8196	8158	46.154	13	18.5	3.4	-2	tblastx:e1e1
1	191	162	6202	6173	60.0	10	18.5	3.4	-1	tblastx:e1e1
1	176	241	4020	4085	31.818	22	18.5	3.4	3	tblastx:e1e1
1	69	176	7012	7119	36.111	36	18.5	3.4	1	tblastx:e1e1
1	541	488	1776	1723	38.889	18	18.5	3.4	-2	tblastx:e1e1
1	524	568	7773	7729	53.333	15	18.0	4.7	-2	tblastx:e1e1
1	131	184	1918	1971	38.889	18	18.0	4.7	1	tblastx:e1e1
1	171	136	1964	1999	50.0	12	18.0	4.7	2	tblastx:e1e1
1	534	557	7235	7212	50.0	8	18.0	4.7	-3	tblastx:e1e1
1	569	619	5737	5687	23.529	17	18.0	4.7	-1	tblastx:e1e1
1	625	581	5015	4971	33.333	15	18.0	4.7	-3	tblastx:e1e1
1	120	143	6344	6367	62.5	8	18.0	4.7	2	tblastx:e1e1
1	548	525	7423	7446	62.5	8	18.0	4.7	1	tblastx:e1e1
1	548	498	638	588	41.176	17	18.0	4.7	-3	tblastx:e1e1
1	600	583	80	63	83.333	6	18.0	4.7	-3	tblastx:e1e1
1	131	148	8710	8693	83.333	6	17.6	6.4	-1	tblastx:e1e1
1	517	491	2492	2518	55.556	9	17.6	6.4	2	tblastx:e1e1
1	492	518	2517	2491	55.556	9	17.6	6.4	-2	tblastx:e1e1
1	533	444	7771	7860	30.0	30	17.6	6.4	1	tblastx:e1e1
1	548	462	863	777	31.034	29	17.6	6.4	-3	tblastx:e1e1
1	548	504	756	712	33.333	15	17.6	6.4	-2	tblastx:e1e1
1	614	676	656	594	28.571	21	17.6	6.4	-3	tblastx:e1e1
1	350	376	452	426	55.556	9	17.6	6.4	-3	tblastx:e1e1
1	577	533	8633	8589	46.667	15	17.1	8.8	-3	tblastx:e1e1
1	347	373	2346	2372	77.778	9	17.1	8.8	3	tblastx:e1e1
1	346	372	2347	2373	77.778	9	17.1	8.8	1	tblastx:e1e1
1	4	36	3174	3142	45.455	11	17.1	8.8	-2	tblastx:e1e1
1	588	662	6868	6942	36.0	25	17.1	8.8	1	tblastx:e1e1
1	599	519	1548	1468	37.037	27	17.1	8.8	-2	tblastx:e1e1
1	272	304	66	34	63.636	11	17.1	8.8	-2	tblastx:e1e1
2	163	2	3364	3203	100.0	54	144.0	6.73e-39	-1	tblastx:e1e1
2	2	163	3203	3364	100.0	54	138.0	4.18e-37	2	tblastx:e1e1
2	164	3	3365	3204	100.0	54	136.0	1.49e-36	-3	tblastx:e1e1
2	3	164	3204	3365	100.0	54	133.0	1e-35	3	tblastx:e1e1
2	162	1	3363	3202	100.0	54	133.0	1e-35	-2	tblastx:e1e1
2	1	162	3202	3363	100.0	54	132.0	3.19e-35	1	tblastx:e1e1
2	94	53	1080	1121	64.286	14	20.8	0.12	3	tblastx:e1e1
2	43	17	4824	4850	77.778	9	19.4	0.3	3	tblastx:e1e1
2	74	85	4079	4068	100.0	4	19.4	0.3	-3	tblastx:e1e1
2	83	9	1246	1320	32.0	25	18.9	0.42	1	tblastx:e1e1
2	61	17	1551	1595	60.0	15	18.5	0.58	3	tblastx:e1e1
2	85	47	3249	3287	53.846	13	18.5	0.58	3	tblastx:e1e1
2	48	86	3286	3248	53.846	13	18.5	0.58	-1	tblastx:e1e1
2	44	12	6255	6287	54.545	11	18.5	0.58	3	tblastx:e1e1
2	27	92	779	844	40.909	22	18.0	0.79	2	tblastx:e1e1
2	108	164	4120	4064	47.368	19	18.0	0.79	-1	tblastx:e1e1
2	164	123	6325	6366	50.0	14	18.0	0.79	1	tblastx:e1e1
2	94	123	5543	5572	60.0	10	17.9	0.86	2	tblastx:e1e1
2	94	47	7945	7898	50.0	16	19.4	0.91	-1	tblastx:e1e1
2	56	27	988	959	60.0	10	16.6	0.91	-1	tblastx:e1e1
2	152	123	7947	7918	70.0	10	16.6	1.1	-2	tblastx:e1e1
2	85	38	7933	7886	50.0	16	15.7	1.1	-1	tblastx:e1e1
2	142	44	8523	8425	24.242	33	17.6	1.1	-2	tblastx:e1e1
2	39	68	7851	7880	70.0	10	17.6	1.1	3	tblastx:e1e1
2	48	95	7899	7946	43.75	16	17.6	1.1	3	tblastx:e1e1
2	130	113	4098	4115	83.333	6	17.1	1.5	3	tblastx:e1e1
2	68	24	7309	7353	40.0	15	17.1	1.5	1	tblastx:e1e1
2	103	83	4208	4188	71.429	7	18.0	1.8	-3	tblastx:e1e1
2	44	27	845	828	83.333	6	16.6	1.8	-3	tblastx:e1e1
2	93	52	5205	5246	35.714	14	16.6	2.0	3	tblastx:e1e1
2	106	77	1698	1669	60.0	10	16.6	2.0	-2	tblastx:e1e1
2	44	79	7672	7707	41.667	12	16.6	2.0	1	tblastx:e1e1
2	32	6	1680	1654	55.556	9	15.7	2.1	-2	tblastx:e1e1
2	97	80	1773	1756	66.667	6	15.3	2.1	-2	tblastx:e1e1
2	161	138	4874	4897	62.5	8	16.2	2.8	2	tblastx:e1e1
2	26	3	2842	2819	75.0	8	16.2	2.8	-1	tblastx:e1e1
2	131	9	6973	7095	24.39	41	16.2	2.8	1	tblastx:e1e1
2	102	137	7352	7387	41.667	12	16.2	2.8	2	tblastx:e1e1
2	96	131	9002	8967	41.667	12	15.7	3.9	-3	tblastx:e1e1
2	28	60	1756	1788	54.545	11	15.6	4.2	1	tblastx:e1e1
2	52	75	8621	8644	62.5	8	15.6	4.2	2	tblastx:e1e1
2	39	53	6832	6846	80.0	5	15.3	5.3	1	tblastx:e1e1
2	40	57	4489	4506	83.333	6	15.2	5.8	1	tblastx:e1e1
2	38	58	6695	6675	57.143	7	14.8	7.3	-3	tblastx:e1e1
2	75	98	4694	4671	62.5	8	14.8	7.3	-3	tblastx:e1e1
2	96	131	5549	5584	41.667	12	14.8	7.3	2	tblastx:e1e1
2	77	3	7981	8055	28.0	25	14.8	7.3	1	tblastx:e1e1
2	28	60	3998	3966	54.545	11	14.7	7.9	-3	tblastx:e1e1
3	133	2	3652	3521	100.0	44	116.0	9.34e-31	-1	tblastx:e1e1
3	1	132	3520	3651	100.0	44	110.0	1.1e-28	1	tblastx:e1e1
3	2	133	3521	3652	100.0	44	103.0	1.28e-26	2	tblastx:e1e1
3	3	134	3522	3653	100.0	44	102.0	2.42e-26	3	tblastx:e1e1
3	134	3	3653	3522	100.0	44	101.0	3.33e-26	-3	tblastx:e1e1
3	132	1	3651	3520	100.0	44	96.8	1.1e-24	-2	tblastx:e1e1
3	104	124	6594	6574	85.714	7	19.4	0.22	-2	tblastx:e1e1
3	43	72	4297	4326	60.0	10	19.4	0.22	1	tblastx:e1e1
