exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	430	2001	2430	100.0	430	exon	CDS
1	209	274	2105	2034	72.973	74	exon	intron
1	34	105	2274	2209	72.973	74	exon	intron
1	201	258	2258	2201	75.41	61	exon	intron
1	238	269	125107	125137	78.788	33	exon	exon
1	379	430	1887	1931	70.37	54	exon	intron
1	159	179	2179	2159	85.714	21	exon	intron
1	121	146	1299	1275	81.481	27	exon	intron
1	108	133	75697	75724	78.571	28	exon	intron
1	10	38	2002	1974	77.419	31	exon	intron
1	38	72	44402	44435	72.973	37	exon	intron
1	355	374	51195	51176	85.0	20	exon	intron
1	106	125	106060	106042	85.0	20	exon	intron
2	1	145	56749	56893	100.0	145	exon	CDS
2	106	127	115613	115637	84.0	25	exon	intron
2	52	70	23797	23780	89.474	19	exon	intron
2	23	57	51495	51521	74.286	35	exon	intron
2	76	101	37564	37542	81.481	27	exon	intron
2	116	133	89150	89165	88.889	18	exon	intron
2	32	51	115743	115763	85.714	21	exon	intron
2	77	101	50576	50552	80.0	25	exon	intron
2	1	40	69297	69339	72.727	44	exon	CDS
2	67	96	54851	54877	76.667	30	exon	intron
2	113	142	58342	58370	76.667	30	exon	intron
2	12	32	64884	64907	79.167	24	exon	intron
2	39	60	76741	76762	81.818	22	exon	intron
2	80	117	30264	30225	72.5	40	exon	intron
2	98	123	35425	35395	74.194	31	exon	intron
2	35	53	53512	53530	84.211	19	exon	intron
2	42	60	71144	71162	84.211	19	exon	intron
2	70	92	113725	113747	80.0	25	exon	intron
2	46	64	124063	124047	84.211	19	exon	intron
2	9	26	35500	35482	85.0	20	exon	intron
2	9	29	64050	64030	80.952	21	exon	intron
2	42	62	77685	77705	80.952	21	exon	intron
2	107	138	93293	93317	71.875	32	exon	intron
2	87	104	39331	39314	83.333	18	exon	intron
2	1	20	79326	79307	80.0	20	exon	intron
3	1	127	64298	64424	100.0	127	exon	CDS
3	3	24	76783	76762	90.909	22	exon	intron
3	39	62	12473	12448	84.615	26	exon	intron
3	4	25	94925	94948	84.0	25	exon	intron
3	32	53	15857	15876	86.364	22	exon	intron
3	23	51	112887	112863	82.759	29	exon	intron
3	89	127	69274	69312	75.0	40	exon	CDS
3	14	34	23499	23473	77.778	27	exon	intron
3	42	71	54921	54897	76.667	30	exon	intron
3	44	61	62723	62740	88.889	18	exon	intron
3	88	118	74084	74109	77.419	31	exon	intron
3	58	120	15268	15217	67.164	67	exon	intron
3	74	114	26946	26908	73.171	41	exon	intron
3	61	85	3721	3700	80.0	25	exon	intron
3	67	91	55844	55818	77.778	27	exon	intron
3	1	22	69792	69771	81.818	22	exon	intron
3	50	78	95139	95171	75.758	33	exon	intron
3	4	30	104271	104297	77.778	27	exon	intron
3	14	35	9951	9971	81.818	22	exon	intron
3	58	90	10039	10068	75.758	33	exon	intron
3	56	84	82800	82831	75.0	32	exon	intron
3	85	116	95460	95430	75.758	33	exon	intron
3	103	121	107732	107750	84.211	19	exon	intron
3	21	37	11709	11728	80.0	20	exon	intron
3	103	120	16097	16118	77.273	22	exon	intron
3	4	21	56727	56744	83.333	18	exon	intron
3	49	69	83461	83444	80.952	21	exon	intron
3	9	26	100322	100339	83.333	18	exon	intron
3	14	36	9716	9695	78.261	23	exon	intron
3	13	32	10973	10954	80.0	20	exon	intron
3	52	69	16846	16830	83.333	18	exon	intron
3	31	53	78897	78876	78.261	23	exon	intron
4	1	106	69244	69349	100.0	106	exon	CDS
4	75	92	97806	97789	94.444	18	exon	intron
4	49	86	103234	103192	74.419	43	exon	intron
4	60	106	4271	4321	71.698	53	exon	intron
4	31	74	64386	64430	73.913	46	exon	CDS
4	13	35	19044	19021	83.333	24	exon	intron
4	9	40	59774	59739	75.0	36	exon	intron
4	48	77	61732	61701	78.125	32	exon	intron
4	65	82	40775	40792	88.889	18	exon	intron
4	40	70	67740	67769	78.125	32	exon	intron
4	17	39	123986	124008	83.333	24	exon	exon
4	79	105	49409	49434	78.571	28	exon	intron
4	54	96	56749	56788	72.727	44	exon	CDS
4	48	64	118896	118913	88.889	18	exon	intron
4	19	42	4361	4337	80.0	25	exon	intron
4	13	36	44485	44457	75.862	29	exon	intron
4	76	94	52319	52300	85.0	20	exon	intron
4	62	77	66294	66276	84.211	19	exon	intron
4	57	97	87587	87550	73.171	41	exon	intron
4	63	81	34310	34326	84.211	19	exon	intron
4	52	72	52586	52607	81.818	22	exon	intron
4	33	59	70200	70174	75.862	29	exon	intron
4	25	43	114869	114887	84.211	19	exon	intron
4	20	39	119305	119288	85.0	20	exon	intron
4	71	88	6252	6270	84.211	19	exon	intron
4	56	73	42244	42226	84.211	19	exon	intron
4	71	85	104578	104561	83.333	18	exon	intron
4	13	33	119937	119917	80.952	21	exon	intron
4	70	94	491	470	76.0	25	exon	intron
4	44	59	16262	16279	83.333	18	exon	intron
4	55	81	31655	31633	74.074	27	exon	intron
4	12	29	39595	39578	83.333	18	exon	intron
4	51	100	93693	93741	69.231	52	exon	intron
4	5	25	21803	21785	80.952	21	exon	intron
4	46	71	38977	38952	72.414	29	exon	intron
5	1	137	69858	69994	100.0	137	exon	CDS
5	62	80	12930	12948	89.474	19	exon	intron
5	94	115	49397	49417	86.364	22	exon	intron
5	52	109	64998	64942	70.0	60	exon	intron
5	99	119	71391	71409	85.714	21	exon	intron
5	61	80	15028	15048	85.714	21	exon	intron
5	13	30	35813	35796	88.889	18	exon	intron
5	53	74	68380	68402	82.609	23	exon	intron
5	97	128	22539	22508	76.471	34	exon	intron
5	52	82	86982	86951	74.286	35	exon	intron
5	18	42	88707	88686	80.0	25	exon	intron
5	83	118	97180	97213	73.684	38	exon	intron
5	14	69	26692	26752	68.75	64	exon	intron
5	18	43	55928	55904	77.778	27	exon	intron
5	31	48	57254	57235	85.0	20	exon	intron
5	55	78	68422	68445	79.167	24	exon	intron
5	97	121	97463	97441	80.0	25	exon	intron
5	60	77	71201	71215	83.333	18	exon	intron
5	35	52	90817	90799	84.211	19	exon	intron
5	74	97	96307	96282	76.923	26	exon	intron
5	62	79	120156	120138	84.211	19	exon	intron
5	37	59	77074	77096	78.261	23	exon	intron
6	1	128	72316	72443	100.0	128	exon	CDS
6	15	38	117348	117371	87.5	24	exon	intron
6	38	87	25599	25547	71.429	56	exon	intron
6	65	123	43917	43976	70.968	62	exon	intron
6	32	56	76052	76074	84.0	25	exon	intron
6	59	94	94251	94215	76.316	38	exon	intron
6	27	67	42990	42947	71.739	46	exon	intron
6	35	62	97563	97540	78.571	28	exon	intron
6	104	127	43580	43561	79.167	24	exon	intron
6	11	70	62264	62207	67.692	65	exon	intron
6	37	83	45763	45808	70.0	50	exon	intron
6	41	57	72372	72356	88.889	18	exon	intron
6	25	44	89352	89373	81.818	22	exon	intron
6	60	78	21391	21373	84.211	19	exon	intron
6	15	33	34322	34340	85.0	20	exon	intron
6	28	45	88000	88019	85.0	20	exon	intron
