exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	3	314	2003	2314	100.0	104	264.0	1.14e-73	2	tblastx:e1e1
1	2	313	2002	2313	100.0	104	259.0	1.98e-72	1	tblastx:e1e1
1	313	2	2313	2002	100.0	104	259.0	2.72e-72	-1	tblastx:e1e1
1	314	3	2314	2003	100.0	104	258.0	7.06e-72	-3	tblastx:e1e1
1	312	1	2312	2001	100.0	104	251.0	6.02e-70	-2	tblastx:e1e1
1	1	312	2001	2312	100.0	104	246.0	1.98e-68	3	tblastx:e1e1
1	222	94	36429	36557	34.884	43	29.9	0.00018	3	tblastx:e1e1
1	291	232	36335	36394	45.0	20	18.9	0.00018	2	tblastx:e1e1
1	61	26	36604	36639	58.333	12	17.6	0.00018	1	tblastx:e1e1
1	276	76	2077	2277	31.343	67	31.8	0.001	1	tblastx:e1e1
1	77	277	2276	2076	31.343	67	31.8	0.001	-2	tblastx:e1e1
1	77	181	2458	2354	37.143	35	29.0	0.001	-3	tblastx:e1e1
1	237	260	2259	2236	75.0	8	19.4	0.001	-1	tblastx:e1e1
1	158	81	2947	2870	46.154	26	29.0	0.007	-3	tblastx:e1e1
1	231	187	1966	2010	46.667	15	20.3	0.016	1	tblastx:e1e1
1	132	1	2243	2374	25.0	44	19.9	0.016	2	tblastx:e1e1
1	190	134	2129	2185	42.105	19	18.5	0.016	2	tblastx:e1e1
1	6	146	36536	36396	29.787	47	22.6	0.022	-2	tblastx:e1e1
1	123	182	36336	36277	45.0	20	20.8	0.022	-1	tblastx:e1e1
1	149	66	1871	1954	46.429	28	27.2	0.023	2	tblastx:e1e1
1	116	244	2546	2418	30.233	43	26.7	0.032	-2	tblastx:e1e1
1	151	17	1984	1850	35.556	45	24.9	0.039	-3	tblastx:e1e1
1	257	195	2158	2096	33.333	21	17.6	0.039	-3	tblastx:e1e1
1	186	100	37063	36977	41.379	29	26.3	0.044	-3	tblastx:e1e1
1	181	119	36278	36340	47.619	21	22.1	0.05	2	tblastx:e1e1
1	103	44	36320	36379	40.0	20	19.9	0.05	2	tblastx:e1e1
1	99	185	1932	2018	37.931	29	25.8	0.06	3	tblastx:e1e1
1	154	104	1883	1933	47.059	17	23.5	0.066	2	tblastx:e1e1
1	108	91	1939	1956	100.0	6	18.0	0.066	1	tblastx:e1e1
1	46	186	2835	2975	38.298	47	25.4	0.083	3	tblastx:e1e1
1	95	223	36556	36428	32.558	43	25.4	0.083	-3	tblastx:e1e1
1	146	262	2040	1924	33.333	39	25.4	0.083	-1	tblastx:e1e1
1	305	264	2336	2377	71.429	14	22.1	0.086	2	tblastx:e1e1
