exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	1452	2001	3452	100.0	1452	exon	CDS
1	307	385	2385	2307	70.0	80	exon	intron
1	952	1099	3100	2951	66.242	157	exon	intron
1	1250	1273	43665	43643	87.5	24	exon	intron
1	190	217	7565	7592	80.0	30	exon	intron
1	532	558	23489	23514	81.481	27	exon	intron
1	203	231	26410	26386	79.31	29	exon	intron
1	502	525	42730	42711	83.333	24	exon	intron
1	334	359	8652	8677	81.481	27	exon	intron
1	414	432	11148	11168	85.714	21	exon	intron
1	918	952	12571	12603	75.0	36	exon	intron
1	912	935	21175	21195	83.333	24	exon	intron
1	891	906	8237	8254	88.889	18	exon	intron
1	340	357	19325	19308	88.889	18	exon	intron
1	676	695	3738	3721	85.0	20	exon	intron
1	349	368	8742	8723	85.0	20	exon	intron
1	183	217	18872	18906	75.676	37	exon	intron
1	1147	1166	35917	35898	85.0	20	exon	intron
1	1409	1425	37555	37538	88.889	18	exon	intron
1	1142	1163	27111	27090	81.818	22	exon	intron
1	1052	1073	31900	31921	81.818	22	exon	intron
1	615	636	37510	37489	81.818	22	exon	intron
1	1288	1309	39427	39448	81.818	22	exon	intron
2	1	125	4906	5030	100.0	125	exon	CDS
2	74	105	44064	44093	76.471	34	exon	intron
2	44	74	42542	42514	77.419	31	exon	intron
2	14	33	17263	17245	85.0	20	exon	intron
2	31	55	16306	16328	80.0	25	exon	CDS
2	19	59	16595	16560	71.429	42	exon	intron
2	37	84	27685	27741	68.421	57	exon	intron
2	87	119	28845	28803	69.767	43	exon	intron
2	9	26	46790	46807	83.333	18	exon	intron
2	30	52	1852	1828	76.0	25	exon	intron
2	74	91	4403	4419	83.333	18	exon	intron
2	95	114	34583	34564	80.0	20	exon	intron
2	38	55	48078	48062	83.333	18	exon	intron
3	1	124	5812	5935	100.0	124	exon	CDS
3	30	89	17636	17701	70.0	70	exon	intron
3	59	106	26647	26693	73.077	52	exon	intron
3	17	39	13507	13483	84.0	25	exon	intron
3	79	100	30809	30829	86.364	22	exon	intron
3	67	99	22436	22403	77.143	35	exon	intron
3	9	26	2828	2812	88.889	18	exon	intron
3	10	51	22537	22574	72.093	43	exon	intron
3	36	65	35617	35643	76.667	30	exon	intron
3	80	100	6579	6600	81.818	22	exon	intron
3	22	62	2304	2257	70.588	51	exon	intron
3	89	118	7203	7228	74.194	31	exon	intron
3	39	92	13965	13901	64.286	70	exon	intron
3	40	62	16721	16698	79.167	24	exon	intron
3	67	90	32106	32129	76.923	26	exon	intron
3	29	68	38037	37998	71.429	42	exon	intron
3	35	74	42331	42293	70.455	44	exon	intron
3	10	26	41179	41161	84.211	19	exon	intron
3	66	85	50429	50449	78.261	23	exon	intron
3	93	110	52280	52264	83.333	18	exon	intron
3	77	93	13451	13432	80.0	20	exon	intron
3	53	74	38992	38971	77.273	22	exon	intron
4	1	134	6889	7022	100.0	134	exon	CDS
4	38	79	14123	14165	71.739	46	exon	CDS
4	108	131	23719	23743	80.769	26	exon	intron
4	83	102	36901	36881	85.714	21	exon	intron
4	47	63	46068	46086	89.474	19	exon	intron
4	70	89	17161	17178	85.0	20	exon	intron
4	71	106	43168	43131	73.171	41	exon	intron
4	45	68	23581	23605	80.0	25	exon	intron
4	84	134	32503	32454	68.519	54	exon	intron
4	12	29	18053	18034	85.0	20	exon	intron
4	113	133	21391	21410	81.818	22	exon	intron
4	40	66	43185	43164	77.778	27	exon	intron
4	113	133	7621	7639	80.952	21	exon	intron
4	31	51	11857	11877	81.818	22	exon	intron
4	49	67	12409	12424	84.211	19	exon	CDS
4	108	133	14678	14701	77.778	27	exon	intron
4	86	106	51099	51117	80.952	21	exon	intron
4	112	134	44849	44827	78.261	23	exon	intron
4	87	109	46952	46930	78.261	23	exon	intron
4	38	57	5226	5207	80.0	20	exon	intron
4	34	52	13728	13746	78.947	19	exon	intron
4	9	27	34311	34329	78.947	19	exon	intron
5	1	115	7891	8005	100.0	115	exon	CDS
5	63	99	26132	26097	76.923	39	exon	intron
5	77	96	15929	15948	85.0	20	exon	intron
5	37	80	25506	25548	70.833	48	exon	intron
5	37	56	41629	41612	85.0	20	exon	intron
5	11	28	2269	2254	83.333	18	exon	intron
5	25	40	5986	5969	83.333	18	exon	intron
5	84	103	40582	40601	80.0	20	exon	intron
5	19	41	550	530	78.261	23	exon	intron
5	19	41	4172	4152	78.261	23	exon	intron
5	19	41	11391	11371	78.261	23	exon	intron
5	50	73	36943	36967	76.0	25	exon	intron
5	81	108	36991	36966	75.862	29	exon	intron
5	18	41	47732	47708	76.0	25	exon	intron
5	41	62	12888	12868	77.273	22	exon	intron
5	74	92	40716	40734	78.947	19	exon	intron
5	50	68	52320	52302	78.947	19	exon	intron
6	1	79	8265	8343	100.0	79	exon	CDS
6	49	79	52585	52553	77.143	35	exon	intron
6	50	73	9337	9312	81.481	27	exon	intron
6	49	77	13933	13904	78.125	32	exon	intron
6	52	72	18021	18041	80.952	21	exon	CDS
6	33	49	50088	50105	84.211	19	exon	intron
6	10	28	1063	1082	80.952	21	exon	intron
6	40	74	22415	22387	71.429	35	exon	intron
6	32	49	23676	23657	80.0	20	exon	intron
6	60	77	30752	30772	77.273	22	exon	intron
6	50	69	38913	38891	78.261	23	exon	intron
6	42	79	52077	52116	71.429	42	exon	intron
6	23	39	11653	11637	83.333	18	exon	intron
6	43	64	28399	28418	77.273	22	exon	intron
6	1	19	29128	29105	75.0	24	exon	intron
6	23	39	48762	48746	83.333	18	exon	intron
6	41	66	12698	12676	74.074	27	exon	intron
6	36	51	14188	14206	78.947	19	exon	CDS
6	32	69	27832	27863	71.053	38	exon	intron
6	55	70	39017	38999	78.947	19	exon	intron
6	20	37	2297	2280	77.778	18	exon	intron
6	12	29	29923	29940	77.778	18	exon	intron
7	1	196	9643	9838	100.0	196	exon	CDS
7	143	169	19093	19121	83.333	30	exon	intron
7	140	162	28477	28498	86.957	23	exon	intron
7	152	169	9811	9794	88.889	18	exon	intron
7	131	171	40980	41025	72.917	48	exon	intron
7	45	63	7401	7382	85.0	20	exon	intron
7	160	186	51648	51619	76.667	30	exon	intron
7	148	169	19134	19111	79.167	24	exon	intron
7	145	168	19733	19753	79.167	24	exon	intron
7	151	171	29485	29465	81.818	22	exon	intron
7	22	40	41809	41792	84.211	19	exon	intron
7	80	97	15654	15671	83.333	18	exon	intron
7	67	95	37045	37023	72.414	29	exon	intron
7	108	127	52787	52806	80.0	20	exon	intron
8	1	96	10357	10452	100.0	96	exon	CDS
8	57	79	28114	28135	83.333	24	exon	intron
8	23	40	40560	40576	88.889	18	exon	intron
8	28	56	8063	8036	76.667	30	exon	intron
8	57	77	8922	8902	81.818	22	exon	intron
8	26	46	19171	19151	80.952	21	exon	intron
8	18	52	19252	19215	71.795	39	exon	intron
8	15	40	47286	47261	76.923	26	exon	intron
8	36	55	13929	13909	80.952	21	exon	intron
8	36	73	52001	52035	70.0	40	exon	intron
8	28	49	11938	11918	78.261	23	exon	intron
8	34	53	22967	22950	80.0	20	exon	intron
8	32	49	30965	30981	83.333	18	exon	intron
8	10	45	46616	46585	72.222	36	exon	intron
8	33	52	1706	1682	76.0	25	exon	intron
8	51	70	4231	4247	80.0	20	exon	intron
8	51	70	11450	11466	80.0	20	exon	intron
9	1	143	12314	12456	100.0	143	exon	CDS
9	49	86	27978	28020	74.419	43	exon	intron
9	87	107	45793	45770	83.333	24	exon	intron
9	67	82	2302	2285	88.889	18	exon	intron
9	44	84	20466	20426	72.727	44	exon	intron
9	124	143	13271	13290	85.0	20	exon	intron
9	80	112	19668	19708	73.171	41	exon	intron
9	26	53	6515	6537	75.0	28	exon	intron
9	21	52	40770	40805	73.684	38	exon	intron
9	79	121	11735	11772	72.093	43	exon	intron
9	72	132	16628	16569	67.647	68	exon	intron
9	106	123	33516	33535	85.0	20	exon	intron
9	105	130	37267	37287	76.923	26	exon	intron
9	64	87	51699	51676	80.0	25	exon	intron
9	96	111	6937	6955	84.211	19	exon	CDS
9	4	26	16045	16068	79.167	24	exon	intron
9	15	32	13160	13145	83.333	18	exon	intron
9	65	90	19051	19029	76.923	26	exon	intron
9	118	133	21620	21637	83.333	18	exon	intron
9	106	123	23567	23586	80.0	20	exon	intron
9	4	24	27702	27678	76.0	25	exon	intron
9	57	74	43688	43704	84.211	19	exon	intron
9	97	118	19393	19372	77.273	22	exon	intron
9	61	81	39480	39457	75.0	24	exon	intron
9	94	112	13195	13177	78.947	19	exon	intron
10	1	166	14049	14214	100.0	166	exon	CDS
