exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	285	2001	2285	100.0	285	426.0	3.6e-122	blastn:w7;e1e2
1	170	199	4094	4063	75.0	32	20.7	4.7	blastn:w7;e1e2
1	253	285	4283	4255	75.758	33	20.7	4.7	blastn:w7;e1e2
1	175	186	5333	5322	100.0	12	20.7	4.7	blastn:w7;e1e2
1	187	211	30324	30347	80.0	25	20.7	4.7	blastn:w7;e1e2
1	147	160	9576	9563	92.857	14	19.9	13.0	blastn:w7;e1e2
1	31	49	10750	10768	85.0	20	19.9	13.0	blastn:w7;e1e2
1	78	99	15237	15257	81.818	22	19.9	13.0	blastn:w7;e1e2
1	255	275	18192	18173	81.818	22	19.9	13.0	blastn:w7;e1e2
1	143	156	30517	30530	92.857	14	19.9	13.0	blastn:w7;e1e2
1	243	257	11541	11557	88.235	17	19.2	13.0	blastn:w7;e1e2
1	182	205	16670	16648	79.167	24	19.2	13.0	blastn:w7;e1e2
1	170	192	18194	18217	79.167	24	19.2	13.0	blastn:w7;e1e2
1	35	45	19257	19267	100.0	11	19.2	13.0	blastn:w7;e1e2
1	118	138	24820	24800	81.818	22	19.2	13.0	blastn:w7;e1e2
1	202	223	25495	25476	81.818	22	19.2	13.0	blastn:w7;e1e2
1	200	210	27613	27603	100.0	11	19.2	13.0	blastn:w7;e1e2
1	99	114	30808	30793	87.5	16	19.2	13.0	blastn:w7;e1e2
1	87	97	31007	31017	100.0	11	19.2	13.0	blastn:w7;e1e2
1	133	150	1402	1385	83.333	18	18.4	37.0	blastn:w7;e1e2
1	169	181	11060	11072	92.308	13	18.4	37.0	blastn:w7;e1e2
1	33	45	13906	13894	92.308	13	18.4	37.0	blastn:w7;e1e2
1	188	200	17516	17528	92.308	13	18.4	37.0	blastn:w7;e1e2
1	20	42	25921	25899	78.261	23	18.4	37.0	blastn:w7;e1e2
1	268	285	30115	30132	83.333	18	18.4	37.0	blastn:w7;e1e2
1	120	134	1560	1546	86.667	15	17.7	37.0	blastn:w7;e1e2
1	244	253	3982	3991	100.0	10	17.7	37.0	blastn:w7;e1e2
1	135	152	4283	4267	83.333	18	17.7	37.0	blastn:w7;e1e2
1	37	46	4320	4329	100.0	10	17.7	37.0	blastn:w7;e1e2
1	119	128	12512	12521	100.0	10	17.7	37.0	blastn:w7;e1e2
1	55	64	15434	15443	100.0	10	17.7	37.0	blastn:w7;e1e2
1	178	202	22265	22243	76.0	25	17.7	37.0	blastn:w7;e1e2
1	233	252	22371	22390	80.0	20	17.7	37.0	blastn:w7;e1e2
1	171	180	30575	30566	100.0	10	17.7	37.0	blastn:w7;e1e2
2	1	30	2325	2354	100.0	30	47.4	1.33e-09	blastn:w7;e1e2
2	13	26	26115	26127	92.857	14	19.2	0.42	blastn:w7;e1e2
2	18	30	28823	28837	86.667	15	17.7	1.2	blastn:w7;e1e2
2	2	21	2069	2090	77.273	22	17.0	3.3	blastn:w7;e1e2
2	19	30	269	259	91.667	12	16.2	3.3	blastn:w7;e1e2
2	1	9	2969	2977	100.0	9	16.2	3.3	blastn:w7;e1e2
2	4	12	8311	8303	100.0	9	16.2	3.3	blastn:w7;e1e2
2	13	25	23090	23076	86.667	15	16.2	3.3	blastn:w7;e1e2
2	19	29	155	165	90.909	11	15.5	9.2	blastn:w7;e1e2
2	17	29	8838	8825	85.714	14	15.5	9.2	blastn:w7;e1e2
2	1	23	21484	21503	73.913	23	15.5	9.2	blastn:w7;e1e2
2	10	17	2874	2867	100.0	8	14.7	9.2	blastn:w7;e1e2
2	14	30	5335	5317	78.947	19	14.7	9.2	blastn:w7;e1e2
2	1	8	8171	8164	100.0	8	14.7	9.2	blastn:w7;e1e2
2	22	29	13853	13860	100.0	8	14.7	9.2	blastn:w7;e1e2
2	18	25	14303	14310	100.0	8	14.7	9.2	blastn:w7;e1e2
2	14	21	17692	17685	100.0	8	14.7	9.2	blastn:w7;e1e2
2	14	21	20203	20210	100.0	8	14.7	9.2	blastn:w7;e1e2
2	17	27	24903	24912	90.909	11	14.7	9.2	blastn:w7;e1e2
2	12	19	25491	25498	100.0	8	14.7	9.2	blastn:w7;e1e2
2	13	20	28600	28593	100.0	8	14.7	9.2	blastn:w7;e1e2
2	18	30	30288	30300	84.615	13	14.7	9.2	blastn:w7;e1e2
2	6	19	1393	1377	76.471	17	14.0	26.0	blastn:w7;e1e2
