method	exon_index	sstart	send	reason	detail
blastn	1	14619	14607	basic	len/pident 13/100.0
blastn	1	12083	12069	basic	len/pident 15/93.333
blastn	1	5960	5949	basic	len/pident 12/100.0
blastn	1	7238	7254	basic	len/pident 17/88.235
blastn	1	11245	11256	basic	len/pident 12/100.0
blastn	1	12824	12813	basic	len/pident 12/100.0
blastn	1	12839	12823	basic	len/pident 17/88.235
blastn	1	5701	5714	basic	len/pident 14/92.857
blastn	1	6465	6452	basic	len/pident 14/92.857
blastn	1	7532	7545	basic	len/pident 14/92.857
blastn	1	12839	12826	basic	len/pident 14/92.857
blastn	1	14589	14576	basic	len/pident 14/92.857
blastn	1	14620	14607	basic	len/pident 14/92.857
blastn	1	14620	14607	basic	len/pident 14/92.857
blastn	1	485	500	basic	len/pident 16/87.5
blastn	1	878	888	basic	len/pident 11/100.0
blastn	1	2060	2050	basic	len/pident 11/100.0
blastn	1	3106	3096	basic	len/pident 11/100.0
blastn	1	3554	3569	basic	len/pident 16/87.5
blastn	1	5899	5909	basic	len/pident 11/100.0
blastn	1	7712	7697	basic	len/pident 16/87.5
blastn	1	7957	7947	basic	len/pident 11/100.0
blastn	1	9118	9133	basic	len/pident 16/87.5
blastn	1	11208	11223	basic	len/pident 16/87.5
blastn	1	12574	12564	basic	len/pident 11/100.0
blastn	1	12846	12856	basic	len/pident 11/100.0
blastn	1	13015	13025	basic	len/pident 11/100.0
blastn	2	466	451	basic	len/pident 16/87.5
blastn	2	1351	1361	basic	len/pident 11/100.0
blastn	2	2642	2632	basic	len/pident 11/100.0
blastn	2	5453	5439	basic	len/pident 16/87.5
blastn	2	1371	1360	basic	len/pident 12/91.667
blastn	2	2106	2117	basic	len/pident 12/91.667
blastn	2	8406	8417	basic	len/pident 12/91.667
blastn	2	11451	11465	basic	len/pident 15/86.667
blastn	2	11627	11613	basic	len/pident 15/86.667
blastn	2	13658	13671	basic	len/pident 15/86.667
blastn	2	3190	3203	basic	len/pident 14/85.714
blastn	2	3213	3221	basic	len/pident 9/100.0
blastn	2	5518	5504	basic	len/pident 15/86.667
blastn	2	7917	7925	basic	len/pident 9/100.0
blastn	2	10346	10357	basic	len/pident 12/91.667
blastn	2	12967	12959	basic	len/pident 9/100.0
blastn	2	15836	15847	basic	len/pident 12/91.667
blastn	2	81	66	basic	len/pident 16/81.25
blastn	2	2402	2412	basic	len/pident 11/90.909
blastn	2	2896	2906	basic	len/pident 11/90.909
blastn	2	3477	3467	basic	len/pident 11/90.909
blastn	2	13272	13257	basic	len/pident 16/81.25
blastn	2	14154	14142	basic	len/pident 14/85.714
blastn	2	185	178	basic	len/pident 8/100.0
blastn	2	369	376	basic	len/pident 8/100.0
blastn	2	729	736	basic	len/pident 8/100.0
blastn	2	929	922	basic	len/pident 8/100.0
blastn	2	2120	2110	basic	len/pident 11/90.909
blastn	2	3083	3090	basic	len/pident 8/100.0
blastn	2	4793	4802	basic	len/pident 11/90.909
blastn	2	4931	4924	basic	len/pident 8/100.0
blastn	2	5035	5042	basic	len/pident 8/100.0
blastn	2	6083	6076	basic	len/pident 8/100.0
blastn	2	6622	6615	basic	len/pident 8/100.0
blastn	2	7536	7529	basic	len/pident 8/100.0
blastn	2	8004	7994	basic	len/pident 11/90.909
blastn	2	8428	8421	basic	len/pident 8/100.0
blastn	2	8561	8554	basic	len/pident 8/100.0
blastn	2	8705	8712	basic	len/pident 8/100.0
blastn	2	9258	9246	basic	len/pident 13/84.615
blastn	2	9898	9891	basic	len/pident 8/100.0
blastn	2	10449	10442	basic	len/pident 8/100.0
blastn	2	10787	10780	basic	len/pident 8/100.0
blastn	2	10913	10901	basic	len/pident 13/84.615
blastn	2	11139	11130	basic	len/pident 11/90.909
blastn	2	11874	11886	basic	len/pident 13/84.615
blastn	2	12004	11994	basic	len/pident 11/90.909
blastn	2	13998	13991	basic	len/pident 8/100.0
blastn	2	14168	14161	basic	len/pident 8/100.0
blastn	2	14395	14402	basic	len/pident 8/100.0
blastn	2	15706	15713	basic	len/pident 8/100.0
blastn	2	16208	16215	basic	len/pident 8/100.0
blastn	2	16530	16537	basic	len/pident 8/100.0
blastn	2	3058	3067	basic	len/pident 10/90.0
blastn	2	4493	4502	basic	len/pident 10/90.0
blastn	2	5218	5230	basic	len/pident 13/84.615
blastn	2	5512	5501	basic	len/pident 13/84.615
blastn	2	7208	7219	basic	len/pident 13/84.615
