method	exon_index	sstart	send	reason	detail
blastn	1	7023	7009	basic	len/pident 15/93.333
blastn	1	11122	11108	basic	len/pident 15/93.333
blastn	1	3139	3128	basic	len/pident 12/100.0
blastn	1	5078	5094	basic	len/pident 17/88.235
blastn	1	5680	5669	basic	len/pident 12/100.0
blastn	1	8904	8893	basic	len/pident 12/100.0
blastn	1	1901	1914	basic	len/pident 14/92.857
blastn	1	2121	2108	basic	len/pident 14/92.857
blastn	1	3243	3230	basic	len/pident 14/92.857
blastn	1	3749	3736	basic	len/pident 14/92.857
blastn	1	4775	4762	basic	len/pident 14/92.857
blastn	1	7593	7580	basic	len/pident 14/92.857
blastn	1	11242	11229	basic	len/pident 14/92.857
blastn	1	12294	12281	basic	len/pident 14/92.857
blastn	1	696	706	basic	len/pident 11/100.0
blastn	1	835	820	basic	len/pident 16/87.5
blastn	1	2594	2584	basic	len/pident 11/100.0
blastn	1	2799	2814	basic	len/pident 16/87.5
blastn	1	2851	2841	basic	len/pident 11/100.0
blastn	1	3370	3380	basic	len/pident 11/100.0
blastn	1	3520	3530	basic	len/pident 11/100.0
blastn	1	3729	3714	basic	len/pident 16/87.5
blastn	1	4250	4235	basic	len/pident 16/87.5
blastn	1	5035	5050	basic	len/pident 16/87.5
blastn	1	7636	7621	basic	len/pident 16/87.5
blastn	1	8244	8254	basic	len/pident 11/100.0
blastn	1	8295	8285	basic	len/pident 11/100.0
blastn	1	8419	8429	basic	len/pident 11/100.0
blastn	1	9104	9094	basic	len/pident 11/100.0
blastn	1	9564	9574	basic	len/pident 11/100.0
blastn	1	10243	10253	basic	len/pident 11/100.0
blastn	1	11129	11114	basic	len/pident 16/87.5
blastn	1	11376	11386	basic	len/pident 11/100.0
blastn	1	11834	11824	basic	len/pident 11/100.0
blastn	1	13100	13085	basic	len/pident 16/87.5
blastn	1	13987	14002	basic	len/pident 16/87.5
blastn	2	2851	2836	basic	len/pident 17/88.235
blastn	2	2865	2849	basic	len/pident 17/88.235
blastn	2	3327	3314	basic	len/pident 14/92.857
blastn	2	7931	7915	basic	len/pident 17/88.235
blastn	2	12163	12150	basic	len/pident 14/92.857
blastn	2	1405	1415	basic	len/pident 11/100.0
blastn	2	2737	2722	basic	len/pident 16/87.5
blastn	2	13006	12996	basic	len/pident 11/100.0
blastn	2	6722	6710	basic	len/pident 13/92.308
blastn	2	7315	7303	basic	len/pident 13/92.308
blastn	2	9114	9129	basic	len/pident 16/87.5
blastn	2	11726	11740	basic	len/pident 16/87.5
blastn	2	11736	11748	basic	len/pident 13/92.308
blastn	2	13531	13516	basic	len/pident 16/87.5
blastn	2	3622	3613	basic	len/pident 10/100.0
blastn	2	4652	4661	basic	len/pident 10/100.0
blastn	2	5337	5346	basic	len/pident 10/100.0
blastn	2	8330	8339	basic	len/pident 10/100.0
blastn	2	10292	10304	basic	len/pident 13/92.308
blastn	2	13596	13587	basic	len/pident 10/100.0
blastn	2	193	177	basic	len/pident 17/82.353
blastn	2	2265	2254	basic	len/pident 12/91.667
blastn	2	3146	3133	basic	len/pident 15/86.667
blastn	2	3159	3170	basic	len/pident 12/91.667
blastn	2	4263	4252	basic	len/pident 12/91.667
blastn	2	5336	5347	basic	len/pident 12/91.667
blastn	2	7161	7150	basic	len/pident 12/91.667
blastn	2	10266	10277	basic	len/pident 12/91.667
blastn	2	13246	13232	basic	len/pident 15/86.667
blastn	2	43	51	basic	len/pident 9/100.0
blastn	2	431	423	basic	len/pident 9/100.0
blastn	2	555	563	basic	len/pident 9/100.0
blastn	2	1353	1338	basic	len/pident 17/82.353
blastn	2	1610	1602	basic	len/pident 9/100.0
blastn	2	2584	2592	basic	len/pident 9/100.0
blastn	2	2712	2704	basic	len/pident 9/100.0
blastn	2	2995	2987	basic	len/pident 9/100.0
blastn	2	4651	4659	basic	len/pident 9/100.0
blastn	2	5877	5869	basic	len/pident 9/100.0
blastn	2	6612	6620	basic	len/pident 9/100.0
blastn	2	6755	6747	basic	len/pident 9/100.0
blastn	2	7109	7101	basic	len/pident 9/100.0
blastn	2	8286	8278	basic	len/pident 9/100.0
blastn	2	8296	8304	basic	len/pident 9/100.0
blastn	2	9908	9916	basic	len/pident 9/100.0
blastn	2	9936	9944	basic	len/pident 9/100.0
blastn	2	10357	10365	basic	len/pident 9/100.0
blastn	2	10957	10965	basic	len/pident 9/100.0
blastn	2	11487	11479	basic	len/pident 9/100.0
blastn	2	11935	11922	basic	len/pident 14/85.714
blastn	2	12029	12042	basic	len/pident 14/85.714
blastn	2	12892	12884	basic	len/pident 9/100.0
blastn	2	13074	13066	basic	len/pident 9/100.0
blastn	2	13171	13163	basic	len/pident 9/100.0
blastn	2	13292	13300	basic	len/pident 9/100.0
blastn	2	13402	13410	basic	len/pident 9/100.0
blastn	2	13644	13652	basic	len/pident 9/100.0
blastn	2	14197	14205	basic	len/pident 9/100.0
blastn	3	2573	2557	basic	len/pident 17/88.235
blastn	3	3041	3051	basic	len/pident 11/100.0
blastn	3	8803	8790	basic	len/pident 14/92.857
blastn	3	11655	11668	basic	len/pident 14/92.857
blastn	3	8638	8625	basic	len/pident 16/87.5
blastn	3	10005	10014	basic	len/pident 10/100.0
blastn	3	7363	7374	basic	len/pident 12/91.667
blastn	3	8836	8849	basic	len/pident 15/86.667
blastn	3	9023	9034	basic	len/pident 12/91.667
blastn	3	9120	9131	basic	len/pident 12/91.667
blastn	3	11351	11362	basic	len/pident 12/91.667
blastn	3	494	502	basic	len/pident 9/100.0
