exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	860	2001	2860	100.0	860	1280.0	0.0	blastn:w7;e1e2
1	420	461	4119	4163	77.778	45	30.3	0.029	blastn:w7;e1e2
1	57	186	2186	2057	66.197	142	29.6	0.029	blastn:w7;e1e2
1	643	665	9830	9808	91.304	23	29.6	0.029	blastn:w7;e1e2
1	417	445	2028	2003	82.759	29	28.1	0.082	blastn:w7;e1e2
1	3	28	2445	2417	82.759	29	28.1	0.082	blastn:w7;e1e2
1	423	453	10740	10709	81.25	32	27.4	0.23	blastn:w7;e1e2
1	153	189	5436	5406	78.378	37	26.6	0.23	blastn:w7;e1e2
1	158	220	9475	9532	71.212	66	25.1	0.64	blastn:w7;e1e2
1	150	225	9501	9584	67.816	87	25.1	0.64	blastn:w7;e1e2
1	12	26	22259	22273	100.0	15	25.1	0.64	blastn:w7;e1e2
1	1	19	2644	2663	90.0	20	24.4	1.8	blastn:w7;e1e2
1	6	22	10722	10738	94.118	17	24.4	1.8	blastn:w7;e1e2
1	7	23	10722	10738	94.118	17	24.4	1.8	blastn:w7;e1e2
1	825	854	15142	15114	80.0	30	24.4	1.8	blastn:w7;e1e2
1	825	854	25784	25812	80.0	30	24.4	1.8	blastn:w7;e1e2
1	634	663	1995	2021	77.419	31	23.6	1.8	blastn:w7;e1e2
1	14	27	5453	5466	100.0	14	23.6	1.8	blastn:w7;e1e2
1	10	43	9859	9828	76.471	34	23.6	1.8	blastn:w7;e1e2
1	826	851	12588	12618	77.419	31	23.6	1.8	blastn:w7;e1e2
1	2	23	15382	15402	86.364	22	23.6	1.8	blastn:w7;e1e2
1	11	24	22259	22272	100.0	14	23.6	1.8	blastn:w7;e1e2
1	718	743	22946	22972	81.481	27	23.6	1.8	blastn:w7;e1e2
1	6	21	2648	2663	93.75	16	22.9	5.0	blastn:w7;e1e2
1	13	28	5453	5468	93.75	16	22.9	5.0	blastn:w7;e1e2
1	295	307	1650	1662	100.0	13	22.2	5.0	blastn:w7;e1e2
1	353	436	5548	5452	65.686	102	22.2	5.0	blastn:w7;e1e2
1	779	799	6173	6198	80.769	26	22.2	5.0	blastn:w7;e1e2
1	655	667	19027	19015	100.0	13	22.2	5.0	blastn:w7;e1e2
1	421	436	22272	22258	93.75	16	22.2	5.0	blastn:w7;e1e2
1	763	787	22868	22843	80.769	26	22.2	5.0	blastn:w7;e1e2
1	114	131	24298	24315	88.889	18	22.2	5.0	blastn:w7;e1e2
1	603	618	25070	25053	88.889	18	22.2	5.0	blastn:w7;e1e2
1	650	684	5295	5325	74.286	35	21.4	14.0	blastn:w7;e1e2
1	217	231	5441	5427	93.333	15	21.4	14.0	blastn:w7;e1e2
1	4	28	9257	9281	80.0	25	21.4	14.0	blastn:w7;e1e2
1	1	26	10722	10752	74.194	31	21.4	14.0	blastn:w7;e1e2
1	420	437	11264	11283	85.0	20	21.4	14.0	blastn:w7;e1e2
1	217	255	16322	16361	72.093	43	21.4	14.0	blastn:w7;e1e2
1	564	586	18510	18491	82.609	23	21.4	14.0	blastn:w7;e1e2
1	796	813	21451	21432	85.0	20	21.4	14.0	blastn:w7;e1e2
1	419	433	22273	22259	93.333	15	21.4	14.0	blastn:w7;e1e2
1	776	798	23341	23365	80.769	26	21.4	14.0	blastn:w7;e1e2
1	420	441	2022	2001	81.818	22	20.7	14.0	blastn:w7;e1e2
1	1	22	2441	2420	81.818	22	20.7	14.0	blastn:w7;e1e2
1	8	22	4135	4119	88.235	17	20.7	14.0	blastn:w7;e1e2
1	11	22	5453	5464	100.0	12	20.7	14.0	blastn:w7;e1e2
1	12	23	5453	5464	100.0	12	20.7	14.0	blastn:w7;e1e2
1	520	531	5660	5649	100.0	12	20.7	14.0	blastn:w7;e1e2
1	420	436	9810	9826	88.235	17	20.7	14.0	blastn:w7;e1e2
1	426	439	10107	10093	93.333	15	20.7	14.0	blastn:w7;e1e2
1	8	24	15382	15398	88.235	17	20.7	14.0	blastn:w7;e1e2
1	595	606	16983	16972	100.0	12	20.7	14.0	blastn:w7;e1e2
1	359	370	18077	18066	100.0	12	20.7	14.0	blastn:w7;e1e2
1	201	228	18931	18953	75.0	28	20.7	14.0	blastn:w7;e1e2
1	623	639	20296	20312	88.235	17	20.7	14.0	blastn:w7;e1e2
1	5	19	22259	22272	93.333	15	20.7	14.0	blastn:w7;e1e2
1	6	20	22259	22272	93.333	15	20.7	14.0	blastn:w7;e1e2
1	7	21	22259	22272	93.333	15	20.7	14.0	blastn:w7;e1e2
1	450	466	24339	24355	88.235	17	20.7	14.0	blastn:w7;e1e2
1	825	854	27359	27387	76.667	30	20.7	14.0	blastn:w7;e1e2
1	644	662	2007	2025	84.211	19	19.9	40.0	blastn:w7;e1e2
1	354	370	2121	2136	88.235	17	19.9	40.0	blastn:w7;e1e2
1	121	136	2354	2370	88.235	17	19.9	40.0	blastn:w7;e1e2
1	7	25	2644	2662	84.211	19	19.9	40.0	blastn:w7;e1e2
1	633	651	8533	8551	84.211	19	19.9	40.0	blastn:w7;e1e2
1	620	633	9255	9268	92.857	14	19.9	40.0	blastn:w7;e1e2
1	421	434	9841	9854	92.857	14	19.9	40.0	blastn:w7;e1e2
1	7	20	9858	9845	92.857	14	19.9	40.0	blastn:w7;e1e2
1	655	670	9881	9865	88.235	17	19.9	40.0	blastn:w7;e1e2
1	525	538	10024	10011	92.857	14	19.9	40.0	blastn:w7;e1e2
1	2	25	10706	10736	74.194	31	19.9	40.0	blastn:w7;e1e2
1	649	670	10722	10748	77.778	27	19.9	40.0	blastn:w7;e1e2
1	501	514	11092	11105	92.857	14	19.9	40.0	blastn:w7;e1e2
1	758	771	15236	15249	92.857	14	19.9	40.0	blastn:w7;e1e2
1	835	859	19495	19516	76.923	26	19.9	40.0	blastn:w7;e1e2
1	359	372	23843	23856	92.857	14	19.9	40.0	blastn:w7;e1e2
1	635	656	25180	25160	81.818	22	19.9	40.0	blastn:w7;e1e2
1	42	60	27766	27784	84.211	19	19.9	40.0	blastn:w7;e1e2
1	98	108	1573	1583	100.0	11	19.2	40.0	blastn:w7;e1e2
1	648	663	2442	2427	87.5	16	19.2	40.0	blastn:w7;e1e2
1	427	442	2663	2648	87.5	16	19.2	40.0	blastn:w7;e1e2
1	170	180	6367	6377	100.0	11	19.2	40.0	blastn:w7;e1e2
1	335	350	7159	7174	87.5	16	19.2	40.0	blastn:w7;e1e2
1	806	816	8376	8386	100.0	11	19.2	40.0	blastn:w7;e1e2
1	658	668	8756	8746	100.0	11	19.2	40.0	blastn:w7;e1e2
