exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	115	2001	2115	100.0	115	173.0	5.21e-47	blastn:w7;e1e2
1	6	40	2403	2369	81.579	38	31.8	0.000457	blastn:w7;e1e2
1	1	16	2127	2142	93.75	16	22.9	0.22	blastn:w7;e1e2
1	11	38	1932	1957	78.571	28	22.2	0.22	blastn:w7;e1e2
1	41	63	10761	10781	82.609	23	22.2	0.22	blastn:w7;e1e2
1	82	110	2260	2229	75.758	33	21.4	0.62	blastn:w7;e1e2
1	1	39	2402	2441	72.093	43	21.4	0.62	blastn:w7;e1e2
1	81	105	2209	2183	77.778	27	20.7	0.62	blastn:w7;e1e2
1	1	44	2596	2639	71.739	46	19.9	1.7	blastn:w7;e1e2
1	54	70	4561	4576	88.235	17	19.9	1.7	blastn:w7;e1e2
1	62	107	2506	2557	70.37	54	19.2	1.7	blastn:w7;e1e2
1	3	26	10694	10712	79.167	24	19.2	1.7	blastn:w7;e1e2
1	9	58	1863	1814	69.091	55	18.4	4.8	blastn:w7;e1e2
1	78	108	2167	2135	72.727	33	18.4	4.8	blastn:w7;e1e2
1	78	90	2418	2430	92.308	13	18.4	4.8	blastn:w7;e1e2
1	60	72	10818	10830	92.308	13	18.4	4.8	blastn:w7;e1e2
1	4	19	11080	11094	87.5	16	18.4	4.8	blastn:w7;e1e2
1	37	97	2706	2663	65.574	61	17.7	4.8	blastn:w7;e1e2
1	60	69	7301	7292	100.0	10	17.7	4.8	blastn:w7;e1e2
1	60	76	8011	7994	83.333	18	17.7	4.8	blastn:w7;e1e2
1	69	106	1879	1843	70.732	41	17.0	14.0	blastn:w7;e1e2
1	9	22	2661	2675	86.667	15	17.0	14.0	blastn:w7;e1e2
1	36	47	2815	2804	91.667	12	17.0	14.0	blastn:w7;e1e2
1	64	77	3813	3827	86.667	15	17.0	14.0	blastn:w7;e1e2
1	11	29	1843	1857	78.947	19	16.2	14.0	blastn:w7;e1e2
1	87	100	2482	2495	85.714	14	16.2	14.0	blastn:w7;e1e2
1	75	98	2808	2825	75.0	24	16.2	14.0	blastn:w7;e1e2
1	65	73	3118	3110	100.0	9	16.2	14.0	blastn:w7;e1e2
1	68	78	7333	7322	91.667	12	16.2	14.0	blastn:w7;e1e2
1	29	37	10594	10602	100.0	9	16.2	14.0	blastn:w7;e1e2
1	57	72	10705	10689	82.353	17	16.2	14.0	blastn:w7;e1e2
1	54	64	10919	10930	91.667	12	16.2	14.0	blastn:w7;e1e2
1	105	115	2495	2485	90.909	11	15.5	38.0	blastn:w7;e1e2
1	12	22	2819	2829	90.909	11	15.5	38.0	blastn:w7;e1e2
1	60	78	4318	4335	78.947	19	15.5	38.0	blastn:w7;e1e2
1	52	65	6242	6230	85.714	14	15.5	38.0	blastn:w7;e1e2
1	46	63	10812	10830	78.947	19	15.5	38.0	blastn:w7;e1e2
1	15	22	1939	1932	100.0	8	14.7	38.0	blastn:w7;e1e2
1	20	27	1946	1939	100.0	8	14.7	38.0	blastn:w7;e1e2
