exon_index	sstart	send	length	bitscore	evalue	evidence
	-1	-1	0	54.1	6.7e-17	phmmer:f0
	-1	-1	0	45.9	1.8e-14	phmmer:f0
	-1	-1	0	31.7	1e-09	phmmer:f0
	-1	-1	0	28.7	9.5e-09	phmmer:f0
	-1	-1	0	18.5	6.3e-06	phmmer:f0
	-1	-1	0	123.4	5.2e-38	phmmer:f0
	-1	-1	0	27.1	1.1e-07	phmmer:f0
	-1	-1	0	18.4	1.1e-05	phmmer:f0
	-1	-1	0	65.2	2.5e-20	phmmer:f0
	-1	-1	0	80.5	5.4e-25	phmmer:f0
	-1	-1	0	22.0	4.2e-07	phmmer:f0
	-1	-1	0	29.4	4.5e-09	phmmer:f0
	-1	-1	0	36.3	2.6e-11	phmmer:f0
	-1	-1	0	54.0	5.3e-17	phmmer:f0
	-1	-1	0	141.6	2.4e-43	phmmer:f0
	-1	-1	0	62.2	4.6e-19	phmmer:f0
	-1	-1	0	41.3	1.2e-12	phmmer:f0
	-1	-1	0	16.2	5.7e-05	phmmer:f0
	-1	-1	0	11.4	0.0023	phmmer:f0
	-1	-1	0	27.9	9.6e-09	phmmer:f0
