method	exon_index	sstart	send	reason	detail
blastn	1	14707	14692	basic	len/pident 16/93.75
blastn	1	18144	18130	basic	len/pident 16/93.75
blastn	1	4683	4672	basic	len/pident 12/100.0
blastn	1	9952	9938	basic	len/pident 15/93.333
blastn	1	10812	10828	basic	len/pident 17/88.235
blastn	1	11586	11602	basic	len/pident 17/88.235
blastn	1	14233	14249	basic	len/pident 17/88.235
blastn	1	3639	3652	basic	len/pident 14/92.857
blastn	1	7038	7025	basic	len/pident 14/92.857
blastn	1	9349	9336	basic	len/pident 14/92.857
blastn	1	14237	14253	basic	len/pident 17/88.235
blastn	1	2019	2004	basic	len/pident 16/87.5
blastn	1	2633	2618	basic	len/pident 16/87.5
blastn	1	4472	4490	low_complexity	entropy<0.5 fraction
blastn	1	5496	5483	basic	len/pident 14/92.857
blastn	1	8292	8282	basic	len/pident 11/100.0
blastn	1	10740	10725	basic	len/pident 16/87.5
blastn	1	11976	11966	basic	len/pident 11/100.0
blastn	1	12003	11991	basic	len/pident 14/92.857
blastn	1	13402	13392	basic	len/pident 11/100.0
blastn	1	15179	15169	basic	len/pident 11/100.0
blastn	1	128	116	basic	len/pident 13/92.308
blastn	1	996	1008	basic	len/pident 13/92.308
blastn	1	3400	3412	basic	len/pident 13/92.308
blastn	1	8187	8173	basic	len/pident 16/87.5
blastn	1	9426	9414	basic	len/pident 13/92.308
blastn	1	9929	9941	basic	len/pident 13/92.308
blastn	1	17488	17502	basic	len/pident 16/87.5
blastn	1	17826	17838	basic	len/pident 13/92.308
blastn	1	71	62	basic	len/pident 10/100.0
blastn	1	204	190	basic	len/pident 15/86.667
blastn	1	3288	3297	basic	len/pident 10/100.0
blastn	1	3506	3497	basic	len/pident 10/100.0
blastn	1	4268	4277	basic	len/pident 10/100.0
blastn	1	5616	5607	basic	len/pident 10/100.0
blastn	1	6466	6457	basic	len/pident 10/100.0
blastn	1	6925	6939	basic	len/pident 15/86.667
blastn	1	7693	7707	basic	len/pident 15/86.667
blastn	1	8746	8755	basic	len/pident 10/100.0
blastn	1	9251	9242	basic	len/pident 10/100.0
blastn	1	9293	9302	basic	len/pident 10/100.0
blastn	1	10251	10242	basic	len/pident 10/100.0
blastn	1	10290	10281	basic	len/pident 10/100.0
blastn	1	10664	10655	basic	len/pident 10/100.0
blastn	1	10719	10710	basic	len/pident 10/100.0
blastn	1	11365	11356	basic	len/pident 10/100.0
blastn	1	11603	11594	basic	len/pident 10/100.0
blastn	1	11740	11731	basic	len/pident 10/100.0
blastn	1	11789	11798	basic	len/pident 10/100.0
blastn	1	13766	13757	basic	len/pident 10/100.0
blastn	1	13769	13760	basic	len/pident 10/100.0
blastn	1	14183	14169	basic	len/pident 15/86.667
blastn	1	15063	15077	basic	len/pident 15/86.667
blastn	1	15773	15787	basic	len/pident 15/86.667
blastn	1	16836	16850	basic	len/pident 15/86.667
blastn	1	18399	18408	basic	len/pident 10/100.0
blastn	2	1692	1677	basic	len/pident 17/88.235
blastn	2	642	655	basic	len/pident 14/92.857
blastn	2	1000	984	basic	len/pident 17/88.235
blastn	2	8841	8856	basic	len/pident 16/87.5
blastn	2	2541	2553	basic	len/pident 13/92.308
blastn	2	14117	14108	basic	len/pident 10/100.0
blastn	2	14891	14900	basic	len/pident 10/100.0
blastn	2	2508	2497	basic	len/pident 12/91.667
blastn	2	4333	4344	basic	len/pident 12/91.667
blastn	2	4508	4497	basic	len/pident 12/91.667
blastn	2	8133	8147	basic	len/pident 15/86.667
blastn	2	15511	15525	basic	len/pident 17/82.353
blastn	2	16740	16751	basic	len/pident 12/91.667
blastn	2	1675	1683	basic	len/pident 9/100.0
blastn	2	3375	3386	basic	len/pident 12/91.667
blastn	2	3589	3581	basic	len/pident 9/100.0
blastn	2	3687	3679	basic	len/pident 9/100.0
blastn	2	4168	4153	basic	len/pident 17/82.353
blastn	2	7092	7084	basic	len/pident 9/100.0
blastn	2	10462	10470	basic	len/pident 9/100.0
blastn	2	12724	12735	basic	len/pident 12/91.667
blastn	2	12737	12729	basic	len/pident 9/100.0
blastn	2	13916	13929	basic	len/pident 14/85.714
blastn	2	15905	15916	basic	len/pident 12/91.667
blastn	2	16918	16905	basic	len/pident 14/85.714
blastn	2	3631	3618	basic	len/pident 16/81.25
blastn	2	7021	7033	basic	len/pident 14/85.714
blastn	2	7748	7736	basic	len/pident 14/85.714
blastn	2	12890	12900	basic	len/pident 11/90.909
blastn	2	13505	13515	basic	len/pident 11/90.909
blastn	2	14624	14609	basic	len/pident 16/81.25
blastn	2	15848	15858	basic	len/pident 11/90.909
blastn	2	16434	16424	basic	len/pident 11/90.909
blastn	2	17440	17430	basic	len/pident 11/90.909
blastn	2	46	39	basic	len/pident 8/100.0
blastn	2	610	603	basic	len/pident 8/100.0
blastn	2	2217	2210	basic	len/pident 8/100.0
blastn	2	2756	2749	basic	len/pident 8/100.0
blastn	2	3143	3136	basic	len/pident 8/100.0
