method	exon_index	sstart	send	reason	detail
blastn	1	6478	6464	basic	len/pident 15/100.0
blastn	1	36019	36035	basic	len/pident 17/94.118
blastn	1	15163	15179	basic	len/pident 17/94.118
blastn	1	23954	23938	basic	len/pident 17/94.118
blastn	1	37972	37956	basic	len/pident 17/94.118
blastn	1	16591	16606	basic	len/pident 16/93.75
blastn	1	23370	23385	basic	len/pident 16/93.75
blastn	1	23371	23386	basic	len/pident 16/93.75
blastn	1	23372	23387	basic	len/pident 16/93.75
blastn	1	23373	23388	basic	len/pident 16/93.75
blastn	1	23374	23389	basic	len/pident 16/93.75
blastn	1	23375	23390	basic	len/pident 16/93.75
blastn	1	23376	23391	basic	len/pident 16/93.75
blastn	1	23377	23392	basic	len/pident 16/93.75
blastn	1	23378	23393	basic	len/pident 16/93.75
blastn	1	23379	23394	basic	len/pident 16/93.75
blastn	1	23380	23395	basic	len/pident 16/93.75
blastn	1	23381	23396	basic	len/pident 16/93.75
blastn	1	23382	23397	basic	len/pident 16/93.75
blastn	1	23383	23398	basic	len/pident 16/93.75
blastn	1	23386	23401	basic	len/pident 16/93.75
blastn	1	30912	30927	basic	len/pident 16/93.75
blastn	1	39563	39578	basic	len/pident 16/93.75
blastn	1	6513	6501	basic	len/pident 13/100.0
blastn	1	7097	7109	basic	len/pident 13/100.0
blastn	1	8257	8269	basic	len/pident 13/100.0
blastn	1	10062	10050	basic	len/pident 13/100.0
blastn	1	19221	19233	basic	len/pident 13/100.0
blastn	1	28119	28131	basic	len/pident 13/100.0
blastn	1	36595	36607	basic	len/pident 13/100.0
blastn	1	48872	48858	basic	len/pident 16/93.75
blastn	1	49940	49957	low_complexity	entropy<0.5 fraction
blastn	1	51650	51638	basic	len/pident 13/100.0
blastn	1	52619	52607	basic	len/pident 13/100.0
blastn	1	57572	57560	basic	len/pident 13/100.0
blastn	1	62986	62974	basic	len/pident 13/100.0
blastn	1	63769	63757	basic	len/pident 13/100.0
blastn	1	7093	7107	basic	len/pident 15/93.333
blastn	1	9876	9890	basic	len/pident 15/93.333
blastn	1	13248	13262	basic	len/pident 15/93.333
blastn	1	28118	28132	basic	len/pident 15/93.333
blastn	1	39261	39275	basic	len/pident 15/93.333
blastn	1	41704	41718	basic	len/pident 15/93.333
blastn	1	43307	43293	basic	len/pident 15/93.333
blastn	1	48458	48472	basic	len/pident 15/93.333
blastn	1	48874	48888	basic	len/pident 15/93.333
blastn	1	51649	51635	basic	len/pident 15/93.333
blastn	1	52796	52810	basic	len/pident 15/93.333
blastn	1	54058	54044	basic	len/pident 15/93.333
blastn	1	55061	55075	basic	len/pident 15/93.333
blastn	1	62988	62974	basic	len/pident 15/93.333
blastn	1	63768	63754	basic	len/pident 15/93.333
blastn	1	4423	4434	basic	len/pident 12/100.0
blastn	1	6582	6593	basic	len/pident 12/100.0
blastn	1	8141	8152	basic	len/pident 12/100.0
blastn	1	9356	9345	basic	len/pident 12/100.0
blastn	1	10934	10923	basic	len/pident 12/100.0
blastn	1	19541	19525	basic	len/pident 17/88.235
blastn	1	21440	21456	basic	len/pident 17/88.235
blastn	1	22397	22386	basic	len/pident 12/100.0
blastn	1	22729	22718	basic	len/pident 12/100.0
blastn	1	22729	22718	basic	len/pident 12/100.0
blastn	1	23065	23054	basic	len/pident 12/100.0
blastn	1	25619	25608	basic	len/pident 12/100.0
blastn	1	29491	29475	basic	len/pident 17/88.235
blastn	1	31152	31163	basic	len/pident 12/100.0
blastn	1	31286	31297	basic	len/pident 12/100.0
blastn	1	31748	31737	basic	len/pident 12/100.0
blastn	1	32675	32659	basic	len/pident 17/88.235
blastn	1	32712	32723	basic	len/pident 12/100.0
blastn	1	32850	32839	basic	len/pident 12/100.0
blastn	1	34876	34887	basic	len/pident 12/100.0
blastn	1	38613	38629	basic	len/pident 17/88.235
blastn	1	39039	39055	basic	len/pident 17/88.235
blastn	1	39063	39079	basic	len/pident 17/88.235
blastn	1	42644	42655	basic	len/pident 12/100.0
blastn	1	42685	42669	basic	len/pident 17/88.235
blastn	1	43225	43241	basic	len/pident 17/88.235
blastn	1	43918	43929	basic	len/pident 12/100.0
blastn	1	46873	46884	basic	len/pident 12/100.0
blastn	1	48423	48412	basic	len/pident 12/100.0
blastn	1	48488	48472	basic	len/pident 17/88.235
blastn	1	50761	50772	basic	len/pident 12/100.0
