intron_index	start	end	length_bp	raw_exon_to_intron_hits	contributing_exons
1	1	2000	2000	2	5,10
2	3977	4673	697	1	11
3	4798	7060	2263	2	10,17
4	7236	7875	640	1	28
5	7977	8417	441	0	-
6	8476	10011	1536	1	34
7	10074	11224	1151	1	36
8	11255	11407	153	0	-
9	11478	13134	1657	2	11,13
10	13306	14216	911	1	7
11	14386	17286	2901	4	2,4,15,24
12	17418	17907	490	0	-
13	18018	18274	257	0	-
14	18387	18723	337	0	-
15	18846	19652	807	1	13
16	19777	22207	2431	1	10
17	22289	22426	138	0	-
18	22537	23059	523	1	30
19	23262	24375	1114	2	9,36
20	24491	25473	983	3	3,10,32
21	25606	25716	111	0	-
22	25798	26228	431	1	13
23	26366	32999	6634	2	23,29
24	33140	33455	316	0	-
25	33571	34993	1423	0	-
26	35114	35547	434	0	-
27	35642	35960	319	1	23
28	36026	37115	1090	3	1,7
29	37219	37620	402	0	-
30	37731	38028	298	0	-
31	38153	38899	747	0	-
32	39011	39239	229	0	-
33	39332	40352	1021	1	5
34	40551	41884	1334	1	16
35	42005	43159	1155	2	15
36	43289	49569	6281	8	1,3,10,11,12,18,24,26
37	49714	51506	1793	3	3,10,16
38	51753	58990	7238	7	4,8,17,20,24,36
39	59111	64822	5712	4	1,9,12
40	64943	81535	16593	17	1,3,6,7,9,10,12,13,14,15,18,27,28,29
41	81749	93826	12078	9	1,8,10,11,12,14,36
42	93899	113235	19337	21	1,3,4,5,8,9,10,12,14,18,21,23,26,33,35
43	113336	114120	785	2	43
44	114285	116284	2000	7	7,23,33,35,37,43
