exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	1670	2001	3670	100.0	1670	exon	CDS
1	1529	1549	36806	36787	90.476	21	exon	intron
1	596	622	8350	8379	80.0	30	exon	intron
1	1205	1226	16295	16315	86.364	22	exon	intron
1	1263	1286	32703	32726	83.333	24	exon	intron
1	1633	1656	33668	33691	83.333	24	exon	intron
1	1543	1581	34070	34102	74.359	39	exon	intron
1	1347	1379	17257	17220	73.684	38	exon	intron
1	581	601	18759	18739	86.364	22	exon	intron
1	48	68	21351	21371	85.714	21	exon	intron
1	1527	1550	28666	28641	80.769	26	exon	intron
1	1365	1382	3031	3014	88.889	18	exon	intron
1	1014	1031	3382	3365	88.889	18	exon	intron
1	1363	1382	5329	5348	85.0	20	exon	intron
1	198	225	30719	30745	78.571	28	exon	intron
1	746	765	32617	32600	85.0	20	exon	intron
1	695	713	2088	2107	85.0	20	exon	exon
1	88	107	2695	2713	85.0	20	exon	exon
1	1043	1063	8723	8745	82.609	23	exon	intron
1	667	691	23397	23420	80.0	25	exon	intron
1	1049	1070	37162	37141	81.818	22	exon	intron
2	1	781	38849	39629	100.0	781	exon	CDS
2	525	555	978	1009	84.375	32	exon	intron
2	243	304	33448	33394	71.429	63	exon	intron
2	251	270	38562	38582	90.476	21	exon	intron
2	123	143	33784	33763	86.364	22	exon	intron
2	632	657	37246	37272	81.481	27	exon	intron
2	421	449	16206	16179	79.31	29	exon	intron
2	104	121	15901	15884	89.474	19	exon	intron
2	246	268	21537	21515	83.333	24	exon	intron
2	646	665	21984	22004	85.714	21	exon	intron
2	649	677	40185	40217	75.758	33	exon	intron
2	587	620	2384	2341	70.455	44	exon	intron
2	415	432	5994	6010	88.889	18	exon	intron
2	704	731	9076	9050	78.571	28	exon	intron
2	483	504	11362	11383	81.818	22	exon	intron
2	668	694	26298	26272	77.778	27	exon	intron
2	423	446	34869	34891	80.769	26	exon	intron
2	595	619	6923	6894	73.333	30	exon	intron
2	428	446	16102	16120	84.211	19	exon	intron
2	468	486	17007	17025	84.211	19	exon	intron
2	621	652	32344	32370	75.0	32	exon	intron
2	291	308	25918	25936	84.211	19	exon	intron
