intron_index	start	end	length_bp	raw_exon_to_intron_hits	contributing_exons
1	1	2000	2000	1	5
2	5829	7476	1648	0	-
3	7624	7762	139	0	-
4	7951	8537	587	0	-
5	8665	12528	3864	2	1,22
6	12664	12765	102	0	-
7	12894	14016	1123	0	-
8	14122	16323	2202	2	1
9	16517	25382	8866	2	1,19
10	25715	26295	581	0	-
11	26428	28538	2111	0	-
12	28843	29644	802	0	-
13	29804	30483	680	1	11
14	30615	33269	2655	0	-
15	33453	33528	76	0	-
16	33694	34367	674	0	-
17	34566	34823	258	0	-
18	35034	36762	1729	0	-
19	36913	46827	9915	3	1,2
20	47080	47951	872	0	-
21	48078	49172	1095	0	-
22	49404	53054	3651	0	-
23	53202	109254	56053	15	1,2,3,9,11,12,16,19,22
24	109345	115023	5679	2	15,17
25	120313	122312	2000	0	-
