exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	1334	1304	83.333	26	19.4	2.3	blastn,tblastx	1318.5
1	2001	3128	100.0	1129	1680.0	0.0	blastn,tblastx	2565.0
1	2987	3043	81.481	29	22.9	0.092	blastn,tblastx	3009.5
1	3668	3648	86.364	22	24.4	0.13	blastn,tblastx	3657.5
1	3714	3758	79.31	38	22.9	0.26	blastn,tblastx	3747.0
1	4313	4350	70.0	40	18.0	5.9	blastn,tblastx	4331.25
1	4456	4537	67.47	83	23.6	0.25	blastn,tblastx	4486.25
1	6247	6283	88.889	19	21.4	0.73	blastn,tblastx	6259.5
2	3328	3274	77.419	31	19.9	2.0	blastn,tblastx	3303.75
2	3544	3544	100.0	269	402.0	1.07e-115	blastn,tblastx	3544.0
2	5394	5358	84.211	19	19.9	1.1	blastn,tblastx	5380.5
3	2512	2496	81.818	22	17.7	2.5	blastn,tblastx	2503.75
3	3988	3990	100.0	205	307.0	3.37e-87	blastn,tblastx	3989.0
4	4253	4238	86.957	23	25.1	0.01	blastn,tblastx	4245.25
4	4560	4646	100.0	87	132.0	7.26e-35	blastn,tblastx	4603.0
5	4754	4828	100.0	77	117.0	1.85e-30	blastn,tblastx	4791.0
