exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	358	2001	2358	100.0	358	534.0	3.57e-155	blastn:w7;e1e2
1	2	71	1239	1307	83.333	72	61.5	1.77e-12	blastn:w7;e1e2
1	4	73	2869	2792	78.75	80	60.0	4.97e-12	blastn:w7;e1e2
1	4	68	1710	1775	83.582	67	59.3	4.97e-12	blastn:w7;e1e2
1	1	71	1566	1642	79.221	77	57.8	1.39e-11	blastn:w7;e1e2
1	1	70	2765	2696	80.822	73	57.8	1.39e-11	blastn:w7;e1e2
1	1	71	1508	1578	80.556	72	56.3	3.9e-11	blastn:w7;e1e2
1	1	72	2535	2463	80.263	76	56.3	3.9e-11	blastn:w7;e1e2
1	2	76	1555	1630	79.221	77	55.6	1.09e-10	blastn:w7;e1e2
1	1	64	2701	2638	81.818	66	54.8	1.09e-10	blastn:w7;e1e2
1	1	71	1266	1338	79.452	73	54.1	3.06e-10	blastn:w7;e1e2
1	1	71	1402	1474	79.73	74	54.1	3.06e-10	blastn:w7;e1e2
1	1	84	2776	2688	74.194	93	52.6	8.57e-10	blastn:w7;e1e2
1	3	67	2511	2446	80.597	67	51.9	8.57e-10	blastn:w7;e1e2
1	2	71	2545	2483	78.873	71	51.9	8.57e-10	blastn:w7;e1e2
1	2	68	2788	2723	79.71	69	51.1	2.4e-09	blastn:w7;e1e2
1	3	71	2723	2654	79.167	72	50.4	2.4e-09	blastn:w7;e1e2
1	2	70	1315	1390	76.623	77	49.6	6.72e-09	blastn:w7;e1e2
1	1	68	1736	1805	78.571	70	49.6	6.72e-09	blastn:w7;e1e2
1	1	70	2666	2603	78.571	70	49.6	6.72e-09	blastn:w7;e1e2
1	1	71	1490	1560	78.082	73	48.9	6.72e-09	blastn:w7;e1e2
1	1	75	1473	1548	76.623	77	48.2	1.88e-08	blastn:w7;e1e2
1	2	71	1815	1885	77.778	72	48.2	1.88e-08	blastn:w7;e1e2
1	2	71	1439	1508	77.778	72	47.4	1.88e-08	blastn:w7;e1e2
1	1	71	2597	2529	77.778	72	47.4	1.88e-08	blastn:w7;e1e2
1	3	70	2618	2552	77.941	68	47.4	1.88e-08	blastn:w7;e1e2
1	3	70	2681	2621	77.941	68	47.4	1.88e-08	blastn:w7;e1e2
1	1	71	2851	2764	71.91	89	47.4	1.88e-08	blastn:w7;e1e2
1	1	64	1255	1319	79.104	67	46.7	5.27e-08	blastn:w7;e1e2
1	1	71	1349	1421	77.027	74	46.7	5.27e-08	blastn:w7;e1e2
1	2	71	2711	2643	77.027	74	45.9	5.27e-08	blastn:w7;e1e2
1	2	69	1856	1929	75.325	77	45.2	1.48e-07	blastn:w7;e1e2
1	1	70	1373	1443	76.712	73	44.4	1.48e-07	blastn:w7;e1e2
1	1	70	2823	2760	77.143	70	44.4	1.48e-07	blastn:w7;e1e2
1	1	77	1456	1531	73.494	83	43.7	4.14e-07	blastn:w7;e1e2
1	5	71	1628	1695	76.812	69	43.7	4.14e-07	blastn:w7;e1e2
1	1	62	1636	1698	78.125	64	43.7	4.14e-07	blastn:w7;e1e2
1	1	69	1867	1938	76.0	75	43.7	4.14e-07	blastn:w7;e1e2
1	1	71	1879	1953	74.667	75	43.7	4.14e-07	blastn:w7;e1e2
1	1	77	2649	2568	72.619	84	43.0	4.14e-07	blastn:w7;e1e2
1	1	69	1338	1406	76.056	71	42.2	1.16e-06	blastn:w7;e1e2
1	4	69	1447	1512	76.471	68	41.5	1.16e-06	blastn:w7;e1e2
1	1	71	1519	1589	74.026	77	41.5	1.16e-06	blastn:w7;e1e2
1	1	63	2501	2438	76.562	64	41.5	1.16e-06	blastn:w7;e1e2
1	2	71	1614	1689	72.727	77	37.8	2.55e-05	blastn:w7;e1e2
1	1	69	1754	1836	70.238	84	37.8	2.55e-05	blastn:w7;e1e2
1	1	71	1849	1926	71.795	78	37.8	2.55e-05	blastn:w7;e1e2
1	1	69	1671	1740	72.727	77	37.0	2.55e-05	blastn:w7;e1e2
1	261	311	3232	3289	72.881	59	28.8	0.012	blastn:w7;e1e2
1	1	60	5606	5555	70.312	64	27.4	0.034	blastn:w7;e1e2
1	42	71	1238	1267	80.0	30	25.1	0.097	blastn:w7;e1e2
1	220	239	2064	2045	90.0	20	25.1	0.097	blastn:w7;e1e2
1	45	64	2239	2220	90.0	20	25.1	0.097	blastn:w7;e1e2
1	220	239	2502	2521	90.0	20	25.1	0.097	blastn:w7;e1e2
1	54	77	1239	1262	84.0	25	23.6	0.27	blastn:w7;e1e2
1	221	236	2627	2642	93.75	16	22.9	0.76	blastn:w7;e1e2
1	83	118	8163	8195	73.684	38	22.9	0.76	blastn:w7;e1e2
1	216	236	1358	1339	85.714	21	22.2	0.76	blastn:w7;e1e2
1	219	247	1613	1586	77.419	31	22.2	0.76	blastn:w7;e1e2
1	219	236	1802	1785	89.474	19	22.2	0.76	blastn:w7;e1e2
1	209	236	2460	2488	77.419	31	22.2	0.76	blastn:w7;e1e2
1	220	239	1571	1552	85.0	20	21.4	2.1	blastn:w7;e1e2
1	221	245	1365	1342	80.0	25	20.7	2.1	blastn:w7;e1e2
1	220	236	1390	1374	88.235	17	20.7	2.1	blastn:w7;e1e2
1	220	236	1473	1457	88.235	17	20.7	2.1	blastn:w7;e1e2
1	220	236	1872	1856	88.235	17	20.7	2.1	blastn:w7;e1e2
1	220	236	1925	1909	88.889	18	20.7	2.1	blastn:w7;e1e2
1	220	236	2484	2500	88.235	17	20.7	2.1	blastn:w7;e1e2
1	4	15	9837	9826	100.0	12	20.7	2.1	blastn:w7;e1e2
1	221	239	1634	1616	85.0	20	19.9	5.9	blastn:w7;e1e2
1	221	239	1740	1722	84.211	19	19.9	5.9	blastn:w7;e1e2
1	221	247	2029	2004	77.778	27	19.9	5.9	blastn:w7;e1e2
1	4	29	2247	2221	77.778	27	19.9	5.9	blastn:w7;e1e2
1	220	236	2737	2752	88.235	17	19.9	5.9	blastn:w7;e1e2
1	200	229	5147	5177	75.0	32	19.9	5.9	blastn:w7;e1e2
