method	exon_index	sstart	send	reason	detail
blastn	1	9473	9507	low_complexity	entropy<0.5 fraction
blastn	1	12763	12747	basic	len/pident 17/94.118
blastn	1	9443	9465	low_complexity	entropy<0.5 fraction
blastn	1	9449	9471	low_complexity	entropy<0.5 fraction
blastn	1	17088	17100	basic	len/pident 13/100.0
blastn	1	9017	9003	basic	len/pident 15/93.333
blastn	1	5090	5101	basic	len/pident 12/100.0
blastn	1	5571	5582	basic	len/pident 12/100.0
blastn	1	9455	9480	low_complexity	entropy<0.5 fraction
blastn	1	10785	10774	basic	len/pident 12/100.0
blastn	1	14787	14803	basic	len/pident 17/88.235
blastn	1	15588	15602	basic	len/pident 17/88.235
blastn	1	18014	18030	basic	len/pident 17/88.235
blastn	1	743	725	low_complexity	entropy<0.5 fraction
blastn	1	754	741	basic	len/pident 14/92.857
blastn	1	2194	2207	basic	len/pident 14/92.857
blastn	1	2504	2517	basic	len/pident 14/92.857
blastn	1	10306	10293	basic	len/pident 14/92.857
blastn	1	16627	16640	basic	len/pident 14/92.857
blastn	1	18985	18972	basic	len/pident 14/92.857
blastn	1	683	673	basic	len/pident 11/100.0
blastn	1	773	753	low_complexity	entropy<0.5 fraction
blastn	1	808	793	basic	len/pident 16/87.5
blastn	1	1900	1915	basic	len/pident 16/87.5
blastn	1	6331	6341	basic	len/pident 11/100.0
blastn	1	8943	8953	basic	len/pident 11/100.0
blastn	1	10121	10131	basic	len/pident 11/100.0
blastn	1	16061	16076	basic	len/pident 16/87.5
blastn	1	16172	16162	basic	len/pident 11/100.0
blastn	1	17150	17140	basic	len/pident 11/100.0
blastn	1	17441	17454	basic	len/pident 14/92.857
blastn	1	18935	18945	basic	len/pident 11/100.0
blastn	1	20087	20097	basic	len/pident 11/100.0
blastn	1	32	44	basic	len/pident 13/92.308
blastn	1	408	396	basic	len/pident 13/92.308
blastn	1	749	734	basic	len/pident 16/87.5
blastn	1	785	773	basic	len/pident 13/92.308
blastn	1	1507	1495	basic	len/pident 13/92.308
blastn	1	3076	3090	basic	len/pident 16/87.5
blastn	1	3238	3226	basic	len/pident 13/92.308
blastn	1	5218	5230	basic	len/pident 13/92.308
blastn	1	5257	5269	basic	len/pident 13/92.308
blastn	1	8392	8380	basic	len/pident 13/92.308
blastn	1	9787	9775	basic	len/pident 13/92.308
blastn	1	10401	10389	basic	len/pident 13/92.308
blastn	1	11889	11901	basic	len/pident 13/92.308
blastn	1	13534	13522	basic	len/pident 13/92.308
blastn	1	15252	15240	basic	len/pident 13/92.308
blastn	1	15809	15821	basic	len/pident 13/92.308
blastn	1	1010	1024	basic	len/pident 15/86.667
blastn	1	1678	1669	basic	len/pident 10/100.0
blastn	1	2558	2567	basic	len/pident 10/100.0
blastn	1	2679	2688	basic	len/pident 10/100.0
blastn	1	3049	3040	basic	len/pident 10/100.0
blastn	1	5097	5106	basic	len/pident 10/100.0
blastn	1	5137	5146	basic	len/pident 10/100.0
blastn	1	8095	8104	basic	len/pident 10/100.0
blastn	1	8970	8961	basic	len/pident 10/100.0
blastn	1	11047	11061	basic	len/pident 15/86.667
blastn	1	12142	12151	basic	len/pident 10/100.0
blastn	1	13110	13119	basic	len/pident 10/100.0
blastn	1	13170	13179	basic	len/pident 10/100.0
blastn	1	13288	13279	basic	len/pident 10/100.0
blastn	1	15711	15720	basic	len/pident 10/100.0
blastn	1	16020	16006	basic	len/pident 15/86.667
blastn	1	16908	16899	basic	len/pident 10/100.0
blastn	1	17115	17101	basic	len/pident 15/86.667
blastn	1	17389	17375	basic	len/pident 15/86.667
blastn	1	17601	17610	basic	len/pident 10/100.0
blastn	1	18145	18136	basic	len/pident 10/100.0
blastn	2	6188	6172	basic	len/pident 17/88.235
blastn	2	9421	9433	basic	len/pident 13/92.308
blastn	2	12851	12836	basic	len/pident 16/87.5
blastn	2	815	824	basic	len/pident 10/100.0
blastn	2	5529	5538	basic	len/pident 10/100.0
blastn	2	9609	9598	basic	len/pident 13/92.308
blastn	2	19610	19622	basic	len/pident 13/92.308
blastn	2	20658	20667	basic	len/pident 10/100.0
blastn	2	16598	16582	basic	len/pident 17/82.353
blastn	2	19920	19909	basic	len/pident 12/91.667
blastn	2	931	939	basic	len/pident 9/100.0
blastn	2	1122	1133	basic	len/pident 12/91.667
blastn	2	2829	2816	basic	len/pident 14/85.714
blastn	2	5332	5324	basic	len/pident 9/100.0
blastn	2	7883	7891	basic	len/pident 9/100.0
blastn	2	8277	8269	basic	len/pident 9/100.0
blastn	2	10158	10150	basic	len/pident 9/100.0
blastn	2	11133	11141	basic	len/pident 9/100.0
blastn	2	12963	12971	basic	len/pident 9/100.0
blastn	2	15091	15083	basic	len/pident 9/100.0
blastn	2	1614	1624	basic	len/pident 11/90.909
blastn	2	3508	3495	basic	len/pident 14/85.714
blastn	2	5641	5651	basic	len/pident 11/90.909
blastn	2	8808	8818	basic	len/pident 11/90.909
blastn	2	9088	9078	basic	len/pident 11/90.909
blastn	2	9409	9399	basic	len/pident 11/90.909
blastn	2	12162	12175	basic	len/pident 14/85.714
blastn	2	14602	14612	basic	len/pident 11/90.909
blastn	2	14742	14752	basic	len/pident 11/90.909
blastn	2	16988	16998	basic	len/pident 11/90.909
blastn	2	18914	18929	basic	len/pident 16/81.25
blastn	2	20425	20435	basic	len/pident 11/90.909
blastn	2	395	388	basic	len/pident 8/100.0
blastn	2	1762	1769	basic	len/pident 8/100.0
blastn	2	1980	1973	basic	len/pident 8/100.0
blastn	2	3432	3425	basic	len/pident 8/100.0
blastn	2	3899	3892	basic	len/pident 8/100.0
blastn	2	4198	4205	basic	len/pident 8/100.0
blastn	2	4408	4401	basic	len/pident 8/100.0
blastn	2	4615	4622	basic	len/pident 8/100.0
blastn	2	4763	4770	basic	len/pident 8/100.0
blastn	2	4949	4956	basic	len/pident 8/100.0
blastn	2	5427	5434	basic	len/pident 8/100.0
blastn	2	6368	6375	basic	len/pident 8/100.0
blastn	2	7837	7830	basic	len/pident 8/100.0
blastn	2	7870	7863	basic	len/pident 8/100.0
blastn	2	10125	10132	basic	len/pident 8/100.0
blastn	2	10735	10728	basic	len/pident 8/100.0
blastn	2	10919	10912	basic	len/pident 8/100.0
blastn	2	11458	11451	basic	len/pident 8/100.0
blastn	2	12175	12187	basic	len/pident 13/84.615
blastn	2	12870	12877	basic	len/pident 8/100.0
blastn	2	13816	13823	basic	len/pident 8/100.0
blastn	2	14100	14093	basic	len/pident 8/100.0
blastn	2	14617	14610	basic	len/pident 8/100.0
blastn	2	15477	15484	basic	len/pident 8/100.0
blastn	2	15588	15581	basic	len/pident 8/100.0
blastn	2	15642	15635	basic	len/pident 8/100.0
blastn	2	16718	16711	basic	len/pident 8/100.0
blastn	2	18186	18179	basic	len/pident 8/100.0
blastn	2	18208	18201	basic	len/pident 8/100.0
blastn	2	18444	18437	basic	len/pident 8/100.0
blastn	2	18601	18594	basic	len/pident 8/100.0
blastn	2	19583	19590	basic	len/pident 8/100.0
blastn	2	19838	19845	basic	len/pident 8/100.0
blastn	2	20015	20008	basic	len/pident 8/100.0
blastn	2	20377	20384	basic	len/pident 8/100.0
blastn	2	20629	20636	basic	len/pident 8/100.0
blastn	3	17359	17374	basic	len/pident 16/93.75
blastn	3	846	831	basic	len/pident 16/87.5
blastn	3	1549	1537	basic	len/pident 13/92.308
blastn	3	4419	4407	basic	len/pident 13/92.308
blastn	3	19938	19950	basic	len/pident 13/92.308
blastn	3	747	733	basic	len/pident 15/86.667
blastn	3	8736	8727	basic	len/pident 10/100.0
blastn	3	9908	9920	basic	len/pident 13/92.308
blastn	3	14662	14653	basic	len/pident 10/100.0
blastn	3	15323	15337	basic	len/pident 15/86.667
blastn	3	17531	17522	basic	len/pident 10/100.0
blastn	3	1353	1342	basic	len/pident 12/91.667
blastn	3	4947	4936	basic	len/pident 12/91.667
blastn	3	5243	5257	basic	len/pident 15/86.667
blastn	3	6664	6653	basic	len/pident 12/91.667
blastn	3	7372	7383	basic	len/pident 12/91.667
blastn	3	9786	9797	basic	len/pident 12/91.667
blastn	3	11318	11329	basic	len/pident 12/91.667
blastn	3	12393	12404	basic	len/pident 12/91.667
blastn	3	12946	12935	basic	len/pident 12/91.667
blastn	3	15258	15269	basic	len/pident 12/91.667
blastn	3	16615	16604	basic	len/pident 12/91.667
blastn	3	17446	17457	basic	len/pident 12/91.667
blastn	3	809	801	basic	len/pident 9/100.0
blastn	3	831	823	basic	len/pident 9/100.0
blastn	3	1314	1301	basic	len/pident 14/85.714
blastn	3	1330	1322	basic	len/pident 9/100.0
blastn	3	1699	1691	basic	len/pident 9/100.0
blastn	3	1792	1800	basic	len/pident 9/100.0
blastn	3	1902	1894	basic	len/pident 9/100.0
blastn	3	2134	2126	basic	len/pident 9/100.0
blastn	3	2250	2258	basic	len/pident 9/100.0
blastn	3	3025	3033	basic	len/pident 9/100.0
blastn	3	3507	3515	basic	len/pident 9/100.0
blastn	3	3988	4001	basic	len/pident 14/85.714
blastn	3	4433	4417	basic	len/pident 17/82.353
blastn	3	4504	4496	basic	len/pident 9/100.0
blastn	3	6119	6106	basic	len/pident 14/85.714
blastn	3	6115	6123	basic	len/pident 9/100.0
blastn	3	6255	6265	basic	len/pident 12/91.667
blastn	3	8133	8141	basic	len/pident 9/100.0
blastn	3	8138	8146	basic	len/pident 9/100.0
blastn	3	8147	8139	basic	len/pident 9/100.0
blastn	3	10959	10951	basic	len/pident 9/100.0
blastn	3	11649	11657	basic	len/pident 9/100.0
blastn	3	13102	13110	basic	len/pident 9/100.0
blastn	3	13486	13499	basic	len/pident 14/85.714
blastn	3	14875	14867	basic	len/pident 9/100.0
blastn	3	15954	15946	basic	len/pident 9/100.0
blastn	3	16918	16926	basic	len/pident 9/100.0
blastn	3	17150	17158	basic	len/pident 9/100.0
blastn	3	17995	18003	basic	len/pident 9/100.0
blastn	3	18513	18505	basic	len/pident 9/100.0
blastn	3	20268	20255	basic	len/pident 14/85.714
blastn	4	8230	8241	basic	len/pident 12/100.0
blastn	4	9824	9840	basic	len/pident 17/88.235
blastn	4	7667	7657	basic	len/pident 11/100.0
blastn	4	10393	10379	basic	len/pident 16/87.5
blastn	4	1140	1129	basic	len/pident 13/92.308
blastn	4	3403	3394	basic	len/pident 10/100.0
blastn	4	6158	6169	basic	len/pident 13/92.308
blastn	4	9456	9465	basic	len/pident 10/100.0
blastn	4	11534	11546	basic	len/pident 13/92.308
blastn	4	15794	15780	basic	len/pident 15/86.667
blastn	4	16101	16092	basic	len/pident 10/100.0
blastn	4	12459	12448	basic	len/pident 12/91.667
blastn	4	400	408	basic	len/pident 9/100.0
blastn	4	2862	2854	basic	len/pident 9/100.0
blastn	4	6274	6282	basic	len/pident 9/100.0
blastn	4	9452	9460	basic	len/pident 9/100.0
blastn	4	10130	10122	basic	len/pident 9/100.0
blastn	4	11818	11826	basic	len/pident 9/100.0
blastn	4	11822	11830	basic	len/pident 9/100.0
blastn	4	13413	13421	basic	len/pident 9/100.0
blastn	4	14922	14930	basic	len/pident 9/100.0
blastn	4	20317	20309	basic	len/pident 9/100.0
blastn	4	234	224	basic	len/pident 11/90.909
blastn	4	811	823	basic	len/pident 14/85.714
blastn	4	1218	1206	basic	len/pident 14/85.714
blastn	4	3019	3009	basic	len/pident 11/90.909
blastn	4	10350	10360	basic	len/pident 11/90.909
blastn	4	10672	10682	basic	len/pident 11/90.909
blastn	4	11171	11181	basic	len/pident 11/90.909
blastn	4	13786	13770	basic	len/pident 17/82.353
blastn	4	15429	15419	basic	len/pident 11/90.909
blastn	4	19268	19278	basic	len/pident 11/90.909
blastn	4	372	365	basic	len/pident 8/100.0
blastn	4	955	962	basic	len/pident 8/100.0
blastn	4	2705	2712	basic	len/pident 8/100.0
blastn	4	2891	2898	basic	len/pident 8/100.0
blastn	4	3829	3822	basic	len/pident 8/100.0
blastn	4	3884	3891	basic	len/pident 8/100.0
blastn	4	3897	3890	basic	len/pident 8/100.0
blastn	4	5187	5180	basic	len/pident 8/100.0
blastn	4	6386	6379	basic	len/pident 8/100.0
blastn	4	8928	8921	basic	len/pident 8/100.0
blastn	4	9074	9081	basic	len/pident 8/100.0
blastn	4	9464	9471	basic	len/pident 8/100.0
blastn	4	9474	9481	basic	len/pident 8/100.0
blastn	4	9500	9507	basic	len/pident 8/100.0
blastn	4	9672	9679	basic	len/pident 8/100.0
blastn	4	10356	10363	basic	len/pident 8/100.0
blastn	4	10659	10652	basic	len/pident 8/100.0
blastn	4	11377	11365	basic	len/pident 13/84.615
blastn	4	11962	11955	basic	len/pident 8/100.0
blastn	4	12583	12590	basic	len/pident 8/100.0
blastn	4	14368	14375	basic	len/pident 8/100.0
blastn	4	14508	14515	basic	len/pident 8/100.0
blastn	4	14867	14857	basic	len/pident 13/84.615
blastn	4	14882	14894	basic	len/pident 13/84.615
blastn	4	15697	15704	basic	len/pident 8/100.0
blastn	4	16698	16691	basic	len/pident 8/100.0
blastn	4	16718	16711	basic	len/pident 8/100.0
blastn	4	18014	18007	basic	len/pident 8/100.0
blastn	4	19169	19176	basic	len/pident 8/100.0
blastn	4	20660	20667	basic	len/pident 8/100.0
blastn	5	14278	14293	basic	len/pident 17/88.235
blastn	5	15180	15167	basic	len/pident 14/92.857
blastn	5	17114	17130	basic	len/pident 17/88.235
blastn	5	8654	8640	basic	len/pident 17/88.235
blastn	5	12786	12798	basic	len/pident 14/92.857
blastn	5	14753	14765	basic	len/pident 13/92.308
blastn	5	15762	15750	basic	len/pident 13/92.308
blastn	5	19236	19251	basic	len/pident 16/87.5
blastn	5	1940	1949	basic	len/pident 10/100.0
blastn	5	7924	7915	basic	len/pident 10/100.0
blastn	5	13474	13465	basic	len/pident 10/100.0
blastn	5	13769	13758	basic	len/pident 13/92.308
