exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	1842	2001	3842	100.0	1842	2740.0	0.0	blastn:w7;e1e2
1	417	488	7892	7825	72.0	75	31.8	0.012	blastn:w7;e1e2
1	556	591	860	828	80.556	36	29.6	0.033	blastn:w7;e1e2
1	1067	1128	2780	2840	72.059	68	29.6	0.033	blastn:w7;e1e2
1	780	840	3067	3128	72.059	68	29.6	0.033	blastn:w7;e1e2
1	685	709	4828	4804	84.0	25	25.1	0.73	blastn:w7;e1e2
1	284	305	12922	12945	84.0	25	25.1	0.73	blastn:w7;e1e2
1	644	691	1295	1253	71.429	49	24.4	2.0	blastn:w7;e1e2
1	1772	1796	5704	5675	80.0	30	24.4	2.0	blastn:w7;e1e2
1	1453	1481	7257	7228	80.645	31	24.4	2.0	blastn:w7;e1e2
1	844	860	10743	10759	94.118	17	24.4	2.0	blastn:w7;e1e2
1	1417	1454	12824	12859	76.316	38	24.4	2.0	blastn:w7;e1e2
1	1454	1477	3477	3454	83.333	24	23.6	2.0	blastn:w7;e1e2
1	1461	1477	4206	4188	89.474	19	23.6	2.0	blastn:w7;e1e2
1	1793	1824	13535	13505	78.788	33	23.6	2.0	blastn:w7;e1e2
1	741	772	4251	4283	77.143	35	22.9	5.7	blastn:w7;e1e2
1	1770	1785	7248	7233	93.75	16	22.9	5.7	blastn:w7;e1e2
1	1383	1443	8870	8809	67.164	67	22.9	5.7	blastn:w7;e1e2
1	450	468	11750	11733	89.474	19	22.9	5.7	blastn:w7;e1e2
1	1471	1515	13606	13648	72.34	47	22.9	5.7	blastn:w7;e1e2
1	356	376	14541	14521	85.714	21	22.9	5.7	blastn:w7;e1e2
1	314	372	244	180	69.697	66	22.2	5.7	blastn:w7;e1e2
1	677	694	1859	1874	88.889	18	22.2	5.7	blastn:w7;e1e2
1	879	914	3946	3980	75.676	37	22.2	5.7	blastn:w7;e1e2
1	1150	1171	4731	4708	83.333	24	22.2	5.7	blastn:w7;e1e2
1	425	437	4992	5004	100.0	13	22.2	5.7	blastn:w7;e1e2
1	743	755	6110	6098	100.0	13	22.2	5.7	blastn:w7;e1e2
1	1162	1181	6620	6600	85.714	21	22.2	5.7	blastn:w7;e1e2
1	997	1023	6663	6630	73.529	34	22.2	5.7	blastn:w7;e1e2
1	1747	1785	8185	8221	72.093	43	22.2	5.7	blastn:w7;e1e2
1	1280	1302	12118	12140	82.609	23	22.2	5.7	blastn:w7;e1e2
1	1295	1310	13621	13607	93.75	16	22.2	5.7	blastn:w7;e1e2
1	739	818	14335	14416	67.816	87	22.2	5.7	blastn:w7;e1e2
1	1589	1608	1736	1717	85.0	20	21.4	16.0	blastn:w7;e1e2
1	741	760	2126	2107	85.0	20	21.4	16.0	blastn:w7;e1e2
1	935	949	2633	2647	93.333	15	21.4	16.0	blastn:w7;e1e2
1	107	126	2760	2741	85.0	20	21.4	16.0	blastn:w7;e1e2
1	1758	1780	2929	2908	82.609	23	21.4	16.0	blastn:w7;e1e2
1	633	647	2935	2949	93.333	15	21.4	16.0	blastn:w7;e1e2
1	908	929	3780	3758	82.609	23	21.4	16.0	blastn:w7;e1e2
1	1450	1475	5948	5928	76.923	26	21.4	16.0	blastn:w7;e1e2
1	930	947	6991	6975	88.889	18	21.4	16.0	blastn:w7;e1e2
1	1451	1475	8805	8829	80.0	25	21.4	16.0	blastn:w7;e1e2
1	997	1011	10487	10473	93.333	15	21.4	16.0	blastn:w7;e1e2
1	822	841	10820	10801	85.0	20	21.4	16.0	blastn:w7;e1e2
1	1532	1559	13154	13128	78.571	28	21.4	16.0	blastn:w7;e1e2
1	514	541	13777	13751	79.31	29	21.4	16.0	blastn:w7;e1e2
