exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	2150	2152	100.0	301	450.0	1.72e-129	blastn,tblastx	2151.0
1	4540	4580	83.333	24	22.2	0.67	blastn,tblastx	4571.0
1	8858	8820	80.0	32	18.9	1.5	blastn,tblastx	8844.5
1	9781	9827	83.333	26	18.4	3.7	blastn,tblastx	9804.0
1	10018	10012	68.889	45	18.3	1.2	blastn,tblastx	10014.75
1	13568	13552	76.923	26	17.7	7.1	blastn,tblastx	13564.0
1	14044	14083	80.0	25	20.7	4.9	blastn,tblastx	14057.0
1	18970	18930	84.211	21	19.2	0.34	blastn,tblastx	18950.0
2	2743	2844	100.0	103	155.0	1.8e-41	blastn,tblastx	2794.0
2	14674	14653	76.0	25	17.0	5.1	blastn,tblastx	14663.5
3	3004	3148	100.0	145	218.0	4.47e-60	blastn,tblastx	3076.0
3	3888	3820	70.0	40	24.7	0.043	blastn,tblastx	3844.75
3	10472	10384	78.571	51	21.9	0.1	blastn,tblastx	10419.5
3	12842	12890	77.778	27	18.5	2.2	blastn,tblastx	12866.25
4	229	264	80.0	20	16.6	4.8	blastn,tblastx	246.75
4	344	306	85.714	21	22.2	0.67	blastn,tblastx	331.5
4	3784	3786	100.0	158	237.0	7.61e-66	blastn,tblastx	3784.5
4	4485	4426	85.0	34	20.7	2.6	blastn,tblastx	4455.25
4	8514	8556	81.818	22	19.9	5.4	blastn,tblastx	8535.25
4	9730	9753	83.333	21	18.5	1.3	blastn,tblastx	9741.25
4	11217	11164	71.429	42	18.9	0.5	blastn,tblastx	11183.5
4	11574	11566	70.769	65	27.4	0.025	blastn,tblastx	11570.5
4	12574	12590	73.333	30	19.4	0.58	blastn,tblastx	12581.5
4	12642	12600	86.957	23	24.4	0.63	blastn,tblastx	12620.75
4	14799	14754	83.333	24	22.9	0.55	blastn,tblastx	14776.5
4	15623	15668	80.0	25	19.9	4.3	blastn,tblastx	15635.5
4	16302	16262	81.818	22	19.2	3.5	blastn,tblastx	16273.0
4	16381	16417	83.333	19	17.7	5.4	blastn,tblastx	16399.0
5	4957	5140	100.0	185	277.0	7.64e-78	blastn,tblastx	5049.0
5	12062	12022	81.481	27	22.9	1.8	blastn,tblastx	12041.75
5	14394	14305	75.0	50	19.9	1.0	blastn,tblastx	14361.0
5	17018	16956	76.19	35	17.0	4.1	blastn,tblastx	16987.5
5	19793	19818	85.714	23	21.4	0.4	blastn,tblastx	19813.5
5	19874	19852	76.923	26	20.8	0.28	blastn,tblastx	19863.25
6	943	927	78.571	28	19.9	2.6	blastn,tblastx	925.0
6	6247	6249	100.0	121	182.0	1.95e-49	blastn,tblastx	6248.0
7	6458	6610	100.0	154	231.0	4.54e-64	blastn,tblastx	6533.5
7	9132	9114	75.0	36	19.9	1.5	blastn,tblastx	9121.0
8	394	438	71.429	35	18.5	4.4	blastn,tblastx	413.5
8	8074	8076	100.0	152	228.0	3.5e-63	blastn,tblastx	8075.5
8	17248	17271	73.077	26	22.3	0.073	blastn,tblastx	17259.5
9	10414	10590	100.0	179	268.0	3.57e-75	blastn,tblastx	10502.0
9	13827	13806	81.481	27	24.4	0.23	blastn,tblastx	13823.0
9	13954	13982	82.609	26	20.7	1.7	blastn,tblastx	13967.5
9	14034	14004	75.676	37	23.6	0.23	blastn,tblastx	14025.5
9	19124	19068	82.222	45	40.0	7.52e-06	blastn,tblastx	19097.0
10	4398	4359	80.0	25	22.1	0.35	blastn,tblastx	4373.0
10	9574	9518	82.353	34	31.8	0.000441	blastn,tblastx	9534.5
10	12438	12439	100.0	441	658.0	0.0	blastn,tblastx	12438.0
10	18716	18694	91.429	35	43.7	9.59e-07	blastn,tblastx	18712.0
11	17937	17939	100.0	247	369.0	1.97e-105	blastn,tblastx	17938.0
