metric	value
hits:exon->CDS	25
hits:exon->exon	2
hits:exon->intron	139
copies:exon_to_intron_total	131
copies:exon_01_(2001-2288)	13
copies:exon_02_(6098-6161)	6
copies:exon_03_(7889-7922)	9
copies:exon_04_(12716-12805)	7
copies:exon_05_(13114-13236)	16
copies:exon_06_(18871-18965)	16
copies:exon_07_(24505-24676)	8
copies:exon_08_(25232-25333)	20
copies:exon_09_(26010-26524)	36
intron:total_raw_exon_to_intron_hits	132
intron:total_clustered_copies	111
intron_01_(1-2000):raw_hits	12
intron_01_(1-2000):clustered_copies	8
intron_02_(2289-6097):raw_hits	26
intron_02_(2289-6097):clustered_copies	22
intron_03_(6162-7888):raw_hits	7
intron_03_(6162-7888):clustered_copies	6
intron_04_(7923-12715):raw_hits	26
intron_04_(7923-12715):clustered_copies	22
intron_05_(12806-13113):raw_hits	0
intron_05_(12806-13113):clustered_copies	0
intron_06_(13237-18870):raw_hits	17
intron_06_(13237-18870):clustered_copies	16
intron_07_(18966-24504):raw_hits	32
intron_07_(18966-24504):clustered_copies	27
intron_08_(24677-25231):raw_hits	1
intron_08_(24677-25231):clustered_copies	1
intron_09_(25334-26009):raw_hits	2
intron_09_(25334-26009):clustered_copies	2
intron_10_(26525-28524):raw_hits	9
intron_10_(26525-28524):clustered_copies	7
