exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	107	3	2107	2003	100.0	35	93.9	1.64e-23	-1	tblastx:e1e1
1	106	2	2106	2002	100.0	35	92.9	3.28e-23	-2	tblastx:e1e1
1	1	108	2001	2108	100.0	36	90.9	1.27e-22	3	tblastx:e1e1
1	3	107	2003	2107	100.0	35	89.5	3.44e-22	2	tblastx:e1e1
1	108	1	2108	2001	100.0	36	86.0	3.88e-21	-3	tblastx:e1e1
1	2	106	2002	2106	100.0	35	84.3	1.28e-20	1	tblastx:e1e1
1	88	26	2199	2137	42.857	21	27.0	6.38e-06	-2	tblastx:e1e1
1	36	1	2147	2112	58.333	12	22.2	6.38e-06	-3	tblastx:e1e1
1	94	74	2297	2277	71.429	7	19.2	6.38e-06	-3	tblastx:e1e1
1	30	89	2141	2200	50.0	20	26.7	0.003	2	tblastx:e1e1
1	104	33	2430	2359	45.833	24	26.1	0.004	-2	tblastx:e1e1
1	79	44	2193	2158	58.333	12	20.1	0.007	-2	tblastx:e1e1
1	51	4	2097	2050	43.75	16	19.9	0.007	-2	tblastx:e1e1
1	103	68	2315	2280	50.0	12	16.5	0.007	-3	tblastx:e1e1
1	97	50	2162	2115	50.0	16	23.3	0.011	-3	tblastx:e1e1
1	63	10	2112	2059	33.333	18	17.7	0.011	-2	tblastx:e1e1
1	101	72	2156	2127	80.0	10	22.9	0.013	-3	tblastx:e1e1
1	76	26	2122	2072	47.059	17	17.9	0.013	-1	tblastx:e1e1
1	101	30	2141	2070	45.833	24	23.8	0.021	-3	tblastx:e1e1
1	69	19	2195	2145	41.176	17	20.8	0.056	-3	tblastx:e1e1
1	98	57	2300	2259	35.714	14	17.4	0.056	-3	tblastx:e1e1
1	70	102	2125	2157	72.727	11	22.4	0.062	1	tblastx:e1e1
1	27	77	2073	2123	47.059	17	15.7	0.062	3	tblastx:e1e1
1	105	7	1436	1338	33.333	33	21.7	0.087	-3	tblastx:e1e1
1	100	74	2094	2068	66.667	9	20.6	0.11	-2	tblastx:e1e1
1	82	59	2033	2010	62.5	8	16.5	0.11	-3	tblastx:e1e1
1	104	72	2614	2582	63.636	11	21.5	0.12	-1	tblastx:e1e1
1	85	32	1897	1844	44.444	18	20.1	0.12	-1	tblastx:e1e1
1	27	1	848	822	55.556	9	16.4	0.12	-3	tblastx:e1e1
1	97	26	2051	1980	37.5	24	21.1	0.14	-3	tblastx:e1e1
1	94	71	2156	2133	75.0	8	21.5	0.16	-3	tblastx:e1e1
1	79	11	688	620	34.783	23	18.8	0.16	-1	tblastx:e1e1
1	88	26	2156	2094	38.095	21	19.7	0.23	-3	tblastx:e1e1
1	103	71	2309	2277	45.455	11	16.1	0.23	-3	tblastx:e1e1
1	59	94	30378	30413	50.0	12	20.2	0.26	3	tblastx:e1e1
1	91	50	2162	2121	42.857	14	20.1	0.26	-3	tblastx:e1e1
1	94	68	2100	2074	66.667	9	20.6	0.31	-2	tblastx:e1e1
1	87	22	1951	1886	36.364	22	14.6	0.31	-1	tblastx:e1e1
1	101	57	2159	2115	40.0	15	19.7	0.35	-3	tblastx:e1e1
1	94	32	2101	2039	33.333	21	17.9	0.38	-1	tblastx:e1e1
1	100	77	2156	2133	62.5	8	17.0	0.38	-3	tblastx:e1e1
1	101	33	2027	1959	34.783	23	18.8	0.67	-3	tblastx:e1e1
1	36	13	2196	2173	62.5	8	16.4	0.84	-2	tblastx:e1e1
1	102	76	2300	2274	55.556	9	15.5	0.84	-3	tblastx:e1e1
1	75	28	2228	2181	31.25	16	15.5	0.84	-3	tblastx:e1e1
1	62	88	2392	2418	55.556	9	18.3	0.91	1	tblastx:e1e1
1	98	30	1479	1547	34.783	23	18.3	0.91	3	tblastx:e1e1
1	107	69	2635	2597	38.462	13	18.3	0.91	-1	tblastx:e1e1
1	13	66	28679	28732	44.444	18	18.3	0.95	2	tblastx:e1e1
1	36	4	2221	2253	63.636	11	18.2	1.0	1	tblastx:e1e1
1	57	10	2399	2446	56.25	16	18.2	1.0	2	tblastx:e1e1
1	102	4	2156	2058	33.333	33	18.2	1.0	-3	tblastx:e1e1
1	102	4	2030	1932	27.273	33	18.2	1.0	-3	tblastx:e1e1
1	101	39	2094	2032	33.333	21	17.9	1.3	-2	tblastx:e1e1
1	79	105	2252	2226	66.667	9	17.8	1.4	-3	tblastx:e1e1
1	56	70	26623	26637	100.0	5	17.4	1.7	1	tblastx:e1e1
1	94	14	2122	2042	33.333	27	17.4	1.7	-1	tblastx:e1e1
1	16	42	20195	20221	66.667	9	17.4	1.8	2	tblastx:e1e1
1	29	70	12903	12862	50.0	14	17.4	1.8	-2	tblastx:e1e1
1	86	63	2416	2393	75.0	8	17.4	1.9	-1	tblastx:e1e1
1	59	6	2306	2253	38.889	18	14.2	1.9	-3	tblastx:e1e1
1	101	36	1994	1929	31.818	22	17.0	2.4	-3	tblastx:e1e1
1	75	22	30440	30387	38.889	18	16.8	2.6	-3	tblastx:e1e1
1	102	22	2159	2079	33.333	27	16.8	2.6	-3	tblastx:e1e1
1	79	59	2409	2389	71.429	7	16.5	3.2	-2	tblastx:e1e1
1	33	89	1986	2042	36.842	19	16.2	4.0	3	tblastx:e1e1
1	21	68	2623	2576	37.5	16	16.2	4.3	-1	tblastx:e1e1
1	83	100	27511	27528	100.0	6	16.1	4.4	1	tblastx:e1e1
1	73	44	2230	2259	50.0	10	16.1	4.4	1	tblastx:e1e1
1	100	71	12293	12264	50.0	10	16.1	4.4	-3	tblastx:e1e1
1	73	44	4129	4100	50.0	10	16.1	4.4	-1	tblastx:e1e1
1	103	68	2220	2185	50.0	12	16.1	4.4	-2	tblastx:e1e1
1	100	17	2135	2052	32.143	28	16.1	4.4	-3	tblastx:e1e1
1	66	1	2223	2158	27.273	22	15.9	4.8	-2	tblastx:e1e1
1	102	70	2138	2106	45.455	11	15.9	4.8	-3	tblastx:e1e1
1	92	69	2221	2244	62.5	8	15.6	6.1	1	tblastx:e1e1
1	98	24	2159	2085	32.0	25	15.6	6.1	-3	tblastx:e1e1
1	95	78	2006	1989	83.333	6	15.6	6.1	-3	tblastx:e1e1
1	82	32	1229	1279	41.176	17	15.6	6.1	2	tblastx:e1e1
1	82	65	3607	3590	66.667	6	15.6	6.1	-1	tblastx:e1e1
1	100	38	2122	2060	38.095	21	15.6	6.1	-1	tblastx:e1e1
1	22	39	4165	4182	83.333	6	15.5	6.3	1	tblastx:e1e1
1	75	101	2181	2207	66.667	9	15.3	7.6	3	tblastx:e1e1
1	66	98	26396	26428	54.545	11	15.3	7.6	2	tblastx:e1e1
1	68	88	32323	32343	57.143	7	15.2	8.3	1	tblastx:e1e1
1	107	60	4681	4728	43.75	16	15.1	8.3	1	tblastx:e1e1
1	65	24	16673	16632	35.714	14	15.1	8.3	-3	tblastx:e1e1
1	82	56	30398	30372	44.444	9	15.1	8.3	-3	tblastx:e1e1
1	103	68	2421	2456	50.0	12	15.1	8.3	3	tblastx:e1e1
