exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	2270	2001	4270	100.0	2270	3376.0	0.0	blastn:w7;e1e2
1	964	985	23081	23059	95.652	23	32.6	0.023	blastn:w7;e1e2
1	1226	1243	3243	3226	100.0	18	29.6	0.18	blastn:w7;e1e2
1	1219	1241	7385	7408	87.5	24	26.6	1.4	blastn:w7;e1e2
1	316	350	12811	12775	78.378	37	26.6	1.4	blastn:w7;e1e2
1	316	376	49652	49598	72.308	65	26.6	1.4	blastn:w7;e1e2
1	1676	1724	60576	60528	73.077	52	26.6	1.4	blastn:w7;e1e2
1	1975	1997	5277	5255	86.957	23	25.9	3.9	blastn:w7;e1e2
1	69	89	25219	25197	86.957	23	25.9	3.9	blastn:w7;e1e2
1	74	98	2098	2074	84.615	26	25.1	3.9	blastn:w7;e1e2
1	511	525	6478	6464	100.0	15	25.1	3.9	blastn:w7;e1e2
1	1266	1324	26156	26213	70.769	65	25.1	3.9	blastn:w7;e1e2
1	973	993	46309	46327	90.476	21	25.1	3.9	blastn:w7;e1e2
1	1461	1485	56855	56833	84.0	25	25.1	3.9	blastn:w7;e1e2
1	2152	2171	6827	6806	86.364	22	24.4	11.0	blastn:w7;e1e2
1	1537	1556	8567	8585	90.0	20	24.4	11.0	blastn:w7;e1e2
1	465	481	36019	36035	94.118	17	24.4	11.0	blastn:w7;e1e2
1	1547	1565	56586	56605	90.0	20	24.4	11.0	blastn:w7;e1e2
1	623	646	2646	2623	83.333	24	23.6	11.0	blastn:w7;e1e2
1	316	334	7074	7092	89.474	19	23.6	11.0	blastn:w7;e1e2
1	79	99	14396	14417	86.364	22	23.6	11.0	blastn:w7;e1e2
1	1561	1576	15163	15179	94.118	17	23.6	11.0	blastn:w7;e1e2
1	497	515	23747	23729	89.474	19	23.6	11.0	blastn:w7;e1e2
1	1328	1343	23954	23938	94.118	17	23.6	11.0	blastn:w7;e1e2
1	319	334	37972	37956	94.118	17	23.6	11.0	blastn:w7;e1e2
1	320	336	39067	39085	89.474	19	23.6	11.0	blastn:w7;e1e2
1	606	621	16591	16606	93.75	16	22.9	31.0	blastn:w7;e1e2
1	319	334	23370	23385	93.75	16	22.9	31.0	blastn:w7;e1e2
1	319	334	23371	23386	93.75	16	22.9	31.0	blastn:w7;e1e2
1	319	334	23372	23387	93.75	16	22.9	31.0	blastn:w7;e1e2
1	319	334	23373	23388	93.75	16	22.9	31.0	blastn:w7;e1e2
1	319	334	23374	23389	93.75	16	22.9	31.0	blastn:w7;e1e2
1	319	334	23375	23390	93.75	16	22.9	31.0	blastn:w7;e1e2
1	319	334	23376	23391	93.75	16	22.9	31.0	blastn:w7;e1e2
1	319	334	23377	23392	93.75	16	22.9	31.0	blastn:w7;e1e2
1	319	334	23378	23393	93.75	16	22.9	31.0	blastn:w7;e1e2
1	319	334	23379	23394	93.75	16	22.9	31.0	blastn:w7;e1e2
1	319	334	23380	23395	93.75	16	22.9	31.0	blastn:w7;e1e2
1	319	334	23381	23396	93.75	16	22.9	31.0	blastn:w7;e1e2
1	319	334	23382	23397	93.75	16	22.9	31.0	blastn:w7;e1e2
1	319	334	23383	23398	93.75	16	22.9	31.0	blastn:w7;e1e2
1	319	334	23386	23401	93.75	16	22.9	31.0	blastn:w7;e1e2
1	1667	1682	30912	30927	93.75	16	22.9	31.0	blastn:w7;e1e2
1	462	485	31490	31468	83.333	24	22.9	31.0	blastn:w7;e1e2
1	319	337	37974	37957	89.474	19	22.9	31.0	blastn:w7;e1e2
1	261	276	39563	39578	93.75	16	22.9	31.0	blastn:w7;e1e2
1	1008	1025	133	116	88.889	18	22.2	31.0	blastn:w7;e1e2
1	1662	1674	6513	6501	100.0	13	22.2	31.0	blastn:w7;e1e2
1	317	329	7097	7109	100.0	13	22.2	31.0	blastn:w7;e1e2
1	1137	1149	8257	8269	100.0	13	22.2	31.0	blastn:w7;e1e2
1	1885	1902	9278	9295	88.889	18	22.2	31.0	blastn:w7;e1e2
1	486	498	10062	10050	100.0	13	22.2	31.0	blastn:w7;e1e2
1	1969	1986	19047	19030	88.889	18	22.2	31.0	blastn:w7;e1e2
1	1714	1726	19221	19233	100.0	13	22.2	31.0	blastn:w7;e1e2
1	317	329	28119	28131	100.0	13	22.2	31.0	blastn:w7;e1e2
1	1675	1699	30143	30168	80.769	26	22.2	31.0	blastn:w7;e1e2
1	1570	1582	36595	36607	100.0	13	22.2	31.0	blastn:w7;e1e2
1	1287	1302	48872	48858	93.75	16	22.2	31.0	blastn:w7;e1e2
1	317	334	49940	49957	88.889	18	22.2	31.0	blastn:w7;e1e2
1	319	331	51650	51638	100.0	13	22.2	31.0	blastn:w7;e1e2
1	758	770	52619	52607	100.0	13	22.2	31.0	blastn:w7;e1e2
1	2258	2270	57572	57560	100.0	13	22.2	31.0	blastn:w7;e1e2
1	1558	1586	59928	59952	79.31	29	22.2	31.0	blastn:w7;e1e2
1	318	330	62986	62974	100.0	13	22.2	31.0	blastn:w7;e1e2
1	319	331	63769	63757	100.0	13	22.2	31.0	blastn:w7;e1e2
1	1310	1334	522	498	80.0	25	21.4	86.0	blastn:w7;e1e2
1	800	824	2824	2800	80.0	25	21.4	86.0	blastn:w7;e1e2
1	317	331	7093	7107	93.333	15	21.4	86.0	blastn:w7;e1e2
1	1834	1848	9876	9890	93.333	15	21.4	86.0	blastn:w7;e1e2
1	1286	1305	12854	12835	85.0	20	21.4	86.0	blastn:w7;e1e2
1	1642	1656	13248	13262	93.333	15	21.4	86.0	blastn:w7;e1e2
1	88	109	16329	16351	82.609	23	21.4	86.0	blastn:w7;e1e2
1	315	354	19027	19058	72.5	40	21.4	86.0	blastn:w7;e1e2
1	1690	1714	27755	27777	80.769	26	21.4	86.0	blastn:w7;e1e2
1	318	332	28118	28132	93.333	15	21.4	86.0	blastn:w7;e1e2
1	2242	2261	28331	28312	85.0	20	21.4	86.0	blastn:w7;e1e2
1	1649	1667	35302	35323	81.818	22	21.4	86.0	blastn:w7;e1e2
1	1687	1706	37579	37560	85.0	20	21.4	86.0	blastn:w7;e1e2
1	1275	1289	39261	39275	93.333	15	21.4	86.0	blastn:w7;e1e2
1	1160	1174	41704	41718	93.333	15	21.4	86.0	blastn:w7;e1e2
1	1983	2007	42819	42843	80.0	25	21.4	86.0	blastn:w7;e1e2
1	57	71	43307	43293	93.333	15	21.4	86.0	blastn:w7;e1e2
1	1237	1256	43587	43606	85.0	20	21.4	86.0	blastn:w7;e1e2
1	2147	2161	48458	48472	93.333	15	21.4	86.0	blastn:w7;e1e2
1	317	331	48874	48888	93.333	15	21.4	86.0	blastn:w7;e1e2
1	1233	1252	51220	51239	85.0	20	21.4	86.0	blastn:w7;e1e2
1	319	333	51649	51635	93.333	15	21.4	86.0	blastn:w7;e1e2
1	1410	1424	52796	52810	93.333	15	21.4	86.0	blastn:w7;e1e2
1	1223	1237	54058	54044	93.333	15	21.4	86.0	blastn:w7;e1e2
1	317	331	55061	55075	93.333	15	21.4	86.0	blastn:w7;e1e2
1	317	331	62988	62974	93.333	15	21.4	86.0	blastn:w7;e1e2
1	319	333	63768	63754	93.333	15	21.4	86.0	blastn:w7;e1e2
1	921	932	4423	4434	100.0	12	20.7	86.0	blastn:w7;e1e2
1	583	594	6582	6593	100.0	12	20.7	86.0	blastn:w7;e1e2
1	391	402	8141	8152	100.0	12	20.7	86.0	blastn:w7;e1e2
1	1532	1543	9356	9345	100.0	12	20.7	86.0	blastn:w7;e1e2
1	1305	1316	10934	10923	100.0	12	20.7	86.0	blastn:w7;e1e2
1	156	172	19541	19525	88.235	17	20.7	86.0	blastn:w7;e1e2
1	316	332	21440	21456	88.235	17	20.7	86.0	blastn:w7;e1e2
1	1687	1698	22397	22386	100.0	12	20.7	86.0	blastn:w7;e1e2
1	320	331	22729	22718	100.0	12	20.7	86.0	blastn:w7;e1e2
1	319	330	22729	22718	100.0	12	20.7	86.0	blastn:w7;e1e2
1	813	824	23065	23054	100.0	12	20.7	86.0	blastn:w7;e1e2
1	595	606	25619	25608	100.0	12	20.7	86.0	blastn:w7;e1e2
1	1659	1675	29491	29475	88.235	17	20.7	86.0	blastn:w7;e1e2
1	347	358	31152	31163	100.0	12	20.7	86.0	blastn:w7;e1e2
1	1926	1937	31286	31297	100.0	12	20.7	86.0	blastn:w7;e1e2
1	1061	1072	31748	31737	100.0	12	20.7	86.0	blastn:w7;e1e2
1	239	255	32675	32659	88.235	17	20.7	86.0	blastn:w7;e1e2
1	2191	2202	32712	32723	100.0	12	20.7	86.0	blastn:w7;e1e2
1	982	993	32850	32839	100.0	12	20.7	86.0	blastn:w7;e1e2
1	498	509	34876	34887	100.0	12	20.7	86.0	blastn:w7;e1e2
1	590	606	38613	38629	88.235	17	20.7	86.0	blastn:w7;e1e2
1	321	337	39039	39055	88.235	17	20.7	86.0	blastn:w7;e1e2
1	319	335	39063	39079	88.235	17	20.7	86.0	blastn:w7;e1e2
1	168	179	42644	42655	100.0	12	20.7	86.0	blastn:w7;e1e2
