method	exon_index	sstart	send	reason	detail
blastn	1	3481	3467	basic	len/pident 15/100.0
blastn	1	8410	8396	basic	len/pident 15/93.333
blastn	1	9138	9124	basic	len/pident 15/93.333
blastn	1	2909	2896	basic	len/pident 15/93.333
blastn	1	7222	7233	basic	len/pident 12/100.0
blastn	1	19991	19978	basic	len/pident 15/93.333
blastn	1	22819	22806	basic	len/pident 14/92.857
blastn	1	25247	25231	basic	len/pident 17/88.235
blastn	1	28105	28120	basic	len/pident 17/88.235
blastn	1	742	727	basic	len/pident 16/87.5
blastn	1	1778	1763	basic	len/pident 16/87.5
blastn	1	7380	7365	basic	len/pident 16/87.5
blastn	1	7720	7735	basic	len/pident 16/87.5
blastn	1	10630	10643	basic	len/pident 14/92.857
blastn	1	18151	18141	basic	len/pident 11/100.0
blastn	1	19515	19505	basic	len/pident 11/100.0
blastn	1	827	839	basic	len/pident 13/92.308
blastn	1	4017	4029	basic	len/pident 13/92.308
blastn	1	11674	11686	basic	len/pident 13/92.308
blastn	1	12224	12212	basic	len/pident 13/92.308
blastn	1	14671	14683	basic	len/pident 13/92.308
blastn	1	19805	19793	basic	len/pident 13/92.308
blastn	1	21429	21417	basic	len/pident 13/92.308
blastn	1	22978	22966	basic	len/pident 13/92.308
blastn	1	23238	23226	basic	len/pident 13/92.308
blastn	1	25406	25394	basic	len/pident 13/92.308
blastn	1	27536	27521	basic	len/pident 16/87.5
blastn	1	919	928	basic	len/pident 10/100.0
blastn	1	1932	1941	basic	len/pident 10/100.0
blastn	1	2178	2169	basic	len/pident 10/100.0
blastn	1	2297	2288	basic	len/pident 10/100.0
blastn	1	3667	3676	basic	len/pident 10/100.0
blastn	1	5816	5807	basic	len/pident 10/100.0
blastn	1	5931	5940	basic	len/pident 10/100.0
blastn	1	9538	9547	basic	len/pident 10/100.0
blastn	1	9566	9557	basic	len/pident 10/100.0
blastn	1	10762	10776	basic	len/pident 15/86.667
blastn	1	12856	12865	basic	len/pident 10/100.0
blastn	1	17978	17987	basic	len/pident 10/100.0
blastn	1	18104	18095	basic	len/pident 10/100.0
blastn	1	19472	19461	basic	len/pident 13/92.308
blastn	1	19815	19806	basic	len/pident 10/100.0
blastn	1	19823	19809	basic	len/pident 15/86.667
blastn	1	20680	20666	basic	len/pident 15/86.667
blastn	1	21477	21491	basic	len/pident 15/86.667
blastn	1	23048	23057	basic	len/pident 10/100.0
blastn	1	23753	23739	basic	len/pident 15/86.667
blastn	1	25018	25027	basic	len/pident 10/100.0
blastn	1	27721	27712	basic	len/pident 10/100.0
blastn	1	28674	28683	basic	len/pident 10/100.0
blastn	1	28855	28841	basic	len/pident 15/86.667
blastn	2	22284	22298	basic	len/pident 15/93.333
blastn	2	22458	22447	basic	len/pident 12/100.0
blastn	2	7965	7952	basic	len/pident 14/92.857
blastn	2	12023	12036	basic	len/pident 14/92.857
blastn	2	14966	14953	basic	len/pident 14/92.857
blastn	2	16653	16638	basic	len/pident 16/87.5
blastn	2	18864	18854	basic	len/pident 11/100.0
blastn	2	22318	22308	basic	len/pident 11/100.0
