exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	301	2001	2301	100.0	301	exon	CDS
1	56	81	12170	12145	82.143	28	exon	intron
1	142	173	4944	4974	78.125	32	exon	CDS
1	89	127	17807	17849	72.727	44	exon	exon
1	185	202	16697	16714	88.889	18	exon	intron
1	50	67	6877	6893	88.889	18	exon	intron
1	51	81	15305	15334	75.758	33	exon	intron
1	125	153	499	523	79.31	29	exon	intron
1	60	77	5672	5687	88.889	18	exon	intron
1	201	221	8579	8556	79.167	24	exon	intron
1	224	250	16452	16478	78.571	28	exon	intron
1	216	233	19719	19739	80.952	21	exon	intron
1	24	41	9581	9599	84.211	19	exon	intron
1	266	296	10382	10418	72.973	37	exon	intron
1	38	55	11371	11353	84.211	19	exon	intron
1	262	280	12800	12817	84.211	19	exon	intron
1	38	56	12933	12916	84.211	19	exon	intron
1	119	197	18240	18334	65.657	99	exon	intron
1	263	280	18958	18942	84.211	19	exon	intron
1	241	258	4582	4599	83.333	18	exon	intron
1	18	35	8258	8241	84.211	19	exon	intron
1	227	244	9794	9809	83.333	18	exon	intron
1	220	240	10079	10057	78.261	23	exon	intron
1	254	274	10289	10308	80.952	21	exon	intron
1	154	178	11469	11497	76.667	30	exon	intron
1	231	258	11532	11505	75.862	29	exon	intron
1	211	233	15612	15637	76.923	26	exon	intron
1	241	295	16191	16244	68.421	57	exon	intron
1	179	195	135	118	83.333	18	exon	intron
1	45	62	7185	7204	80.0	20	exon	intron
1	71	102	12038	12070	72.727	33	exon	intron
1	109	141	2285	2312	70.588	34	exon	CDS
1	84	102	8835	8854	80.0	20	exon	intron
1	227	269	10297	10330	67.442	43	exon	intron
1	219	242	4105	4082	75.0	24	exon	intron
1	142	160	8791	8773	78.947	19	exon	intron
2	1	103	2743	2845	100.0	103	exon	CDS
2	2	42	2771	2733	76.744	43	exon	intron
2	72	91	1640	1620	85.714	21	exon	intron
2	75	100	172	192	80.769	26	exon	intron
2	86	103	1172	1189	83.333	18	exon	intron
2	47	72	3775	3750	75.0	28	exon	intron
2	77	93	4698	4715	84.211	19	exon	intron
2	80	96	10817	10800	83.333	18	exon	intron
2	37	60	14643	14663	76.0	25	exon	intron
2	59	78	124	102	78.261	23	exon	intron
2	56	76	1737	1718	77.273	22	exon	intron
2	39	62	4228	4247	75.0	24	exon	intron
2	73	93	11357	11378	77.273	22	exon	intron
2	53	68	15215	15233	78.947	19	exon	intron
2	49	67	16751	16731	76.19	21	exon	intron
3	1	145	3004	3148	100.0	145	exon	CDS
3	30	51	15453	15433	86.364	22	exon	intron
3	101	135	4867	4830	73.684	38	exon	intron
3	63	88	10432	10407	78.571	28	exon	intron
3	55	79	19152	19175	80.0	25	exon	intron
3	24	72	9258	9301	69.231	52	exon	intron
3	34	60	16839	16812	75.862	29	exon	intron
3	39	55	17119	17136	84.211	19	exon	intron
3	93	115	8640	8665	76.923	26	exon	intron
3	71	104	982	939	68.182	44	exon	intron
3	53	82	4508	4539	71.429	35	exon	intron
3	112	138	10544	10571	75.0	28	exon	exon
3	64	85	10583	10605	79.167	24	exon	exon
3	61	80	10924	10941	80.0	20	exon	intron
3	74	92	2124	2105	80.0	20	exon	intron
3	29	66	3867	3829	70.0	40	exon	intron
3	34	49	15422	15405	83.333	18	exon	intron
3	8	50	19589	19553	70.455	44	exon	intron
3	99	137	8636	8681	67.391	46	exon	intron
3	23	50	18256	18285	74.194	31	exon	intron
3	119	142	1238	1213	73.077	26	exon	intron
3	56	72	1475	1492	78.947	19	exon	intron
3	43	59	11480	11500	76.19	21	exon	intron
