method	exon_index	sstart	send	reason	detail
blastn	1	13836	13820	basic	len/pident 17/94.118
blastn	1	16061	16045	basic	len/pident 17/94.118
blastn	1	17643	17627	basic	len/pident 17/94.118
blastn	1	12176	12164	basic	len/pident 13/100.0
blastn	1	12826	12840	basic	len/pident 15/93.333
blastn	1	13450	13436	basic	len/pident 15/93.333
blastn	1	18472	18486	basic	len/pident 15/93.333
blastn	1	439	453	basic	len/pident 15/93.333
blastn	1	4840	4826	basic	len/pident 15/93.333
blastn	1	18413	18429	basic	len/pident 17/88.235
blastn	1	11433	11420	basic	len/pident 14/92.857
blastn	1	11493	11509	basic	len/pident 17/88.235
blastn	1	12308	12295	basic	len/pident 14/92.857
blastn	1	16648	16661	basic	len/pident 14/92.857
blastn	1	2150	2135	basic	len/pident 16/87.5
blastn	1	3101	3091	basic	len/pident 11/100.0
blastn	1	3647	3662	basic	len/pident 16/87.5
blastn	1	5391	5378	basic	len/pident 14/92.857
blastn	1	7061	7051	basic	len/pident 11/100.0
blastn	1	7570	7580	basic	len/pident 11/100.0
blastn	1	10377	10362	basic	len/pident 16/87.5
blastn	1	11088	11078	basic	len/pident 11/100.0
blastn	1	12053	12043	basic	len/pident 11/100.0
blastn	1	16088	16073	basic	len/pident 16/87.5
blastn	1	16270	16260	basic	len/pident 11/100.0
blastn	1	16656	16646	basic	len/pident 11/100.0
blastn	1	17756	17746	basic	len/pident 11/100.0
blastn	1	18497	18487	basic	len/pident 11/100.0
blastn	1	22811	22801	basic	len/pident 11/100.0
blastn	1	22951	22939	basic	len/pident 14/92.857
blastn	1	23409	23419	basic	len/pident 11/100.0
blastn	1	23895	23905	basic	len/pident 11/100.0
blastn	1	1600	1588	basic	len/pident 13/92.308
blastn	1	12000	11988	basic	len/pident 13/92.308
blastn	1	13038	13024	basic	len/pident 16/87.5
blastn	1	13436	13450	basic	len/pident 16/87.5
blastn	1	13639	13651	basic	len/pident 13/92.308
blastn	1	13807	13819	basic	len/pident 13/92.308
blastn	1	14914	14926	basic	len/pident 13/92.308
blastn	1	18329	18341	basic	len/pident 13/92.308
blastn	1	18433	18418	basic	len/pident 16/87.5
blastn	1	18931	18919	basic	len/pident 13/92.308
blastn	1	39	25	basic	len/pident 15/86.667
blastn	1	193	184	basic	len/pident 10/100.0
blastn	1	1552	1561	basic	len/pident 10/100.0
blastn	1	2229	2220	basic	len/pident 10/100.0
blastn	1	2284	2275	basic	len/pident 10/100.0
blastn	1	2538	2529	basic	len/pident 10/100.0
blastn	1	2755	2746	basic	len/pident 10/100.0
blastn	1	3100	3086	basic	len/pident 15/86.667
blastn	1	4158	4149	basic	len/pident 10/100.0
blastn	1	4401	4415	basic	len/pident 15/86.667
blastn	1	9593	9602	basic	len/pident 10/100.0
blastn	1	11909	11918	basic	len/pident 10/100.0
blastn	1	18940	18931	basic	len/pident 10/100.0
blastn	1	19812	19803	basic	len/pident 10/100.0
blastn	1	19817	19826	basic	len/pident 10/100.0
blastn	1	21392	21383	basic	len/pident 10/100.0
blastn	1	22568	22577	basic	len/pident 10/100.0
blastn	1	22615	22624	basic	len/pident 10/100.0
blastn	1	23145	23154	basic	len/pident 10/100.0
blastn	1	24177	24168	basic	len/pident 10/100.0
blastn	2	3798	3784	basic	len/pident 15/93.333
blastn	2	2994	2979	basic	len/pident 16/87.5
blastn	2	18828	18816	basic	len/pident 13/92.308
blastn	2	20125	20137	basic	len/pident 13/92.308
blastn	2	860	871	basic	len/pident 13/92.308
blastn	2	1233	1224	basic	len/pident 10/100.0
blastn	2	7863	7854	basic	len/pident 10/100.0
blastn	2	11154	11163	basic	len/pident 10/100.0
blastn	2	16607	16598	basic	len/pident 10/100.0
blastn	2	22884	22875	basic	len/pident 10/100.0
blastn	2	2029	2015	basic	len/pident 15/86.667
blastn	2	6016	6005	basic	len/pident 12/91.667
blastn	2	14738	14749	basic	len/pident 12/91.667
blastn	2	18504	18515	basic	len/pident 12/91.667
blastn	2	18856	18845	basic	len/pident 12/91.667
blastn	2	20137	20153	basic	len/pident 17/82.353
blastn	2	773	760	basic	len/pident 14/85.714
blastn	2	902	910	basic	len/pident 9/100.0
blastn	2	1002	1010	basic	len/pident 9/100.0
blastn	2	2054	2046	basic	len/pident 9/100.0
blastn	2	3285	3277	basic	len/pident 9/100.0
blastn	2	3591	3583	basic	len/pident 9/100.0
blastn	2	3668	3676	basic	len/pident 9/100.0
blastn	2	5243	5235	basic	len/pident 9/100.0
blastn	2	8780	8765	basic	len/pident 16/81.25
blastn	2	15282	15290	basic	len/pident 9/100.0
blastn	2	15703	15711	basic	len/pident 9/100.0
blastn	2	16429	16419	basic	len/pident 12/91.667
blastn	2	16598	16606	basic	len/pident 9/100.0
blastn	2	17039	17047	basic	len/pident 9/100.0
blastn	2	24328	24341	basic	len/pident 14/85.714
blastn	2	2177	2187	basic	len/pident 11/90.909
blastn	2	3373	3363	basic	len/pident 11/90.909
blastn	2	6842	6852	basic	len/pident 11/90.909
blastn	2	8049	8039	basic	len/pident 11/90.909
blastn	2	10374	10364	basic	len/pident 11/90.909
blastn	2	16463	16453	basic	len/pident 11/90.909
blastn	2	23416	23406	basic	len/pident 11/90.909
blastn	2	1803	1810	basic	len/pident 8/100.0
blastn	2	2028	2035	basic	len/pident 8/100.0
blastn	2	2203	2196	basic	len/pident 8/100.0
blastn	2	2383	2390	basic	len/pident 8/100.0
blastn	2	3092	3085	basic	len/pident 8/100.0
blastn	2	3116	3109	basic	len/pident 8/100.0
blastn	2	3283	3276	basic	len/pident 8/100.0
blastn	2	3996	3989	basic	len/pident 8/100.0
blastn	2	5676	5669	basic	len/pident 8/100.0
blastn	2	6505	6512	basic	len/pident 8/100.0
blastn	2	6957	6950	basic	len/pident 8/100.0
blastn	2	7241	7248	basic	len/pident 8/100.0
blastn	2	7557	7550	basic	len/pident 8/100.0
blastn	2	7633	7626	basic	len/pident 8/100.0
blastn	2	7637	7644	basic	len/pident 8/100.0
blastn	2	8447	8440	basic	len/pident 8/100.0
blastn	2	8571	8564	basic	len/pident 8/100.0
blastn	2	10179	10186	basic	len/pident 8/100.0
blastn	2	11068	11061	basic	len/pident 8/100.0
blastn	2	11082	11089	basic	len/pident 8/100.0
blastn	2	11717	11724	basic	len/pident 8/100.0
blastn	2	11951	11944	basic	len/pident 8/100.0
blastn	2	11994	11987	basic	len/pident 8/100.0
blastn	2	12145	12152	basic	len/pident 8/100.0
blastn	2	13527	13534	basic	len/pident 8/100.0
blastn	2	14298	14286	basic	len/pident 13/84.615
blastn	2	14867	14879	basic	len/pident 13/84.615
blastn	2	16564	16571	basic	len/pident 8/100.0
blastn	2	18856	18849	basic	len/pident 8/100.0
blastn	2	18924	18917	basic	len/pident 8/100.0
blastn	2	19722	19715	basic	len/pident 8/100.0
blastn	2	20134	20127	basic	len/pident 8/100.0
blastn	2	21008	21001	basic	len/pident 8/100.0
blastn	2	21393	21386	basic	len/pident 8/100.0
blastn	2	22876	22869	basic	len/pident 8/100.0
blastn	2	23011	23004	basic	len/pident 8/100.0
blastn	2	23177	23184	basic	len/pident 8/100.0
blastn	2	23520	23513	basic	len/pident 8/100.0
blastn	3	3919	3904	basic	len/pident 16/93.75
blastn	3	11874	11863	basic	len/pident 12/100.0
blastn	3	21856	21843	basic	len/pident 14/92.857
blastn	3	10589	10576	basic	len/pident 14/92.857
blastn	3	20953	20963	basic	len/pident 11/100.0
blastn	3	23993	24005	basic	len/pident 14/92.857
blastn	3	2555	2567	basic	len/pident 13/92.308
