exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	1272	2001	3272	100.0	1272	1892.0	0.0	blastn:w7;e1e2
1	415	607	2607	2415	69.524	210	72.7	3.26e-15	blastn:w7;e1e2
1	520	731	3494	3280	67.965	231	64.5	1.58e-12	blastn:w7;e1e2
1	925	1065	3333	3469	67.516	157	49.6	4.68e-08	blastn:w7;e1e2
1	937	1085	2413	2575	66.667	174	45.9	3.67e-07	blastn:w7;e1e2
1	413	575	2937	3085	66.667	174	45.9	3.67e-07	blastn:w7;e1e2
1	873	911	12507	12470	87.179	39	41.5	8.08e-06	blastn:w7;e1e2
1	942	1087	2667	2533	66.883	154	38.5	6.34e-05	blastn:w7;e1e2
1	533	667	3087	2942	66.883	154	38.5	6.34e-05	blastn:w7;e1e2
1	1011	1110	4017	3913	69.725	109	38.5	6.34e-05	blastn:w7;e1e2
1	1	80	19784	19870	71.91	89	38.5	6.34e-05	blastn:w7;e1e2
1	425	765	2990	3323	63.325	379	37.0	0.000177	blastn:w7;e1e2
1	432	594	3311	3476	65.574	183	37.0	0.000177	blastn:w7;e1e2
1	456	628	3489	3331	65.027	183	37.0	0.000177	blastn:w7;e1e2
1	990	1185	2425	2629	64.815	216	36.3	0.000497	blastn:w7;e1e2
1	990	1205	2599	2377	64.583	240	35.5	0.000497	blastn:w7;e1e2
1	377	599	3205	2990	64.583	240	35.5	0.000497	blastn:w7;e1e2
1	970	1043	3980	3900	70.93	86	35.5	0.000497	blastn:w7;e1e2
1	427	596	4000	3822	64.948	194	34.8	0.001	blastn:w7;e1e2
1	945	1034	4213	4294	69.149	94	34.8	0.001	blastn:w7;e1e2
1	875	900	12493	12467	92.593	27	34.8	0.001	blastn:w7;e1e2
1	1000	1074	2424	2492	71.429	77	34.0	0.001	blastn:w7;e1e2
1	519	602	2602	2519	68.085	94	34.0	0.001	blastn:w7;e1e2
1	424	492	3000	3074	71.429	77	34.0	0.001	blastn:w7;e1e2
1	1016	1177	3503	3351	66.272	169	34.0	0.001	blastn:w7;e1e2
1	562	732	3880	4047	63.298	188	28.1	0.086	blastn:w7;e1e2
1	40	56	19914	19898	100.0	17	28.1	0.086	blastn:w7;e1e2
1	996	1073	2676	2755	67.816	87	26.6	0.24	blastn:w7;e1e2
1	676	755	2996	3073	67.816	87	26.6	0.24	blastn:w7;e1e2
1	955	1086	3484	3343	64.238	151	26.6	0.24	blastn:w7;e1e2
1	520	590	3845	3922	69.512	82	26.6	0.24	blastn:w7;e1e2
1	875	904	12499	12467	80.0	35	26.6	0.24	blastn:w7;e1e2
1	417	470	2470	2417	70.0	60	25.1	0.67	blastn:w7;e1e2
1	1039	1185	3185	3039	62.963	162	25.1	0.67	blastn:w7;e1e2
1	294	310	3861	3878	94.444	18	25.1	0.67	blastn:w7;e1e2
1	671	784	4197	4299	65.546	119	25.1	0.67	blastn:w7;e1e2
1	1000	1022	5627	5648	86.957	23	25.1	0.67	blastn:w7;e1e2
1	448	478	1520	1490	78.788	33	24.4	1.9	blastn:w7;e1e2
