exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	1369	2001	3369	100.0	1369	exon	CDS
1	994	1035	3035	2994	75.556	45	exon	intron
1	150	183	8269	8302	79.412	34	exon	intron
1	959	991	16008	16041	79.412	34	exon	intron
1	660	709	12772	12815	72.549	51	exon	exon
1	1052	1080	9033	9058	79.31	29	exon	intron
1	660	678	1099	1083	89.474	19	exon	intron
1	17	42	1819	1841	80.769	26	exon	intron
1	430	450	10262	10241	86.364	22	exon	intron
1	408	446	2446	2408	73.171	41	exon	intron
1	402	450	5999	5950	70.588	51	exon	intron
1	891	910	7854	7834	85.714	21	exon	intron
1	437	459	10255	10235	82.609	23	exon	intron
1	1177	1204	1169	1195	78.571	28	exon	intron
1	422	449	3607	3580	76.667	30	exon	intron
1	395	415	7338	7320	85.714	21	exon	intron
1	1290	1314	9895	9919	80.0	25	exon	intron
1	430	449	14626	14607	85.0	20	exon	intron
1	79	130	14903	14851	68.333	60	exon	intron
1	632	672	5757	5716	70.213	47	exon	intron
1	410	428	6005	6021	84.211	19	exon	intron
1	1073	1093	4211	4191	80.952	21	exon	intron
1	429	447	5547	5564	84.211	19	exon	intron
1	496	514	7390	7407	84.211	19	exon	intron
1	939	959	14495	14513	80.952	21	exon	exon
1	891	916	14817	14792	76.923	26	exon	intron
2	1	72	5726	5797	100.0	72	exon	CDS
2	16	44	12577	12550	80.0	30	exon	intron
2	8	29	11904	11884	86.364	22	exon	intron
2	33	58	5290	5263	79.31	29	exon	intron
2	15	46	8716	8690	75.0	32	exon	intron
2	14	33	6095	6075	80.952	21	exon	intron
2	33	49	8458	8475	83.333	18	exon	intron
2	1	40	9328	9369	68.085	47	exon	CDS
2	26	49	10278	10249	70.968	31	exon	intron
2	1	27	11202	11173	73.333	30	exon	intron
2	28	49	14635	14614	78.261	23	exon	intron
2	10	34	10459	10479	76.0	25	exon	intron
2	2	24	195	173	73.077	26	exon	intron
2	12	66	2210	2154	66.667	63	exon	intron
2	28	50	3075	3049	74.074	27	exon	intron
2	19	33	5165	5182	77.778	18	exon	intron
2	7	28	5686	5705	77.273	22	exon	intron
2	9	37	9579	9551	71.875	32	exon	intron
2	26	48	12813	12836	75.0	24	exon	exon
2	12	35	859	883	74.074	27	exon	intron
2	2	29	2251	2275	70.0	30	exon	exon
2	43	67	9048	9071	74.074	27	exon	intron
2	19	38	10196	10216	76.19	21	exon	intron
2	45	62	987	1003	77.778	18	exon	intron
2	40	59	5183	5160	72.0	25	exon	intron
2	43	60	5557	5571	77.778	18	exon	intron
2	3	65	15002	14949	66.667	66	exon	intron
3	1	114	6469	6582	100.0	114	exon	CDS
3	33	69	10425	10462	75.0	40	exon	intron
3	55	98	5857	5813	72.917	48	exon	intron
3	42	65	5664	5688	80.0	25	exon	intron
3	91	113	8848	8826	80.0	25	exon	intron
3	39	61	11585	11563	79.167	24	exon	intron
3	55	101	11819	11859	68.75	48	exon	exon
3	50	82	209	240	73.529	34	exon	intron
3	80	99	5206	5225	80.0	20	exon	intron
3	90	114	11688	11668	76.0	25	exon	intron
3	47	62	14262	14245	83.333	18	exon	intron
