exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	2002	2860	100.0	860	1280.0	0.0	blastn,tblastx	2430.5
1	3478	3416	80.0	34	20.8	2.7	blastn,tblastx	3447.25
1	9534	9542	67.816	87	25.1	0.64	blastn,tblastx	9542.5
1	13726	13670	83.333	30	22.9	0.77	blastn,tblastx	13693.5
1	15137	15095	80.0	30	24.4	1.8	blastn,tblastx	15127.25
1	16303	16368	72.093	43	22.1	4.9	blastn,tblastx	16330.0
1	19524	19492	76.923	29	19.9	5.4	blastn,tblastx	19508.25
1	22854	22868	80.769	26	22.2	0.8	blastn,tblastx	22845.5
1	25162	25181	81.818	22	19.9	5.4	blastn,tblastx	25171.25
1	27819	27936	74.691	162	89.0	1.64e-19	blastn,tblastx	27872.5
2	1438	1402	80.0	20	20.3	7.9	blastn,tblastx	1410.0
2	4170	4206	83.333	18	20.3	8.0	blastn,tblastx	4188.0
2	4284	4286	100.0	1728	2570.0	0.0	blastn,tblastx	4285.5
2	4444	4428	76.0	25	20.3	7.9	blastn,tblastx	4435.5
2	7623	7586	85.714	21	22.2	9.2	blastn,tblastx	7599.0
2	12458	12429	79.412	34	28.1	0.17	blastn,tblastx	12453.0
2	13792	13834	88.889	23	22.2	9.2	blastn,tblastx	13813.5
2	13974	14010	72.973	37	24.0	0.63	blastn,tblastx	13991.75
2	16064	16111	85.0	25	20.7	1.2	blastn,tblastx	16092.5
2	24108	24084	88.889	22	21.4	5.8	blastn,tblastx	24106.0
3	994	940	85.0	30	22.6	0.042	blastn,tblastx	967.5
3	6218	6286	81.818	39	34.1	0.001	blastn,tblastx	6263.75
3	5316	8978	100.0	3664	5447.0	0.0	blastn,tblastx	7147.5
3	11989	11978	76.596	47	28.8	0.36	blastn,tblastx	11989.0
3	13488	13506	73.171	41	25.1	2.8	blastn,tblastx	13497.25
3	15156	15216	76.471	68	45.2	4.32e-06	blastn,tblastx	15178.0
3	19902	19835	69.512	82	31.8	0.042	blastn,tblastx	19873.0
3	24714	24674	76.0	25	21.7	6.7	blastn,tblastx	24688.0
3	25770	25706	73.333	75	40.0	9.49e-05	blastn,tblastx	25744.0
4	8330	8372	83.333	24	19.4	2.4	blastn,tblastx	8349.25
4	9718	9719	100.0	85	129.0	2.16e-33	blastn,tblastx	9719.0
5	5732	5755	80.0	22	20.8	0.31	blastn,tblastx	5743.5
5	10226	10384	100.0	159	239.0	3.87e-66	blastn,tblastx	10305.0
5	10452	10410	81.818	22	21.7	0.16	blastn,tblastx	10437.5
6	11074	11076	100.0	333	497.0	1.32e-143	blastn,tblastx	11075.0
7	3100	3076	80.0	22	19.9	0.58	blastn,tblastx	3088.0
7	14113	14266	100.0	154	231.0	6.41e-64	blastn,tblastx	14189.5
8	14654	14655	100.0	125	188.0	4.66e-51	blastn,tblastx	14655.0
9	18961	18962	100.0	92	139.0	1.79e-36	blastn,tblastx	18961.5
9	26940	26902	80.0	20	18.0	0.000788	blastn,tblastx	26921.0
10	19478	19480	100.0	163	245.0	6.48e-68	blastn,tblastx	19479.0
11	26468	26469	100.0	191	286.0	2.33e-80	blastn,tblastx	26469.0
11	26878	26878	68.966	87	28.8	0.005	blastn,tblastx	26878.0
