exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	2	3940	2002	5940	100.0	1313	3069.0	0.0	1	tblastx:e1e1
1	3940	2	5940	2002	100.0	1313	3062.0	0.0	-1	tblastx:e1e1
1	1	3939	2001	5939	100.0	1313	3055.0	0.0	3	tblastx:e1e1
1	3	3941	2003	5941	100.0	1313	3042.0	0.0	2	tblastx:e1e1
1	3939	1	5939	2001	100.0	1313	3040.0	0.0	-2	tblastx:e1e1
1	3941	3	5941	2003	100.0	1313	3036.0	0.0	-3	tblastx:e1e1
1	119	3	2107	1991	58.974	39	53.8	1.81e-13	-3	tblastx:e1e1
1	1118	1071	12598	12551	62.5	16	32.2	1.81e-13	-3	tblastx:e1e1
1	1048	962	12526	12440	48.276	29	30.4	1.81e-13	-3	tblastx:e1e1
1	840	757	12313	12230	35.714	28	29.9	1.81e-13	-3	tblastx:e1e1
1	464	432	6017	5985	54.545	11	19.4	1.81e-13	-2	tblastx:e1e1
1	331	284	5799	5752	50.0	16	19.4	1.81e-13	-1	tblastx:e1e1
1	3	158	1925	2080	51.923	52	59.7	5.52e-12	2	tblastx:e1e1
1	962	1039	12440	12517	53.846	26	30.4	5.52e-12	2	tblastx:e1e1
1	835	927	12309	12401	48.387	31	24.4	5.52e-12	3	tblastx:e1e1
1	1072	1116	12552	12596	66.667	15	23.1	5.52e-12	3	tblastx:e1e1
1	1028	1069	12507	12548	57.143	14	22.1	5.52e-12	3	tblastx:e1e1
1	669	695	6712	6738	66.667	9	21.2	5.52e-12	1	tblastx:e1e1
1	206	235	3577	3606	60.0	10	19.4	5.52e-12	1	tblastx:e1e1
1	3	134	1937	2068	54.545	44	57.0	8.21e-11	2	tblastx:e1e1
1	3	134	1943	2074	54.545	44	57.0	8.21e-11	2	tblastx:e1e1
1	3	131	1913	2041	55.814	43	56.1	1.55e-10	2	tblastx:e1e1
1	3	131	1916	2044	55.814	43	56.1	1.55e-10	2	tblastx:e1e1
1	3	131	1919	2047	55.814	43	56.1	1.55e-10	2	tblastx:e1e1
1	3	125	1949	2071	56.098	41	56.1	1.55e-10	2	tblastx:e1e1
1	3	71	1985	2053	86.957	23	56.1	1.55e-10	2	tblastx:e1e1
1	3	71	1922	1990	86.957	23	55.6	2.13e-10	2	tblastx:e1e1
1	3	71	1928	1996	86.957	23	55.6	2.13e-10	2	tblastx:e1e1
1	3	71	1931	1999	86.957	23	55.6	2.13e-10	2	tblastx:e1e1
1	3	71	1934	2002	86.957	23	55.6	2.13e-10	2	tblastx:e1e1
1	3	71	1940	2008	86.957	23	55.6	2.13e-10	2	tblastx:e1e1
1	3	71	1946	2014	86.957	23	55.6	2.13e-10	2	tblastx:e1e1
1	3	71	1952	2020	86.957	23	55.6	2.13e-10	2	tblastx:e1e1
1	3	71	1955	2023	86.957	23	55.6	2.13e-10	2	tblastx:e1e1
1	3	71	1958	2026	86.957	23	55.6	2.13e-10	2	tblastx:e1e1
1	3	71	1961	2029	86.957	23	55.6	2.13e-10	2	tblastx:e1e1
1	3	71	1964	2032	86.957	23	55.6	2.13e-10	2	tblastx:e1e1
1	3	71	1967	2035	86.957	23	55.6	2.13e-10	2	tblastx:e1e1
1	3	71	1970	2038	86.957	23	55.6	2.13e-10	2	tblastx:e1e1
1	3	71	1973	2041	86.957	23	55.6	2.13e-10	2	tblastx:e1e1
1	3	71	1976	2044	86.957	23	55.6	2.13e-10	2	tblastx:e1e1
1	3	71	1979	2047	86.957	23	55.6	2.13e-10	2	tblastx:e1e1
1	3	74	1997	2068	83.333	24	54.7	4.02e-10	2	tblastx:e1e1
1	3	65	1982	2044	90.476	21	54.2	5.52e-10	2	tblastx:e1e1
1	3	71	1991	2059	82.609	23	53.8	7.59e-10	2	tblastx:e1e1
1	6	131	1913	2038	54.762	42	53.3	1.04e-09	2	tblastx:e1e1
1	151	2	2139	1990	48.0	50	51.0	2.11e-09	-1	tblastx:e1e1
1	1038	961	12516	12439	50.0	26	28.6	2.11e-09	-1	tblastx:e1e1
1	769	623	2768	2622	28.571	49	24.0	2.11e-09	-2	tblastx:e1e1
1	3	62	1988	2047	90.0	20	51.5	3.71e-09	2	tblastx:e1e1
1	9	131	1913	2035	53.659	41	50.6	7.01e-09	2	tblastx:e1e1
1	3	110	1994	2101	58.333	36	49.6	1.32e-08	2	tblastx:e1e1
1	3	68	2009	2074	81.818	22	49.2	1.82e-08	2	tblastx:e1e1
1	146	3	2098	1955	47.917	48	49.2	1.82e-08	-3	tblastx:e1e1
1	12	149	1913	2050	50.0	46	48.7	2.5e-08	2	tblastx:e1e1
1	110	3	2086	1979	58.333	36	48.3	3.43e-08	-3	tblastx:e1e1
1	3	65	2000	2062	80.952	21	47.8	4.71e-08	2	tblastx:e1e1
1	134	3	2068	1937	52.273	44	46.4	1.22e-07	-3	tblastx:e1e1
1	71	3	2053	1985	82.609	23	46.4	1.22e-07	-3	tblastx:e1e1
1	64	2	2046	1984	90.476	21	46.4	1.22e-07	-1	tblastx:e1e1
1	64	2	2043	1981	90.476	21	46.4	1.22e-07	-1	tblastx:e1e1
1	64	2	2040	1978	90.476	21	46.4	1.22e-07	-1	tblastx:e1e1
1	64	2	2037	1975	90.476	21	46.4	1.22e-07	-1	tblastx:e1e1
1	64	2	2034	1972	90.476	21	46.4	1.22e-07	-1	tblastx:e1e1
1	64	2	2031	1969	90.476	21	46.4	1.22e-07	-1	tblastx:e1e1
1	64	2	2028	1966	90.476	21	46.4	1.22e-07	-1	tblastx:e1e1
1	64	2	2025	1963	90.476	21	46.4	1.22e-07	-1	tblastx:e1e1
1	64	2	2022	1960	90.476	21	46.4	1.22e-07	-1	tblastx:e1e1
1	64	2	2019	1957	90.476	21	46.4	1.22e-07	-1	tblastx:e1e1
1	64	2	2016	1954	90.476	21	46.4	1.22e-07	-1	tblastx:e1e1
1	64	2	2013	1951	90.476	21	46.4	1.22e-07	-1	tblastx:e1e1
1	64	2	2010	1948	90.476	21	46.4	1.22e-07	-1	tblastx:e1e1
1	64	2	2007	1945	90.476	21	46.4	1.22e-07	-1	tblastx:e1e1
1	64	2	2004	1942	90.476	21	46.4	1.22e-07	-1	tblastx:e1e1
