exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	221	2001	2221	100.0	221	exon	CDS
1	114	179	133	73	71.429	70	exon	intron
1	148	203	4288	4354	70.588	68	exon	intron
1	107	185	1876	1961	67.778	90	exon	intron
1	147	164	3497	3481	94.444	18	exon	intron
1	150	206	837	782	70.492	61	exon	intron
1	153	200	4074	4125	72.222	54	exon	intron
1	40	61	3721	3741	86.364	22	exon	intron
1	163	211	4105	4159	69.492	59	exon	intron
1	138	211	4161	4238	69.412	85	exon	intron
1	106	181	3839	3915	67.089	79	exon	intron
1	76	95	2962	2946	85.0	20	exon	intron
1	151	210	4149	4213	68.657	67	exon	intron
1	161	188	4214	4187	79.31	29	exon	intron
1	74	128	4340	4287	71.186	59	exon	intron
1	152	208	5424	5471	70.175	57	exon	intron
1	182	211	602	570	76.471	34	exon	intron
1	177	201	747	774	78.571	28	exon	intron
1	58	95	1076	1039	73.171	41	exon	intron
1	3	30	1099	1122	78.571	28	exon	intron
1	77	98	2800	2821	81.818	22	exon	CDS
1	162	203	3841	3882	72.727	44	exon	intron
1	75	101	4635	4661	77.778	27	exon	intron
1	121	207	3075	3151	67.045	88	exon	CDS
1	148	209	125	181	67.188	64	exon	intron
1	79	107	1937	1909	75.0	32	exon	intron
1	21	56	3979	3944	72.973	37	exon	intron
1	162	193	4004	4032	72.727	33	exon	intron
1	77	96	392	372	80.952	21	exon	intron
1	26	47	2458	2435	79.167	24	exon	intron
1	139	197	3807	3862	66.667	66	exon	intron
1	132	166	4840	4874	71.795	39	exon	intron
1	92	121	919	890	73.333	30	exon	intron
1	165	182	1036	1052	83.333	18	exon	intron
1	114	131	4393	4412	80.952	21	exon	intron
1	43	60	5276	5262	83.333	18	exon	intron
1	171	190	33	15	80.0	20	exon	intron
1	134	173	368	407	69.767	43	exon	intron
1	154	175	1141	1120	77.273	22	exon	intron
1	94	120	3204	3182	74.074	27	exon	intron
1	175	198	3798	3818	75.0	24	exon	intron
1	152	171	4211	4190	77.273	22	exon	intron
1	94	127	142	173	72.222	36	exon	intron
1	22	65	488	439	68.627	51	exon	intron
1	152	177	675	705	70.968	31	exon	intron
