exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	803	2001	2803	100.0	803	exon	CDS
1	303	335	16517	16544	78.788	33	exon	intron
1	125	151	2151	2125	81.481	27	exon	intron
1	283	315	4539	4507	77.143	35	exon	intron
1	605	638	3684	3716	77.143	35	exon	intron
1	460	494	6322	6355	75.0	36	exon	intron
1	510	539	6163	6131	76.471	34	exon	intron
1	7	28	1407	1386	82.609	23	exon	intron
1	139	168	4630	4656	76.667	30	exon	intron
1	384	416	7786	7749	71.795	39	exon	intron
1	444	463	10337	10319	85.0	20	exon	intron
1	359	405	14312	14266	71.429	49	exon	intron
1	300	319	15040	15061	81.818	22	exon	intron
1	781	802	12390	12408	81.818	22	exon	intron
1	379	402	13068	13091	79.167	24	exon	intron
1	512	540	13661	13689	75.862	29	exon	intron
1	12	44	14422	14452	73.529	34	exon	intron
1	61	78	4472	4490	84.211	19	exon	intron
1	140	158	7634	7617	84.211	19	exon	intron
1	324	350	10273	10300	76.667	30	exon	intron
1	382	402	6928	6947	80.952	21	exon	CDS
1	108	125	13535	13518	83.333	18	exon	intron
1	672	696	17807	17831	76.0	25	exon	intron
2	1	93	3394	3486	100.0	93	exon	CDS
2	5	37	6952	6917	75.676	37	exon	intron
2	23	57	13414	13448	75.0	36	exon	intron
2	24	40	4327	4311	88.889	18	exon	intron
2	39	81	2394	2353	70.213	47	exon	intron
2	22	41	14191	14213	78.261	23	exon	intron
2	9	29	3711	3730	80.952	21	exon	intron
2	4	43	11149	11110	67.391	46	exon	intron
2	41	71	14526	14500	70.968	31	exon	intron
2	62	82	16602	16580	78.261	23	exon	intron
2	49	67	222	200	75.0	24	exon	intron
3	1	96	5352	5447	100.0	96	exon	CDS
3	26	47	6435	6453	86.364	22	exon	intron
3	21	44	15370	15345	80.769	26	exon	intron
3	9	29	73	54	81.818	22	exon	intron
3	5	22	4248	4267	85.0	20	exon	intron
3	31	50	1705	1685	80.952	21	exon	intron
3	9	44	8637	8683	67.347	49	exon	intron
3	38	61	10963	10942	79.167	24	exon	intron
3	69	87	2278	2294	80.0	20	exon	exon
3	58	80	14873	14894	78.261	23	exon	intron
3	1	20	16320	16301	80.0	20	exon	intron
3	62	88	4557	4527	71.875	32	exon	intron
3	5	28	16239	16215	76.0	25	exon	intron
3	26	43	13606	13625	80.0	20	exon	intron
3	17	32	18094	18077	78.947	19	exon	intron
3	37	67	1693	1721	71.875	32	exon	intron
3	2	21	5127	5106	77.273	22	exon	intron
3	3	39	13655	13686	68.421	38	exon	intron
3	35	54	16694	16678	80.0	20	exon	intron
3	52	85	4228	4184	66.667	45	exon	intron
4	1	126	5524	5649	100.0	126	exon	CDS
4	33	124	6179	6269	70.968	93	exon	CDS
4	83	110	14227	14197	80.645	31	exon	intron
4	70	95	15896	15924	82.759	29	exon	intron
4	7	39	5539	5509	78.788	33	exon	intron
