intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	18	9	1,2,4,5,6,8,10,13,14
2	2315	7534	5220	35	23	1,2,3,4,5,6,7,12,13,14,15
3	8268	21364	13097	84	69	1,2,3,5,6,7,8,9,10,11,12,13,14,15
4	21486	36431	14946	97	83	1,2,3,4,5,6,7,9,10,11,12,13,14,15
5	36544	39855	3312	27	21	1,3,4,5,6,7,10,11,12,13,14,15
6	39975	42543	2569	17	15	3,5,6,7,9,10,11,12,13,14,15
7	42627	44215	1589	19	14	3,5,6,7,9,10,13,15
8	44334	45749	1416	8	6	2,3,5,7,8,10,15
9	45857	46754	898	6	6	3,6,14,15
10	46836	48075	1240	12	8	3,5,6,7,12,13,15
11	48171	49237	1067	7	7	3,5,12,14,15
12	49310	50996	1687	10	9	2,3,6,7,8,10,11,13,14,15
13	51126	54041	2916	20	16	2,3,5,6,7,12,13,14
14	54152	61049	6898	49	40	2,3,5,6,7,9,10,11,12,13,14,15
15	61309	64179	2871	16	14	3,5,6,7,10,12,13,14,15
16	67424	69423	2000	7	7	2,5,7,9,10,13
