exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	4411	2001	6411	100.0	4411	exon	CDS
1	517	621	26217	26116	68.468	111	exon	intron
1	3621	3655	15808	15841	80.0	35	exon	intron
1	2979	3034	17973	17914	71.875	64	exon	intron
1	818	847	24626	24658	81.818	33	exon	intron
1	1609	1666	8740	8792	71.186	59	exon	intron
1	1850	1873	23289	23314	84.615	26	exon	intron
1	778	844	25854	25912	70.588	68	exon	intron
1	820	844	28760	28734	85.185	27	exon	intron
1	833	860	23743	23768	82.143	28	exon	intron
1	1739	1769	26775	26804	81.25	32	exon	intron
1	1011	1047	673	642	76.316	38	exon	intron
1	830	851	12692	12670	86.957	23	exon	intron
1	2697	2717	14511	14529	90.476	21	exon	intron
1	825	844	21307	21288	90.0	20	exon	intron
1	753	772	25893	25912	90.0	20	exon	intron
1	1948	1971	823	799	84.0	25	exon	intron
1	4214	4237	10053	10077	84.0	25	exon	intron
1	809	840	10793	10764	78.125	32	exon	intron
1	555	574	28531	28549	90.0	20	exon	intron
1	1909	1957	29482	29429	71.429	56	exon	intron
1	3345	3385	4022	3978	73.913	46	exon	intron
1	1978	2022	5385	5345	73.913	46	exon	intron
1	3899	4008	6008	5899	66.102	118	exon	intron
1	4317	4354	9904	9867	75.0	40	exon	intron
1	1690	1721	10079	10109	78.125	32	exon	intron
1	2842	2863	10854	10834	86.364	22	exon	intron
1	3707	3732	14322	14296	81.481	27	exon	intron
1	1438	1468	20942	20911	78.125	32	exon	intron
1	808	844	28762	28731	75.676	37	exon	intron
1	1960	2001	34258	34219	72.727	44	exon	intron
1	1883	1922	8816	8771	71.739	46	exon	intron
1	816	836	13968	13948	85.714	21	exon	intron
1	2297	2342	20274	20233	71.739	46	exon	intron
1	1396	1424	20337	20364	79.31	29	exon	intron
1	3009	3038	21268	21301	74.286	35	exon	intron
1	3018	3035	23762	23744	89.474	19	exon	intron
1	915	933	29267	29247	85.714	21	exon	intron
1	2730	2752	386	364	82.609	23	exon	intron
1	1463	1485	7833	7855	82.609	23	exon	intron
1	3018	3035	16761	16744	88.889	18	exon	intron
1	538	555	18188	18171	88.889	18	exon	intron
1	2797	2819	19601	19579	82.609	23	exon	intron
1	3137	3154	27752	27769	88.889	18	exon	intron
1	350	367	28732	28749	88.889	18	exon	intron
1	3018	3035	28733	28750	88.889	18	exon	intron
1	349	378	30579	30609	77.419	31	exon	intron
1	829	845	30597	30579	89.474	19	exon	intron
2	1	123	7911	8033	100.0	123	exon	CDS
2	103	123	24075	24096	86.364	22	exon	intron
2	88	120	20788	20819	76.471	34	exon	intron
2	16	96	35853	35782	67.47	83	exon	intron
2	51	91	19308	19266	72.093	43	exon	intron
2	45	113	37626	37554	68.421	76	exon	intron
2	85	122	4153	4192	73.171	41	exon	exon
2	69	109	14752	14787	72.093	43	exon	intron
2	72	90	21009	20993	84.211	19	exon	intron
2	93	113	970	950	81.818	22	exon	intron
2	70	100	6627	6655	75.0	32	exon	intron
2	81	101	3600	3619	80.952	21	exon	exon
2	4	29	7586	7608	76.923	26	exon	intron
2	81	110	11599	11629	75.0	32	exon	intron
2	64	85	15053	15030	79.167	24	exon	intron
2	79	98	17243	17225	80.952	21	exon	intron
2	30	58	33409	33383	75.862	29	exon	intron
2	106	123	9792	9776	83.333	18	exon	intron
2	12	35	18409	18389	79.167	24	exon	intron
2	83	102	12392	12370	75.0	24	exon	intron
2	53	81	18145	18122	73.333	30	exon	intron
2	14	39	28339	28362	74.074	27	exon	intron
2	64	89	29649	29676	75.862	29	exon	intron
