exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	205	2	2205	2002	100.0	68	169.0	3.79e-45	-1	tblastx:e1e1
1	206	3	2206	2003	100.0	68	167.0	1.35e-44	-3	tblastx:e1e1
1	1	207	2001	2207	100.0	69	162.0	4.44e-43	3	tblastx:e1e1
1	3	206	2003	2206	100.0	68	161.0	8.38e-43	2	tblastx:e1e1
1	2	205	2002	2205	100.0	68	160.0	2.99e-42	1	tblastx:e1e1
1	207	1	2207	2001	100.0	69	149.0	4.44e-39	-2	tblastx:e1e1
1	167	84	25825	25908	42.857	28	29.0	0.008	1	tblastx:e1e1
1	161	111	100699	100749	41.176	17	29.0	0.008	1	tblastx:e1e1
1	128	190	46771	46833	57.143	21	27.6	0.022	1	tblastx:e1e1
1	188	114	101674	101748	44.0	25	25.8	0.078	1	tblastx:e1e1
1	158	135	48763	48786	75.0	8	25.4	0.11	1	tblastx:e1e1
1	101	36	85070	85135	40.909	22	24.4	0.2	2	tblastx:e1e1
1	161	99	162357	162295	33.333	21	23.5	0.38	-1	tblastx:e1e1
1	121	59	34589	34651	47.619	21	23.1	0.52	2	tblastx:e1e1
1	69	122	34641	34588	44.444	18	23.1	0.52	-1	tblastx:e1e1
1	198	79	136533	136414	37.5	40	22.6	0.72	-1	tblastx:e1e1
1	186	133	135424	135371	44.444	18	21.7	1.4	-3	tblastx:e1e1
1	164	144	48760	48780	71.429	7	21.7	1.4	1	tblastx:e1e1
1	167	87	73917	73997	33.333	27	21.7	1.4	3	tblastx:e1e1
1	106	71	68978	69013	58.333	12	21.2	1.9	2	tblastx:e1e1
1	164	150	74342	74328	100.0	5	21.2	1.9	-2	tblastx:e1e1
1	133	77	104662	104718	47.368	19	21.2	1.9	1	tblastx:e1e1
1	161	144	6195	6178	83.333	6	21.2	1.9	-1	tblastx:e1e1
1	12	53	139514	139473	50.0	14	20.8	2.6	-2	tblastx:e1e1
1	178	104	127663	127589	32.0	25	20.8	2.6	-3	tblastx:e1e1
1	153	88	106596	106531	31.818	22	20.8	2.6	-1	tblastx:e1e1
1	158	144	88604	88590	80.0	5	20.8	2.6	-2	tblastx:e1e1
1	127	65	87122	87184	38.095	21	20.8	2.6	2	tblastx:e1e1
1	133	68	87769	87834	36.364	22	20.8	2.6	1	tblastx:e1e1
1	143	196	71339	71286	38.889	18	20.8	2.6	-2	tblastx:e1e1
1	161	114	43609	43562	43.75	16	20.8	2.6	-3	tblastx:e1e1
1	168	112	7569	7513	42.105	19	20.8	2.6	-1	tblastx:e1e1
1	167	123	1771	1815	46.667	15	20.3	3.5	1	tblastx:e1e1
1	206	153	158323	158270	44.444	18	20.3	3.5	-3	tblastx:e1e1
1	174	115	153947	153888	50.0	20	20.3	3.5	-2	tblastx:e1e1
1	166	68	27190	27288	30.303	33	20.3	3.5	1	tblastx:e1e1
1	158	144	136999	136985	80.0	5	20.3	3.5	-3	tblastx:e1e1
1	161	120	100702	100743	42.857	14	20.3	3.5	1	tblastx:e1e1
1	189	145	119603	119647	60.0	15	20.3	3.5	2	tblastx:e1e1
1	124	92	1320	1352	54.545	11	19.9	4.8	3	tblastx:e1e1
1	161	102	29813	29872	35.0	20	19.9	4.8	2	tblastx:e1e1
1	136	56	139003	138923	29.63	27	19.9	4.8	-3	tblastx:e1e1
1	170	147	131075	131052	62.5	8	19.9	4.8	-2	tblastx:e1e1
1	161	144	88604	88587	66.667	6	19.9	4.8	-2	tblastx:e1e1
1	158	138	100699	100719	71.429	7	19.9	4.8	1	tblastx:e1e1
