exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	2270	3	4270	2003	100.0	756	1795.0	0.0	-2	tblastx:e1e1
1	2269	2	4269	2002	100.0	756	1774.0	0.0	-3	tblastx:e1e1
1	2268	1	4268	2001	100.0	756	1773.0	0.0	-1	tblastx:e1e1
1	3	2270	2003	4270	100.0	756	1772.0	0.0	2	tblastx:e1e1
1	2	2269	2002	4269	100.0	756	1767.0	0.0	1	tblastx:e1e1
1	1	2268	2001	4268	100.0	756	1752.0	0.0	3	tblastx:e1e1
1	827	741	36158	36072	31.034	29	24.9	0.99	-1	tblastx:e1e1
1	413	496	47391	47474	42.857	28	24.0	1.9	3	tblastx:e1e1
1	1830	1801	3333	3362	70.0	10	23.5	2.6	3	tblastx:e1e1
1	611	546	9431	9496	40.909	22	23.5	2.6	2	tblastx:e1e1
1	2217	2158	4265	4206	40.0	20	23.5	2.6	-1	tblastx:e1e1
1	2265	2206	4217	4158	40.0	20	23.5	2.6	-1	tblastx:e1e1
1	1333	1362	3830	3801	70.0	10	23.5	2.6	-1	tblastx:e1e1
1	1595	1672	47734	47657	30.769	26	23.1	3.5	-2	tblastx:e1e1
1	673	617	37521	37465	47.368	19	23.1	3.5	-3	tblastx:e1e1
1	925	875	13363	13413	47.059	17	22.6	4.9	1	tblastx:e1e1
1	292	393	20403	20302	32.353	34	22.6	4.9	-3	tblastx:e1e1
1	1170	1205	7090	7055	50.0	12	22.6	4.9	-2	tblastx:e1e1
1	754	689	7021	6956	31.818	22	22.6	4.9	-2	tblastx:e1e1
1	2178	2155	58653	58630	75.0	8	22.1	6.7	-3	tblastx:e1e1
1	806	741	24975	24910	31.818	22	22.1	6.7	-3	tblastx:e1e1
1	2247	2155	58477	58569	32.258	31	22.1	6.7	1	tblastx:e1e1
1	1290	1337	62436	62389	37.5	16	21.7	9.2	-3	tblastx:e1e1
1	1519	1433	23948	23862	34.483	29	21.7	9.2	-1	tblastx:e1e1
1	1259	1218	7425	7384	64.286	14	21.7	9.2	-3	tblastx:e1e1
1	30	119	4822	4733	23.333	30	21.7	9.2	-2	tblastx:e1e1
1	2068	2048	60426	60446	100.0	7	21.7	9.2	3	tblastx:e1e1
2	158	3	6979	6824	100.0	52	157.0	5.27e-42	-2	tblastx:e1e1
2	1	156	6822	6977	100.0	52	139.0	9.19e-37	3	tblastx:e1e1
2	2	157	6823	6978	100.0	52	135.0	2.53e-35	1	tblastx:e1e1
2	157	2	6978	6823	100.0	52	126.0	9.19e-33	-3	tblastx:e1e1
2	3	158	6824	6979	100.0	52	123.0	6.18e-32	2	tblastx:e1e1
2	156	1	6977	6822	100.0	52	120.0	5.71e-31	-1	tblastx:e1e1
2	64	102	44191	44153	53.846	13	22.6	0.19	-2	tblastx:e1e1
2	52	81	30887	30916	60.0	10	21.7	0.36	2	tblastx:e1e1
2	38	9	24566	24537	50.0	10	21.7	0.36	-1	tblastx:e1e1
2	61	81	18388	18408	85.714	7	21.2	0.49	1	tblastx:e1e1
2	88	71	42644	42661	83.333	6	21.2	0.49	2	tblastx:e1e1
2	104	45	44212	44271	40.0	20	21.2	0.49	1	tblastx:e1e1
2	43	93	9054	9104	41.176	17	20.8	0.67	3	tblastx:e1e1
2	29	3	54890	54864	66.667	9	20.8	0.67	-1	tblastx:e1e1
2	97	71	43738	43712	33.333	9	20.8	0.67	-2	tblastx:e1e1
2	46	81	23710	23745	50.0	12	20.8	0.67	1	tblastx:e1e1
2	115	74	36118	36077	28.571	14	20.8	0.67	-2	tblastx:e1e1
2	103	71	36114	36082	36.364	11	20.8	0.67	-3	tblastx:e1e1
2	59	36	58548	58571	75.0	8	20.8	0.67	3	tblastx:e1e1
2	97	71	43748	43722	44.444	9	20.3	0.92	-1	tblastx:e1e1
2	97	71	36110	36084	33.333	9	20.3	0.92	-1	tblastx:e1e1
2	97	71	36106	36080	33.333	9	20.3	0.92	-2	tblastx:e1e1
2	97	71	36104	36078	33.333	9	20.3	0.92	-1	tblastx:e1e1
2	97	71	36102	36076	33.333	9	20.3	0.92	-3	tblastx:e1e1
2	49	87	2788	2750	46.154	13	20.3	0.92	-2	tblastx:e1e1
2	97	71	36112	36086	33.333	9	19.9	1.3	-2	tblastx:e1e1
2	31	75	34380	34424	53.333	15	19.9	1.3	3	tblastx:e1e1
2	56	9	42313	42360	31.25	16	19.9	1.3	1	tblastx:e1e1
2	44	100	45614	45670	36.842	19	19.6	1.5	2	tblastx:e1e1
2	37	84	58484	58437	43.75	16	19.4	1.7	-1	tblastx:e1e1
2	91	71	43738	43718	42.857	7	19.4	1.7	-2	tblastx:e1e1
2	97	71	36118	36092	33.333	9	19.4	1.7	-2	tblastx:e1e1
2	113	45	36059	36127	30.435	23	19.4	1.7	2	tblastx:e1e1
2	42	10	47209	47241	63.636	11	19.4	1.7	1	tblastx:e1e1
2	32	3	55529	55558	50.0	10	19.4	1.7	2	tblastx:e1e1
2	35	61	33238	33264	66.667	9	19.2	2.0	1	tblastx:e1e1
2	77	36	6087	6128	50.0	14	18.9	2.4	3	tblastx:e1e1
2	91	74	11536	11553	66.667	6	18.9	2.4	1	tblastx:e1e1
2	91	71	36110	36090	42.857	7	18.9	2.4	-1	tblastx:e1e1
2	91	71	36108	36088	42.857	7	18.9	2.4	-3	tblastx:e1e1
2	59	36	58571	58548	62.5	8	18.5	3.3	-1	tblastx:e1e1
2	67	87	11531	11551	71.429	7	18.5	3.3	2	tblastx:e1e1
2	46	105	46023	45964	35.0	20	18.5	3.3	-3	tblastx:e1e1
2	38	9	35036	35065	50.0	10	18.5	3.3	2	tblastx:e1e1
2	61	111	18472	18422	47.059	17	18.5	3.3	-2	tblastx:e1e1
2	128	57	56630	56701	37.5	24	18.5	3.3	2	tblastx:e1e1
2	58	84	7480	7454	55.556	9	18.5	3.3	-2	tblastx:e1e1
