exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	354	2001	2354	100.0	354	528.0	8.82e-153	blastn:w7;e1e2
1	14	40	37556	37581	88.889	27	31.1	0.006	blastn:w7;e1e2
1	258	275	2275	2258	88.889	18	22.2	3.0	blastn:w7;e1e2
1	106	137	5634	5663	76.471	34	22.2	3.0	blastn:w7;e1e2
1	15	70	9930	9870	68.182	66	22.2	3.0	blastn:w7;e1e2
1	212	230	8032	8052	85.714	21	21.4	8.5	blastn:w7;e1e2
1	151	165	14187	14173	93.333	15	21.4	8.5	blastn:w7;e1e2
1	15	34	20625	20644	85.0	20	21.4	8.5	blastn:w7;e1e2
1	16	35	26616	26635	85.0	20	21.4	8.5	blastn:w7;e1e2
1	289	305	14713	14729	88.235	17	20.7	8.5	blastn:w7;e1e2
1	154	165	21800	21789	100.0	12	20.7	8.5	blastn:w7;e1e2
1	6	17	26188	26199	100.0	12	20.7	8.5	blastn:w7;e1e2
1	286	297	37983	37994	100.0	12	20.7	8.5	blastn:w7;e1e2
1	60	98	39686	39725	73.171	41	20.7	8.5	blastn:w7;e1e2
1	51	70	405	388	85.0	20	19.9	24.0	blastn:w7;e1e2
1	128	141	16093	16106	92.857	14	19.9	24.0	blastn:w7;e1e2
1	133	148	27382	27398	88.235	17	19.9	24.0	blastn:w7;e1e2
1	16	29	30076	30089	92.857	14	19.9	24.0	blastn:w7;e1e2
1	118	133	31810	31826	88.235	17	19.9	24.0	blastn:w7;e1e2
1	85	101	36615	36630	88.235	17	19.9	24.0	blastn:w7;e1e2
1	24	39	42727	42743	88.235	17	19.9	24.0	blastn:w7;e1e2
1	137	149	1919	1932	92.857	14	19.2	24.0	blastn:w7;e1e2
1	101	121	4172	4152	80.952	21	19.2	24.0	blastn:w7;e1e2
1	16	36	12703	12683	80.952	21	19.2	24.0	blastn:w7;e1e2
1	60	70	16031	16021	100.0	11	19.2	24.0	blastn:w7;e1e2
