exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	108	2001	2108	100.0	108	163.0	1.75e-43	blastn:w7;e1e2
1	32	93	2359	2421	72.059	68	28.1	0.009	blastn:w7;e1e2
1	9	66	2267	2214	71.667	60	25.9	0.07	blastn:w7;e1e2
1	23	106	1932	2012	67.033	91	24.4	0.2	blastn:w7;e1e2
1	48	94	1426	1379	69.231	52	19.9	4.3	blastn:w7;e1e2
1	75	96	2237	2217	81.818	22	19.9	4.3	blastn:w7;e1e2
1	95	108	2256	2243	92.857	14	19.9	4.3	blastn:w7;e1e2
1	24	45	2276	2296	81.818	22	19.9	4.3	blastn:w7;e1e2
1	83	93	1664	1654	100.0	11	19.2	4.3	blastn:w7;e1e2
1	23	38	2134	2149	87.5	16	19.2	4.3	blastn:w7;e1e2
1	14	24	2822	2832	100.0	11	19.2	4.3	blastn:w7;e1e2
1	86	101	12548	12563	87.5	16	19.2	4.3	blastn:w7;e1e2
1	68	80	1337	1325	92.308	13	18.4	12.0	blastn:w7;e1e2
1	71	97	1544	1520	75.0	28	18.4	12.0	blastn:w7;e1e2
1	66	80	7650	7665	87.5	16	18.4	12.0	blastn:w7;e1e2
1	91	108	30014	30031	83.333	18	18.4	12.0	blastn:w7;e1e2
1	23	32	1912	1903	100.0	10	17.7	12.0	blastn:w7;e1e2
1	48	62	2468	2456	86.667	15	17.7	12.0	blastn:w7;e1e2
1	83	94	1658	1669	91.667	12	17.0	34.0	blastn:w7;e1e2
1	93	106	2408	2422	86.667	15	17.0	34.0	blastn:w7;e1e2
1	87	98	1375	1365	91.667	12	16.2	34.0	blastn:w7;e1e2
1	3	29	1509	1477	69.697	33	16.2	34.0	blastn:w7;e1e2
1	87	108	1652	1675	75.0	24	16.2	34.0	blastn:w7;e1e2
1	78	96	1913	1895	78.947	19	16.2	34.0	blastn:w7;e1e2
1	91	101	1946	1957	91.667	12	16.2	34.0	blastn:w7;e1e2
1	65	73	4478	4486	100.0	9	16.2	34.0	blastn:w7;e1e2
1	99	107	6549	6541	100.0	9	16.2	34.0	blastn:w7;e1e2
1	89	100	9165	9155	91.667	12	16.2	34.0	blastn:w7;e1e2
1	62	70	10361	10369	100.0	9	16.2	34.0	blastn:w7;e1e2
1	25	33	12555	12563	100.0	9	16.2	34.0	blastn:w7;e1e2
1	64	72	21975	21983	100.0	9	16.2	34.0	blastn:w7;e1e2
1	69	89	2237	2219	76.19	21	15.5	94.0	blastn:w7;e1e2
1	52	62	2615	2625	90.909	11	15.5	94.0	blastn:w7;e1e2
1	62	72	9094	9084	90.909	11	15.5	94.0	blastn:w7;e1e2
1	86	96	10967	10957	90.909	11	15.5	94.0	blastn:w7;e1e2
1	97	107	21999	22009	90.909	11	15.5	94.0	blastn:w7;e1e2
1	15	25	25999	26009	90.909	11	15.5	94.0	blastn:w7;e1e2
1	76	91	30392	30405	81.25	16	15.5	94.0	blastn:w7;e1e2
1	96	108	30575	30562	85.714	14	15.5	94.0	blastn:w7;e1e2
1	15	25	31607	31617	90.909	11	15.5	94.0	blastn:w7;e1e2
1	33	40	2530	2537	100.0	8	14.7	94.0	blastn:w7;e1e2
1	87	94	2548	2541	100.0	8	14.7	94.0	blastn:w7;e1e2
1	26	38	3600	3612	84.615	13	14.7	94.0	blastn:w7;e1e2
1	31	38	4174	4181	100.0	8	14.7	94.0	blastn:w7;e1e2
1	101	108	6427	6434	100.0	8	14.7	94.0	blastn:w7;e1e2
1	101	108	9113	9120	100.0	8	14.7	94.0	blastn:w7;e1e2
1	76	83	9163	9156	100.0	8	14.7	94.0	blastn:w7;e1e2
1	75	82	12070	12077	100.0	8	14.7	94.0	blastn:w7;e1e2
1	101	108	12436	12429	100.0	8	14.7	94.0	blastn:w7;e1e2
1	72	79	12556	12563	100.0	8	14.7	94.0	blastn:w7;e1e2
