exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	3085	2	5085	2002	100.0	1028	2490.0	0.0	-3	tblastx:e1e1
1	3	3086	2003	5086	100.0	1028	2481.0	0.0	2	tblastx:e1e1
1	2	3085	2002	5085	100.0	1028	2479.0	0.0	1	tblastx:e1e1
1	1	3087	2001	5087	100.0	1029	2427.0	0.0	3	tblastx:e1e1
1	3086	3	5086	2003	100.0	1028	2425.0	0.0	-2	tblastx:e1e1
1	3087	1	5087	2001	100.0	1029	2409.0	0.0	-1	tblastx:e1e1
1	1308	1198	10721	10611	51.351	37	45.1	7.2e-11	-1	tblastx:e1e1
1	1370	1314	10799	10743	73.684	19	29.9	7.2e-11	-1	tblastx:e1e1
1	2948	2925	4951	4928	100.0	8	35.9	5.58e-09	-2	tblastx:e1e1
1	2382	2257	4521	4396	40.476	42	33.1	5.58e-09	-3	tblastx:e1e1
1	1260	1177	222	139	50.0	28	32.7	5.58e-09	-3	tblastx:e1e1
1	2182	2078	4248	4144	34.286	35	22.1	5.58e-09	-3	tblastx:e1e1
1	2596	2501	4764	4669	34.375	32	21.7	5.58e-09	-3	tblastx:e1e1
1	1941	1906	3988	3953	66.667	12	21.2	5.58e-09	-2	tblastx:e1e1
1	3046	2987	5023	4964	40.0	20	19.9	5.58e-09	-2	tblastx:e1e1
1	1196	1264	10609	10677	78.261	23	46.0	1.28e-08	1	tblastx:e1e1
1	1323	1370	10752	10799	62.5	16	21.2	1.28e-08	3	tblastx:e1e1
1	2951	2928	4948	4925	100.0	8	35.9	5.51e-08	-2	tblastx:e1e1
1	2521	2396	4382	4257	40.476	42	33.1	5.51e-08	-1	tblastx:e1e1
1	1252	1178	214	140	36.0	25	27.2	5.51e-08	-2	tblastx:e1e1
1	2248	2144	4182	4078	34.286	35	22.1	5.51e-08	-3	tblastx:e1e1
1	3010	2951	5207	5148	45.0	20	21.7	5.51e-08	-1	tblastx:e1e1
1	2764	2669	4596	4501	34.375	32	21.7	5.51e-08	-3	tblastx:e1e1
1	1988	1953	3941	3906	66.667	12	21.2	5.51e-08	-1	tblastx:e1e1
1	1944	1903	240	199	57.143	14	19.4	5.51e-08	-3	tblastx:e1e1
1	1316	1206	10729	10619	51.351	37	40.9	1.07e-07	-2	tblastx:e1e1
1	1369	1322	10798	10751	62.5	16	23.1	1.07e-07	-2	tblastx:e1e1
1	2552	2484	4485	4553	47.826	23	24.9	1.29e-07	3	tblastx:e1e1
1	2485	2553	4552	4484	47.826	23	24.9	1.29e-07	-2	tblastx:e1e1
1	2785	2615	4234	4404	26.316	57	22.1	1.29e-07	1	tblastx:e1e1
1	2602	2531	4430	4501	41.667	24	22.1	1.29e-07	2	tblastx:e1e1
1	2333	2205	4775	4903	27.907	43	22.1	1.29e-07	2	tblastx:e1e1
1	2234	2404	4785	4615	26.316	57	22.1	1.29e-07	-3	tblastx:e1e1
1	2430	2501	4602	4531	41.667	24	22.1	1.29e-07	-3	tblastx:e1e1
1	2775	2903	4333	4205	27.907	43	22.1	1.29e-07	-2	tblastx:e1e1
1	2497	2432	4627	4692	40.909	22	18.9	1.29e-07	1	tblastx:e1e1
1	2627	2692	4497	4432	40.909	22	18.9	1.29e-07	-3	tblastx:e1e1
1	2629	2441	4769	4957	26.984	63	30.4	1.81e-07	2	tblastx:e1e1
1	2653	2618	4610	4645	75.0	12	23.5	1.81e-07	2	tblastx:e1e1
1	2401	2300	4949	5050	35.294	34	21.2	1.81e-07	2	tblastx:e1e1
1	2289	2254	5100	5135	58.333	12	19.4	1.81e-07	3	tblastx:e1e1
1	2122	2184	4608	4546	42.857	21	24.4	1.1e-06	-3	tblastx:e1e1
1	2175	2309	4470	4336	28.889	45	21.7	1.1e-06	-3	tblastx:e1e1
1	2088	2150	4764	4702	47.619	21	21.2	1.1e-06	-3	tblastx:e1e1
1	1879	1941	4924	4862	47.619	21	20.3	1.1e-06	-2	tblastx:e1e1
1	1984	2061	4848	4771	34.615	26	18.9	1.1e-06	-3	tblastx:e1e1
1	1167	1265	10580	10678	42.424	33	42.8	1.29e-06	2	tblastx:e1e1
1	2769	2957	4629	4441	26.984	63	30.4	2.14e-06	-3	tblastx:e1e1
1	2610	2645	4653	4618	75.0	12	23.5	2.14e-06	-3	tblastx:e1e1
1	2949	3050	4401	4300	35.294	34	21.2	2.14e-06	-3	tblastx:e1e1
1	1178	1267	140	229	46.667	30	35.0	4.28e-06	2	tblastx:e1e1
1	2394	2444	4466	4516	52.941	17	26.3	4.28e-06	2	tblastx:e1e1
1	1995	2171	4171	4347	27.119	59	24.4	4.28e-06	1	tblastx:e1e1
1	1895	1939	3942	3986	53.333	15	22.6	4.28e-06	3	tblastx:e1e1
1	2752	2823	10193	10264	29.167	24	22.1	4.28e-06	2	tblastx:e1e1
1	2143	2220	4408	4485	34.615	26	21.7	4.28e-06	1	tblastx:e1e1
1	2711	2740	4975	5004	60.0	10	21.2	4.28e-06	1	tblastx:e1e1
1	2621	2689	4918	4986	34.783	23	20.8	4.28e-06	1	tblastx:e1e1
1	2511	2594	4832	4915	35.714	28	19.4	4.28e-06	2	tblastx:e1e1
1	3044	2907	5050	4913	39.13	46	40.9	4.59e-06	-2	tblastx:e1e1
1	3050	2913	5044	4907	39.13	46	40.9	4.59e-06	-2	tblastx:e1e1
1	2377	2069	4737	4429	25.243	103	29.9	5.01e-06	-3	tblastx:e1e1
1	2659	2441	5025	4807	26.027	73	24.9	5.01e-06	-3	tblastx:e1e1
1	2725	2699	5172	5146	55.556	9	18.9	5.01e-06	-3	tblastx:e1e1
1	2394	2477	5157	5074	46.429	28	30.4	1.64e-05	-3	tblastx:e1e1
1	2895	2975	4482	4402	44.444	27	28.1	1.64e-05	-3	tblastx:e1e1
