intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	28	21	1,2,4,6,7,8,10,11,13,14,16,17,21,23,25,26
2	2109	2468	360	6	3	1,2
3	2662	5042	2381	39	23	4,5,8,10,11,12,13,14,16,17,18,19,21,22,23,25,26
4	5199	7150	1952	48	22	3,4,5,7,8,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26
5	7262	8336	1075	11	9	4,5,7,8,10,11,18,21,26
6	8440	9337	898	16	12	3,6,9,10,12,13,14,16,17,18,23,24
7	9463	9948	486	13	8	2,3,5,7,8,12,15,16,19
8	10022	10105	84	0	0	-
9	10195	12778	2584	34	23	2,4,5,7,8,10,14,15,16,17,18,19,22,23,24,25,26
10	12931	13936	1006	15	12	3,5,10,13,14,17,23,24
11	14500	15649	1150	12	9	4,5,6,11,18,20,26
12	15852	17690	1839	28	16	3,5,6,7,8,9,10,11,12,13,15,18,21,22,24,26
13	17906	20027	2122	26	18	3,4,5,8,9,10,11,15,18,19,20,22,24,26
14	20181	20293	113	2	1	4,18
15	20390	20715	326	1	1	15
16	20844	22102	1259	9	7	4,8,14,19,20,23,25,26
17	22290	22597	308	3	2	13,18,26
18	22768	23578	811	11	8	10,11,17,19,20,24,26
19	23816	24245	430	10	6	5,6,10,15,18,19,20,21,26
20	24418	25322	905	19	11	2,3,4,5,7,9,11,12,14,16,18,19,20,24,26
21	25414	25553	140	2	2	4,15
22	25685	26313	629	12	7	3,4,6,8,9,15,16,25,26
23	26434	26548	115	0	0	-
24	26689	27910	1222	28	15	2,3,4,6,7,8,9,10,11,12,13,14,15,17,19,23,24,26
25	28088	28169	82	0	0	-
26	28305	28785	481	7	5	9,10,11,12,13,23
27	30372	32371	2000	32	22	5,7,8,10,11,12,13,15,16,17,18,19,20,21,25,26
