exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	87	50	67.416	89	32.7	1.52e-05	blastn,tblastx	60.0
1	334	245	84.211	54	32.7	0.00073	blastn,tblastx	302.0
1	500	437	68.657	67	20.7	5.3	blastn,tblastx	455.25
1	628	692	70.667	75	28.8	3.84e-05	blastn,tblastx	656.0
1	808	754	70.0	60	24.9	0.16	blastn,tblastx	771.5
1	1404	1386	84.211	19	19.9	9.44e-14	blastn,tblastx	1394.75
1	1444	1486	74.194	31	24.4	2.03e-05	blastn,tblastx	1468.5
1	1560	1628	74.074	54	30.3	2.03e-05	blastn,tblastx	1597.5
1	1685	1646	82.609	23	21.4	0.017	blastn,tblastx	1661.0
1	2287	2334	81.818	25	20.3	2.64e-09	blastn,tblastx	2308.0
1	2556	2574	74.359	39	24.4	9.4e-10	blastn,tblastx	2574.5
1	3489	3426	87.5	35	27.4	1.11e-05	blastn,tblastx	3457.75
1	3578	3578	100.0	3156	4692.0	0.0	blastn,tblastx	3578.5
1	3626	3640	78.571	28	22.2	0.016	blastn,tblastx	3632.5
1	3692	3744	80.769	27	24.9	2.63e-10	blastn,tblastx	3718.0
1	3928	4002	71.765	85	35.4	9.4e-10	blastn,tblastx	3969.75
1	4500	4412	67.391	92	29.0	0.000526	blastn,tblastx	4457.5
1	4570	4560	71.765	85	31.8	0.000244	blastn,tblastx	4561.0
1	4701	4786	87.5	65	27.4	9.06e-06	blastn,tblastx	4740.75
1	4999	4950	88.889	27	22.2	0.22	blastn,tblastx	4976.5
1	5580	5637	68.657	67	23.6	4.81e-05	blastn,tblastx	5603.5
1	5858	5818	78.947	21	18.0	1.04e-06	blastn,tblastx	5837.5
1	5988	5949	75.0	24	21.2	0.000436	blastn,tblastx	5968.75
1	6021	6054	71.795	39	22.6	6.84e-05	blastn,tblastx	6034.25
1	6482	6440	76.471	39	23.5	9.44e-14	blastn,tblastx	6451.0
1	6928	6888	78.261	23	23.5	2.2e-07	blastn,tblastx	6907.5
2	4037	4076	75.862	36	20.8	0.097	blastn,tblastx	4056.5
2	5302	5466	100.0	167	250.0	2.91e-70	blastn,tblastx	5384.0
