exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	578	2001	2578	100.0	578	exon	CDS
1	36	121	29971	30051	70.33	91	exon	intron
1	350	427	1971	1897	70.238	84	exon	intron
1	32	71	32613	32566	75.0	48	exon	intron
1	101	150	33402	33354	74.51	51	exon	intron
1	119	156	41206	41239	78.947	38	exon	intron
1	315	353	26132	26169	76.19	42	exon	intron
1	134	154	2827	2809	90.476	21	exon	intron
1	326	409	27508	27588	66.316	95	exon	intron
1	45	71	28196	28168	82.759	29	exon	intron
1	40	81	10345	10295	71.154	52	exon	intron
1	29	66	29453	29489	76.316	38	exon	intron
1	308	327	29863	29882	90.0	20	exon	intron
1	68	116	33322	33370	70.909	55	exon	intron
1	213	231	18245	18226	90.0	20	exon	intron
1	49	153	41274	41177	66.071	112	exon	intron
1	35	70	26221	26177	71.739	46	exon	intron
1	463	497	1314	1284	75.0	36	exon	intron
1	289	323	2032	2068	75.676	37	exon	exon
1	32	68	2289	2323	75.676	37	exon	exon
1	127	152	9496	9471	81.481	27	exon	intron
1	51	79	22009	21982	79.31	29	exon	intron
1	463	497	26019	25989	75.0	36	exon	intron
1	318	346	29534	29507	80.0	30	exon	intron
1	448	465	2465	2448	88.889	18	exon	intron
1	479	500	7921	7904	81.818	22	exon	intron
1	317	351	11272	11304	73.684	38	exon	intron
1	3	45	22413	22460	70.588	51	exon	intron
1	128	155	26742	26715	78.571	28	exon	intron
1	36	66	29167	29196	77.419	31	exon	intron
1	128	157	37166	37196	78.788	33	exon	intron
1	140	157	45203	45220	88.889	18	exon	intron
1	418	448	2981	3019	71.795	39	exon	intron
1	368	415	11750	11794	72.0	50	exon	intron
1	535	562	19883	19912	76.667	30	exon	intron
1	524	542	24491	24512	81.818	22	exon	CDS
1	159	175	26689	26706	88.889	18	exon	intron
1	139	170	26701	26730	73.529	34	exon	intron
1	264	281	39902	39886	88.889	18	exon	intron
1	293	315	40131	40152	82.609	23	exon	intron
1	122	151	45188	45217	76.667	30	exon	intron
1	56	74	1143	1124	85.0	20	exon	intron
1	540	567	8589	8617	77.419	31	exon	CDS
1	282	305	19414	19392	80.0	25	exon	intron
1	51	69	31267	31286	85.0	20	exon	intron
1	145	166	31571	31592	81.818	22	exon	intron
1	139	172	32173	32135	69.048	42	exon	intron
1	55	105	664	605	68.254	63	exon	intron
1	109	135	4225	4250	77.778	27	exon	intron
1	438	462	7352	7327	77.778	27	exon	intron
1	282	300	8332	8314	84.211	19	exon	intron
1	318	336	17178	17196	84.211	19	exon	intron
1	55	79	17419	17440	76.923	26	exon	CDS
1	281	299	27815	27833	84.211	19	exon	intron
1	145	169	29197	29175	80.0	25	exon	intron
1	52	70	32350	32332	84.211	19	exon	intron
1	1	22	33757	33780	79.167	24	exon	intron
1	423	443	37072	37051	81.818	22	exon	intron
1	323	349	38451	38476	77.778	27	exon	intron
1	328	354	41826	41851	77.778	27	exon	intron
1	123	151	44729	44701	75.862	29	exon	intron
1	429	455	357	329	74.194	31	exon	intron
1	306	331	16528	16503	76.923	26	exon	intron
1	30	60	21469	21500	73.529	34	exon	intron
1	315	340	29000	29025	76.923	26	exon	intron
2	1	94	6725	6818	100.0	94	exon	CDS
2	6	73	15975	15907	73.611	72	exon	intron
2	50	75	10400	10423	84.615	26	exon	CDS
2	4	34	6802	6830	78.125	32	exon	CDS
2	8	34	40729	40706	81.481	27	exon	intron
2	41	68	36973	36942	78.125	32	exon	intron
2	24	40	1156	1173	88.889	18	exon	intron
2	60	93	15542	15577	75.676	37	exon	intron
2	44	75	344	371	75.0	32	exon	intron
2	16	34	8329	8348	85.0	20	exon	intron
2	45	65	22361	22339	82.609	23	exon	intron
2	63	84	28739	28760	82.609	23	exon	intron
2	61	79	25459	25477	85.0	20	exon	intron
2	39	94	25913	25852	68.657	67	exon	intron
2	20	54	27319	27281	71.795	39	exon	intron
2	25	91	33586	33519	67.568	74	exon	intron
2	12	35	33872	33895	79.167	24	exon	intron
2	14	37	6761	6738	76.923	26	exon	intron
2	42	92	7983	7941	69.231	52	exon	intron
2	16	49	8312	8342	74.286	35	exon	intron
