method	exon_index	sstart	send	reason	detail
blastn	1	14187	14173	basic	len/pident 15/93.333
blastn	1	14713	14729	basic	len/pident 17/88.235
blastn	1	21800	21789	basic	len/pident 12/100.0
blastn	1	26188	26199	basic	len/pident 12/100.0
blastn	1	37983	37994	basic	len/pident 12/100.0
blastn	1	16093	16106	basic	len/pident 14/92.857
blastn	1	27382	27398	basic	len/pident 17/88.235
blastn	1	30076	30089	basic	len/pident 14/92.857
blastn	1	31810	31826	basic	len/pident 17/88.235
blastn	1	36615	36630	basic	len/pident 17/88.235
blastn	1	42727	42743	basic	len/pident 17/88.235
blastn	1	1919	1932	basic	len/pident 14/92.857
blastn	1	16031	16021	basic	len/pident 11/100.0
blastn	1	24411	24423	basic	len/pident 14/92.857
blastn	1	24630	24640	basic	len/pident 11/100.0
blastn	1	43473	43483	basic	len/pident 11/100.0
blastn	1	661	673	basic	len/pident 13/92.308
blastn	1	7192	7180	basic	len/pident 13/92.308
blastn	1	16514	16502	basic	len/pident 13/92.308
blastn	1	20797	20809	basic	len/pident 13/92.308
blastn	1	24994	25006	basic	len/pident 13/92.308
blastn	1	25602	25590	basic	len/pident 13/92.308
blastn	1	33927	33939	basic	len/pident 13/92.308
blastn	1	41272	41260	basic	len/pident 13/92.308
blastn	1	2448	2457	basic	len/pident 10/100.0
blastn	1	2638	2629	basic	len/pident 10/100.0
blastn	1	7619	7633	basic	len/pident 15/86.667
blastn	1	13774	13765	basic	len/pident 10/100.0
blastn	1	15525	15534	basic	len/pident 10/100.0
blastn	1	18128	18142	basic	len/pident 15/86.667
blastn	1	18208	18199	basic	len/pident 10/100.0
blastn	1	19050	19041	basic	len/pident 10/100.0
blastn	1	19061	19052	basic	len/pident 10/100.0
blastn	1	21824	21833	basic	len/pident 10/100.0
blastn	1	29032	29041	basic	len/pident 10/100.0
blastn	1	29463	29477	basic	len/pident 15/86.667
blastn	1	30264	30255	basic	len/pident 10/100.0
blastn	1	31211	31202	basic	len/pident 10/100.0
blastn	1	31395	31386	basic	len/pident 10/100.0
blastn	1	31692	31701	basic	len/pident 10/100.0
blastn	1	32616	32630	basic	len/pident 15/86.667
blastn	1	32747	32738	basic	len/pident 10/100.0
blastn	1	35442	35456	basic	len/pident 15/86.667
blastn	1	36490	36481	basic	len/pident 10/100.0
blastn	1	41362	41371	basic	len/pident 10/100.0
blastn	2	14488	14472	basic	len/pident 17/88.235
blastn	2	22317	22304	basic	len/pident 15/93.333
blastn	2	39426	39439	basic	len/pident 15/93.333
blastn	2	9270	9260	basic	len/pident 11/100.0
blastn	2	21483	21473	basic	len/pident 11/100.0
blastn	2	22821	22811	basic	len/pident 11/100.0
blastn	2	27574	27589	basic	len/pident 16/87.5
blastn	2	42393	42403	basic	len/pident 11/100.0
blastn	2	14078	14066	basic	len/pident 13/92.308
blastn	2	39413	39425	basic	len/pident 13/92.308
blastn	2	44099	44111	basic	len/pident 13/92.308
blastn	2	828	819	basic	len/pident 10/100.0
blastn	2	1642	1633	basic	len/pident 10/100.0
blastn	2	3508	3517	basic	len/pident 10/100.0
blastn	2	6310	6319	basic	len/pident 10/100.0
blastn	2	7492	7483	basic	len/pident 10/100.0
blastn	2	13262	13271	basic	len/pident 10/100.0
blastn	2	13650	13641	basic	len/pident 10/100.0
blastn	2	26130	26118	basic	len/pident 13/92.308
blastn	2	34353	34344	basic	len/pident 10/100.0
blastn	2	38177	38186	basic	len/pident 10/100.0
blastn	2	40344	40353	basic	len/pident 10/100.0
blastn	2	7761	7772	basic	len/pident 12/91.667
blastn	2	15322	15311	basic	len/pident 12/91.667
blastn	2	18192	18203	basic	len/pident 12/91.667
blastn	2	23677	23688	basic	len/pident 12/91.667
blastn	2	25224	25235	basic	len/pident 12/91.667
blastn	2	35657	35668	basic	len/pident 12/91.667
blastn	2	39686	39702	basic	len/pident 17/82.353
blastn	2	40234	40245	basic	len/pident 12/91.667
blastn	2	1313	1305	basic	len/pident 9/100.0
blastn	2	6048	6056	basic	len/pident 9/100.0
blastn	2	6237	6229	basic	len/pident 9/100.0
blastn	2	6307	6299	basic	len/pident 9/100.0
blastn	2	6411	6424	basic	len/pident 14/85.714
blastn	2	7455	7463	basic	len/pident 9/100.0
blastn	2	8521	8513	basic	len/pident 9/100.0
blastn	2	9870	9878	basic	len/pident 9/100.0
blastn	2	13877	13885	basic	len/pident 9/100.0
blastn	2	15794	15807	basic	len/pident 14/85.714
blastn	2	18225	18233	basic	len/pident 9/100.0
blastn	2	18929	18937	basic	len/pident 9/100.0
blastn	2	22726	22718	basic	len/pident 9/100.0
blastn	2	25049	25057	basic	len/pident 9/100.0
blastn	2	27355	27363	basic	len/pident 9/100.0
blastn	2	28495	28487	basic	len/pident 9/100.0
blastn	2	30893	30901	basic	len/pident 9/100.0
blastn	2	32786	32794	basic	len/pident 9/100.0
blastn	2	34210	34202	basic	len/pident 9/100.0
blastn	2	34414	34406	basic	len/pident 9/100.0
blastn	2	34863	34850	basic	len/pident 14/85.714
blastn	2	35980	35972	basic	len/pident 9/100.0
blastn	2	36322	36330	basic	len/pident 9/100.0
blastn	2	38253	38261	basic	len/pident 9/100.0
blastn	2	38733	38725	basic	len/pident 9/100.0
blastn	2	39542	39534	basic	len/pident 9/100.0
blastn	2	41236	41228	basic	len/pident 9/100.0
blastn	2	43279	43271	basic	len/pident 9/100.0
blastn	2	44117	44109	basic	len/pident 9/100.0
blastn	3	39322	39335	basic	len/pident 14/100.0
blastn	3	34328	34313	basic	len/pident 16/93.75
blastn	3	25981	25967	basic	len/pident 15/93.333
blastn	3	1682	1695	basic	len/pident 15/93.333
blastn	3	5685	5671	basic	len/pident 15/93.333
blastn	3	40944	40933	basic	len/pident 12/100.0
blastn	3	558	571	basic	len/pident 14/92.857
blastn	3	4875	4862	basic	len/pident 14/92.857
blastn	3	6131	6146	basic	len/pident 17/88.235
blastn	3	5283	5268	basic	len/pident 16/87.5
blastn	3	27265	27255	basic	len/pident 11/100.0
blastn	3	31632	31642	basic	len/pident 11/100.0
blastn	3	36580	36595	basic	len/pident 16/87.5
blastn	3	44038	44028	basic	len/pident 11/100.0
blastn	3	11177	11165	basic	len/pident 13/92.308
blastn	3	26600	26588	basic	len/pident 13/92.308
blastn	3	5312	5303	basic	len/pident 10/100.0
blastn	3	6062	6053	basic	len/pident 10/100.0
blastn	3	10922	10911	basic	len/pident 13/92.308
blastn	3	12838	12824	basic	len/pident 15/86.667
blastn	3	14814	14805	basic	len/pident 10/100.0
blastn	3	15921	15912	basic	len/pident 10/100.0
blastn	3	18610	18601	basic	len/pident 10/100.0
blastn	3	18772	18781	basic	len/pident 10/100.0
blastn	3	22667	22658	basic	len/pident 10/100.0
blastn	3	24126	24113	basic	len/pident 17/82.353
blastn	3	25996	25987	basic	len/pident 10/100.0
blastn	3	27573	27564	basic	len/pident 10/100.0
blastn	3	28064	28052	basic	len/pident 13/92.308
blastn	3	32058	32072	basic	len/pident 15/86.667
blastn	3	36763	36754	basic	len/pident 10/100.0
blastn	3	40014	40028	basic	len/pident 15/86.667
blastn	3	951	962	basic	len/pident 12/91.667
blastn	3	2600	2616	basic	len/pident 17/82.353
blastn	3	5802	5813	basic	len/pident 12/91.667
blastn	3	6606	6617	basic	len/pident 12/91.667
blastn	3	6885	6898	basic	len/pident 15/86.667
blastn	3	7750	7761	basic	len/pident 12/91.667
blastn	3	11355	11344	basic	len/pident 12/91.667
blastn	3	13519	13508	basic	len/pident 12/91.667
blastn	3	18249	18238	basic	len/pident 12/91.667
blastn	3	25184	25173	basic	len/pident 12/91.667
blastn	3	26733	26744	basic	len/pident 12/91.667
blastn	3	28313	28302	basic	len/pident 12/91.667
blastn	3	29592	29608	basic	len/pident 17/82.353
blastn	3	33484	33500	basic	len/pident 17/82.353
blastn	3	33495	33484	basic	len/pident 12/91.667
blastn	3	36092	36078	basic	len/pident 15/86.667
blastn	3	43334	43345	basic	len/pident 12/91.667
blastn	3	564	556	basic	len/pident 9/100.0
blastn	3	811	819	basic	len/pident 9/100.0
blastn	3	906	898	basic	len/pident 9/100.0
blastn	3	6292	6300	basic	len/pident 9/100.0
blastn	3	9286	9278	basic	len/pident 9/100.0
blastn	3	9355	9347	basic	len/pident 9/100.0
blastn	3	9594	9602	basic	len/pident 9/100.0
blastn	3	9937	9950	basic	len/pident 14/85.714
blastn	3	10329	10321	basic	len/pident 9/100.0
