intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	8	6	1,2,5,6,8,24
2	5829	7476	1648	13	12	1,8,13,14,16,19,21,22
3	7624	7762	139	0	0	-
4	7951	8537	587	4	3	3,7,12,13
5	8665	12528	3864	20	15	1,2,3,4,6,10,15,16,19,23
6	12664	12765	102	1	1	20
7	12894	14016	1123	3	3	12,16,19
8	14122	16323	2202	7	7	1,13,14
9	16517	25382	8866	46	36	1,2,4,6,7,8,9,11,12,13,14,16,17,20,22,23
10	25715	26295	581	6	4	2,3,6,15,16,22
11	26428	28538	2111	9	7	2,3,4,11,23
12	28843	29644	802	7	5	1,3,9,20,22,23
13	29804	30483	680	4	3	1,6,11
14	30615	33269	2655	6	6	12,15,21,22
15	33453	33528	76	0	0	-
16	33694	34367	674	3	2	1,12
17	34566	34823	258	2	2	15,16
18	35034	36762	1729	7	6	1,4,5,12,13,22
19	36913	46827	9915	58	40	1,2,3,4,6,9,12,13,14,15,16,17,18,19,20,21,22,23,24
20	47080	47951	872	6	6	1,12,15,20,21
21	48078	49172	1095	13	9	1,6,13,14,15,16,17,18,19,20
22	49404	53054	3651	27	19	1,2,8,10,11,12,14,15,17,19,20,24
23	53202	109254	56053	348	279	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
24	109345	115023	5679	23	20	1,2,7,13,14,15,16,18,19,20,21,22,23
25	120313	122312	2000	6	6	8,10,18,19,20
